lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
operasjon	NN	1929	1929-1965	1929-1965_operasjon_110		Overalt hvor ikke noe annet er sa3t, ble operasjonene utført av Linge-kompaniets folk. I punkt — vil dernest bli rsds3jort for det arbeide som i krigens siste år ble nedlagt for beskyttelse av viktige industrielle anlegg i Norge, havner 03 kommunikasjoner, mot tyske ødeleggelser i krigens siste fase.	41:53	0:301	13638	real_norwegian_semantic_change	no	andrey
operasjon	NN	1970	1970-2015	1970-2015_operasjon_2118		For HIPC-land vil operasjonen skje ved gjennomføringstidspunktet.	18:29	0:65	13643	real_norwegian_semantic_change	no	andrey
operasjon	NN	1929	1929-1965	1929-1965_operasjon_89		I en utrednin3 av 26 novemder l944 3a forsvarets Overkommando analvse av de militZere muli3-beter tar sn slik operasjon. fsl36ude alternativer dis nevnt: — Angrep mot området om Vestfjorden med tanke på å erobre Narvik. — Angrep med sikte på å erobre Bodø-halvøya og kutte av Riksvei 50, og — angrep mot Rana Vefsn-området i samme hensikt. Forsvarets Overkommando konkluderte med å anbefale sn operasjon mot Bodø-halvøya med samtidig besettelse av de ytre øyer i Lofoten.	110:119	0:471	13641	real_norwegian_semantic_change	no	andrey
operasjon	NN	1970	1970-2015	1970-2015_operasjon_2806		En stadig større del av pasientene som har vaert operert en gang, får ny angina pectoris og ønsker derfor en ny operasjon. Andelen slike pasienter vil øke stadig etter hvert som tiden går.	111:120	0:187	13658	real_norwegian_semantic_change	no	andrey
operasjon	NN	1929	1929-1965	1929-1965_operasjon_185		Operasjoner på sjøen, Kystfestningenes deltagelse i forsvaret, Forsvaret av flåtestasjoner, marinedepoter, samt andre sjøforsvarsetablissementer som ikke ved saerlig bestem- melse er lagt under Haerens beskyttelse.	0:0	0:212	13654	real_norwegian_semantic_change	no	andrey
operasjon	NN	1970	1970-2015	1970-2015_operasjon_119		Den offentlige kontrollen med mobile rigger er - som for skip - basert på en mer direkte kontroll av de tekniske forhold, altså selve resultatene av det som utføres under planlegging, bygging og operasjon. Denne kontroll utføres delvis med assistanse fra klassifikasjonsselskaper.	195:204	0:280	13645	real_norwegian_semantic_change	no	andrey
operasjon	NN	1970	1970-2015	1970-2015_operasjon_3445		Operasjonen forløp normalt helt til man var kommet til pkt. 25 i ovennenvte rutine.	65:75	0:83	13652	real_norwegian_semantic_change	no	andrey
operasjon	NN	1929	1929-1965	1929-1965_operasjon_236		I en av de mange publikasjoner over emnet oplyser Paul Popenoe at det på forholdsvis kort tid er foretatt mere enn 6700 steriliserende operasjoner i Kalifornia.	135:146	0:160	13639	real_norwegian_semantic_change	no	andrey
operasjon	NN	1970	1970-2015	1970-2015_operasjon_155		Som eventuelt bilag til denne rapporten skulle innsendast «forslag med begrunnelse og nødvendige opplysninger, til tiltale for krigsrett overfor personer for handlinger eller unnlatelse i forbindelse med mobiliseringen og/eller operasjonene i 1940. » 4 ) Det synest utan vidare klart at denne granskinga 2 ) Ibid., s. 263. 3 )	228:240	0:326	13653	real_norwegian_semantic_change	no	andrey
operasjon	NN	1929	1929-1965	1929-1965_operasjon_416		Operasjonene var ikke så spesialisert som ved større bedrifter.	0:0	0:63	13646	real_norwegian_semantic_change	no	andrey
