identifier1	identifier2	annotator	judgment	comment	lemma
1929-1965_plattform_48	1970-2015_plattform_73	HelleBol	3		plattform
1929-1965_plattform_29	1970-2015_plattform_2572	HelleBol	4		plattform
1929-1965_plattform_29	1970-2015_plattform_2454	HelleBol	2		plattform
1929-1965_plattform_51	1970-2015_plattform_2765	HelleBol	4		plattform
1929-1965_plattform_13	1929-1965_plattform_51	HelleBol	3		plattform
1929-1965_plattform_48	1970-2015_plattform_2299	HelleBol	3		plattform
1970-2015_plattform_2243	1970-2015_plattform_2765	HelleBol	4		plattform
1929-1965_plattform_24	1970-2015_plattform_2299	HelleBol	3		plattform
1929-1965_plattform_29	1970-2015_plattform_2828	HelleBol	3		plattform
1929-1965_plattform_5	1970-2015_plattform_0	HelleBol	3		plattform
1970-2015_plattform_0	1970-2015_plattform_2572	HelleBol	4		plattform
1929-1965_plattform_51	1970-2015_plattform_1197	HelleBol	2		plattform
1929-1965_plattform_41	1929-1965_plattform_51	HelleBol	3		plattform
1929-1965_plattform_17	1929-1965_plattform_39	HelleBol	3		plattform
1929-1965_plattform_39	1970-2015_plattform_73	HelleBol	3		plattform
1929-1965_plattform_13	1929-1965_plattform_39	HelleBol	3		plattform
1929-1965_plattform_39	1970-2015_plattform_2765	HelleBol	3		plattform
1929-1965_plattform_48	1970-2015_plattform_0	HelleBol	3		plattform
1929-1965_plattform_39	1929-1965_plattform_5	HelleBol	4		plattform
1929-1965_plattform_29	1929-1965_plattform_8	HelleBol	3		plattform
1929-1965_plattform_51	1970-2015_plattform_2454	HelleBol	2		plattform
1970-2015_plattform_124	1970-2015_plattform_2243	HelleBol	3		plattform
1970-2015_plattform_0	1970-2015_plattform_2828	HelleBol	4		plattform
1929-1965_plattform_41	1970-2015_plattform_0	HelleBol	3		plattform
1970-2015_plattform_0	1970-2015_plattform_2765	HelleBol	4		plattform
1929-1965_plattform_44	1970-2015_plattform_0	HelleBol	3		plattform
1970-2015_plattform_124	1970-2015_plattform_2106	HelleBol	3		plattform
1929-1965_plattform_44	1970-2015_plattform_2454	HelleBol	2		plattform
1929-1965_plattform_51	1970-2015_plattform_2299	HelleBol	4		plattform
1929-1965_plattform_41	1970-2015_plattform_2106	HelleBol	3		plattform
1929-1965_plattform_5	1970-2015_plattform_124	HelleBol	3		plattform
1970-2015_plattform_124	1970-2015_plattform_73	HelleBol	3		plattform
1970-2015_plattform_2243	1970-2015_plattform_2454	HelleBol	2		plattform
1970-2015_plattform_2299	1970-2015_plattform_2454	HelleBol	2		plattform
1929-1965_plattform_41	1970-2015_plattform_2299	HelleBol	3		plattform
1929-1965_plattform_39	1970-2015_plattform_2828	HelleBol	3		plattform
1929-1965_plattform_51	1970-2015_plattform_73	HelleBol	4		plattform
1929-1965_plattform_41	1929-1965_plattform_48	HelleBol	3		plattform
1929-1965_plattform_44	1970-2015_plattform_2106	HelleBol	3		plattform
1929-1965_plattform_13	1970-2015_plattform_2106	HelleBol	3		plattform
1929-1965_plattform_29	1970-2015_plattform_2106	HelleBol	3		plattform
