identifier1	identifier2	annotator	judgment	comment	lemma
1929-1965_pære_37	1970-2015_pære_16	HelleBol	0		pære
1929-1965_pære_6	1970-2015_pære_11	HelleBol	4		pære
1970-2015_pære_16	1970-2015_pære_5	HelleBol	4		pære
1970-2015_pære_11	1970-2015_pære_3	HelleBol	4		pære
1929-1965_pære_20	1970-2015_pære_11	HelleBol	2		pære
1929-1965_pære_39	1970-2015_pære_3	HelleBol	2		pære
1970-2015_pære_11	1970-2015_pære_14	HelleBol	4		pære
1929-1965_pære_33	1929-1965_pære_6	HelleBol	0		pære
1929-1965_pære_4	1970-2015_pære_14	HelleBol	1		pære
1929-1965_pære_5	1970-2015_pære_14	HelleBol	2		pære
1929-1965_pære_4	1970-2015_pære_3	HelleBol	1		pære
1970-2015_pære_13	1970-2015_pære_14	HelleBol	4		pære
1929-1965_pære_12	1970-2015_pære_14	HelleBol	4		pære
1929-1965_pære_33	1970-2015_pære_13	HelleBol	0		pære
1929-1965_pære_33	1970-2015_pære_16	HelleBol	0		pære
1929-1965_pære_33	1929-1965_pære_5	HelleBol	0		pære
1929-1965_pære_24	1929-1965_pære_4	HelleBol	0		pære
1929-1965_pære_33	1970-2015_pære_15	HelleBol	0		pære
1929-1965_pære_33	1970-2015_pære_9	HelleBol	0		pære
1929-1965_pære_33	1929-1965_pære_4	HelleBol	0		pære
1929-1965_pære_39	1929-1965_pære_4	HelleBol	1		pære
1929-1965_pære_39	1929-1965_pære_5	HelleBol	4		pære
1970-2015_pære_1	1970-2015_pære_11	HelleBol	2		pære
1929-1965_pære_33	1970-2015_pære_14	HelleBol	0		pære
1929-1965_pære_20	1929-1965_pære_33	HelleBol	0		pære
1970-2015_pære_10	1970-2015_pære_14	HelleBol	0		pære
1929-1965_pære_18	1970-2015_pære_11	HelleBol	2		pære
1929-1965_pære_12	1970-2015_pære_2	HelleBol	4		pære
1929-1965_pære_18	1970-2015_pære_2	HelleBol	2		pære
1929-1965_pære_24	1970-2015_pære_2	HelleBol	0		pære
1929-1965_pære_5	1970-2015_pære_2	HelleBol	2		pære
1970-2015_pære_15	1970-2015_pære_2	HelleBol	4		pære
1970-2015_pære_10	1970-2015_pære_2	HelleBol	0		pære
1929-1965_pære_18	1929-1965_pære_6	HelleBol	2		pære
1970-2015_pære_13	1970-2015_pære_2	HelleBol	4		pære
1970-2015_pære_1	1970-2015_pære_2	HelleBol	2		pære
1929-1965_pære_4	1929-1965_pære_6	HelleBol	1		pære
1970-2015_pære_14	1970-2015_pære_3	HelleBol	4		pære
1929-1965_pære_18	1970-2015_pære_14	HelleBol	2		pære
1970-2015_pære_14	1970-2015_pære_2	HelleBol	4		pære
1929-1965_pære_4	1970-2015_pære_2	HelleBol	1		pære
1929-1965_pære_5	1970-2015_pære_16	HelleBol	2		pære
1929-1965_pære_18	1929-1965_pære_5	HelleBol	4		pære
1929-1965_pære_5	1970-2015_pære_11	HelleBol	2		pære
1929-1965_pære_5	1970-2015_pære_13	HelleBol	2		pære
1929-1965_pære_18	1929-1965_pære_4	HelleBol	1		pære
1970-2015_pære_2	1970-2015_pære_9	HelleBol	4		pære
1929-1965_pære_33	1970-2015_pære_2	HelleBol	0		pære
1970-2015_pære_14	1970-2015_pære_5	HelleBol	4		pære
1929-1965_pære_20	1929-1965_pære_6	HelleBol	2		pære
1929-1965_pære_39	1970-2015_pære_9	HelleBol	2		pære
1929-1965_pære_6	1970-2015_pære_3	HelleBol	4		pære
1929-1965_pære_20	1970-2015_pære_1	HelleBol	4		pære
1929-1965_pære_20	1970-2015_pære_16	HelleBol	2		pære
1929-1965_pære_20	1929-1965_pære_39	HelleBol	4		pære
1929-1965_pære_20	1970-2015_pære_15	HelleBol	2		pære
1929-1965_pære_39	1970-2015_pære_5	HelleBol	2		pære
1929-1965_pære_33	1970-2015_pære_5	HelleBol	0		pære
1929-1965_pære_32	1970-2015_pære_5	HelleBol	0		pære
1970-2015_pære_11	1970-2015_pære_5	HelleBol	4		pære
1929-1965_pære_20	1929-1965_pære_24	HelleBol	0		pære
1929-1965_pære_20	1970-2015_pære_3	HelleBol	2		pære
1929-1965_pære_20	1970-2015_pære_5	HelleBol	2		pære
1929-1965_pære_6	1970-2015_pære_1	HelleBol	2		pære
1929-1965_pære_18	1970-2015_pære_3	HelleBol	2		pære
1929-1965_pære_6	1970-2015_pære_16	HelleBol	4		pære
1929-1965_pære_32	1970-2015_pære_3	HelleBol	0		pære
1929-1965_pære_32	1970-2015_pære_16	HelleBol	0		pære
1929-1965_pære_32	1970-2015_pære_10	HelleBol	0		pære
1929-1965_pære_32	1929-1965_pære_33	HelleBol	0		pære
1929-1965_pære_32	1929-1965_pære_5	HelleBol	0		pære
1929-1965_pære_32	1970-2015_pære_14	HelleBol	0		pære
1970-2015_pære_10	1970-2015_pære_5	HelleBol	0		pære
1929-1965_pære_12	1970-2015_pære_1	HelleBol	2		pære
1929-1965_pære_6	1970-2015_pære_14	HelleBol	4		pære
1929-1965_pære_39	1970-2015_pære_15	HelleBol	2		pære
1929-1965_pære_20	1970-2015_pære_14	HelleBol	2		pære
1929-1965_pære_20	1929-1965_pære_5	HelleBol	4		pære
1929-1965_pære_4	1970-2015_pære_1	HelleBol	1		pære
1929-1965_pære_6	1970-2015_pære_13	HelleBol	4		pære
1929-1965_pære_6	1970-2015_pære_2	HelleBol	4		pære
1929-1965_pære_12	1929-1965_pære_6	HelleBol	4		pære
1929-1965_pære_4	1970-2015_pære_11	HelleBol	1		pære
1929-1965_pære_6	1970-2015_pære_5	HelleBol	4		pære
1929-1965_pære_4	1970-2015_pære_16	HelleBol	1		pære
1929-1965_pære_39	1929-1965_pære_6	HelleBol	2		pære
1929-1965_pære_4	1970-2015_pære_15	HelleBol	1		pære
1929-1965_pære_32	1929-1965_pære_39	HelleBol	0		pære
1970-2015_pære_10	1970-2015_pære_3	HelleBol	0		pære
1929-1965_pære_18	1970-2015_pære_5	HelleBol	2		pære
1929-1965_pære_12	1929-1965_pære_4	HelleBol	1		pære
1970-2015_pære_10	1970-2015_pære_13	HelleBol	0		pære
1970-2015_pære_13	1970-2015_pære_3	HelleBol	4		pære
1929-1965_pære_18	1970-2015_pære_13	HelleBol	2		pære
1929-1965_pære_32	1970-2015_pære_13	HelleBol	0		pære
1929-1965_pære_12	1929-1965_pære_5	HelleBol	2		pære
1970-2015_pære_2	1970-2015_pære_3	HelleBol	4		pære
1929-1965_pære_37	1970-2015_pære_13	HelleBol	0		pære
1970-2015_pære_3	1970-2015_pære_9	HelleBol	4		pære
1929-1965_pære_24	1929-1965_pære_6	HelleBol	0		pære
1929-1965_pære_32	1929-1965_pære_4	HelleBol	0		pære
1929-1965_pære_18	1929-1965_pære_32	HelleBol	0		pære
1929-1965_pære_12	1929-1965_pære_39	HelleBol	2		pære
1929-1965_pære_18	1929-1965_pære_20	HelleBol	4		pære
1929-1965_pære_33	1970-2015_pære_1	HelleBol	0		pære
1929-1965_pære_39	1970-2015_pære_1	HelleBol	4		pære
1970-2015_pære_1	1970-2015_pære_9	HelleBol	2		pære
1929-1965_pære_24	1929-1965_pære_37	HelleBol	0		pære
1929-1965_pære_12	1970-2015_pære_10	HelleBol	0		pære
1929-1965_pære_18	1970-2015_pære_10	HelleBol	0		pære
1929-1965_pære_5	1970-2015_pære_10	HelleBol	0		pære
1970-2015_pære_13	1970-2015_pære_15	HelleBol	4		pære
1929-1965_pære_24	1970-2015_pære_9	HelleBol	0		pære
1929-1965_pære_20	1970-2015_pære_9	HelleBol	2		pære
1970-2015_pære_10	1970-2015_pære_9	HelleBol	0		pære
1970-2015_pære_14	1970-2015_pære_9	HelleBol	4		pære
1929-1965_pære_6	1970-2015_pære_9	HelleBol	4		pære
1970-2015_pære_16	1970-2015_pære_9	HelleBol	4		pære
1929-1965_pære_37	1970-2015_pære_14	HelleBol	0		pære
1929-1965_pære_24	1929-1965_pære_33	HelleBol	0		pære
1970-2015_pære_1	1970-2015_pære_15	HelleBol	2		pære
1929-1965_pære_37	1970-2015_pære_1	HelleBol	0		pære
1970-2015_pære_1	1970-2015_pære_14	HelleBol	2		pære
1970-2015_pære_13	1970-2015_pære_16	HelleBol	4		pære
1970-2015_pære_16	1970-2015_pære_3	HelleBol	4		pære
1929-1965_pære_20	1970-2015_pære_10	HelleBol	0		pære
1970-2015_pære_10	1970-2015_pære_16	HelleBol	0		pære
1929-1965_pære_4	1970-2015_pære_10	HelleBol	0		pære
1970-2015_pære_1	1970-2015_pære_16	HelleBol	2		pære
1970-2015_pære_10	1970-2015_pære_11	HelleBol	0		pære
1929-1965_pære_32	1929-1965_pære_37	HelleBol	0		pære
1929-1965_pære_24	1970-2015_pære_10	HelleBol	0		pære
1929-1965_pære_37	1970-2015_pære_10	HelleBol	0		pære
1929-1965_pære_37	1929-1965_pære_5	HelleBol	0		pære
1929-1965_pære_37	1970-2015_pære_2	HelleBol	0		pære
1929-1965_pære_24	1970-2015_pære_1	HelleBol	0		pære
1929-1965_pære_24	1970-2015_pære_15	HelleBol	0		pære
1970-2015_pære_1	1970-2015_pære_10	HelleBol	0		pære
1929-1965_pære_5	1970-2015_pære_1	HelleBol	4		pære
1929-1965_pære_37	1929-1965_pære_6	HelleBol	0		pære
1929-1965_pære_37	1970-2015_pære_15	HelleBol	0		pære
1929-1965_pære_37	1929-1965_pære_39	HelleBol	0		pære
1970-2015_pære_11	1970-2015_pære_15	HelleBol	4		pære
1970-2015_pære_15	1970-2015_pære_9	HelleBol	4		pære
1970-2015_pære_15	1970-2015_pære_16	HelleBol	4		pære
1929-1965_pære_37	1970-2015_pære_3	HelleBol	0		pære
1970-2015_pære_10	1970-2015_pære_15	HelleBol	0		pære
1970-2015_pære_14	1970-2015_pære_15	HelleBol	4		pære
1929-1965_pære_18	1929-1965_pære_39	HelleBol	4		pære
1929-1965_pære_33	1929-1965_pære_37	HelleBol	0		pære
1970-2015_pære_11	1970-2015_pære_5	alexandra_w	4		pære
1929-1965_pære_37	1970-2015_pære_5	alexandra_w	0		pære
