identifier1	identifier2	annotator	judgment	comment	lemma
1929-1965_rev_210	1970-2015_rev_122	HelleBol	2		rev
1929-1965_rev_229	1970-2015_rev_45	HelleBol	1		rev
1929-1965_rev_145	1970-2015_rev_89	HelleBol	1		rev
1929-1965_rev_188	1970-2015_rev_89	HelleBol	4		rev
1929-1965_rev_229	1970-2015_rev_89	HelleBol	1		rev
1929-1965_rev_223	1970-2015_rev_89	HelleBol	1		rev
1929-1965_rev_98	1970-2015_rev_144	HelleBol	4		rev
1929-1965_rev_113	1929-1965_rev_229	HelleBol	1		rev
1929-1965_rev_145	1970-2015_rev_144	HelleBol	4		rev
1929-1965_rev_229	1970-2015_rev_128	HelleBol	4		rev
1929-1965_rev_223	1929-1965_rev_98	HelleBol	4		rev
1970-2015_rev_146	1970-2015_rev_89	HelleBol	1		rev
1929-1965_rev_98	1970-2015_rev_121	HelleBol	4		rev
1929-1965_rev_98	1970-2015_rev_29	HelleBol	4		rev
1929-1965_rev_145	1970-2015_rev_146	HelleBol	1		rev
1970-2015_rev_115	1970-2015_rev_146	HelleBol	1		rev
1929-1965_rev_229	1970-2015_rev_122	HelleBol	4		rev
1929-1965_rev_229	1970-2015_rev_76	HelleBol	4		rev
1929-1965_rev_229	1929-1965_rev_239	HelleBol	1		rev
1929-1965_rev_98	1970-2015_rev_62	HelleBol	4		rev
1970-2015_rev_121	1970-2015_rev_122	HelleBol	4		rev
1929-1965_rev_98	1970-2015_rev_76	HelleBol	4		rev
1970-2015_rev_29	1970-2015_rev_62	HelleBol	4		rev
1929-1965_rev_156	1970-2015_rev_62	HelleBol	4		rev
1929-1965_rev_223	1970-2015_rev_62	HelleBol	4		rev
1929-1965_rev_188	1970-2015_rev_128	HelleBol	1		rev
1970-2015_rev_122	1970-2015_rev_144	HelleBol	4		rev
1970-2015_rev_144	1970-2015_rev_29	HelleBol	4		rev
1929-1965_rev_188	1970-2015_rev_115	HelleBol	4		rev
1929-1965_rev_210	1970-2015_rev_144	HelleBol	2		rev
1929-1965_rev_239	1970-2015_rev_144	HelleBol	1		rev
1929-1965_rev_113	1970-2015_rev_144	HelleBol	1		rev
1929-1965_rev_210	1970-2015_rev_89	HelleBol	1		rev
1929-1965_rev_112	1929-1965_rev_229	HelleBol	1		rev
1929-1965_rev_98	1970-2015_rev_128	HelleBol	4		rev
1929-1965_rev_98	1970-2015_rev_115	HelleBol	1		rev
1970-2015_rev_122	1970-2015_rev_146	HelleBol	1		rev
1970-2015_rev_115	1970-2015_rev_89	HelleBol	4		rev
1929-1965_rev_145	1929-1965_rev_156	HelleBol	4		rev
1929-1965_rev_156	1970-2015_rev_76	HelleBol	4		rev
1929-1965_rev_210	1970-2015_rev_45	HelleBol	1		rev
1929-1965_rev_113	1970-2015_rev_45	HelleBol	1		rev
1929-1965_rev_113	1970-2015_rev_128	HelleBol	1		rev
1970-2015_rev_146	1970-2015_rev_45	HelleBol	1		rev
1970-2015_rev_122	1970-2015_rev_45	HelleBol	1		rev
1970-2015_rev_115	1970-2015_rev_45	HelleBol	4		rev
1970-2015_rev_45	1970-2015_rev_89	HelleBol	4		rev
1970-2015_rev_144	1970-2015_rev_45	HelleBol	1		rev
1929-1965_rev_156	1970-2015_rev_115	HelleBol	1		rev
1970-2015_rev_115	1970-2015_rev_144	HelleBol	1		rev
1929-1965_rev_113	1970-2015_rev_115	HelleBol	1		rev
1970-2015_rev_128	1970-2015_rev_76	HelleBol	4		rev
1970-2015_rev_122	1970-2015_rev_128	HelleBol	4		rev
1970-2015_rev_122	1970-2015_rev_29	HelleBol	4		rev
1929-1965_rev_14	1970-2015_rev_62	HelleBol	4		rev
1929-1965_rev_156	1970-2015_rev_144	HelleBol	4		rev
1929-1965_rev_156	1929-1965_rev_210	HelleBol	2		rev
1970-2015_rev_146	1970-2015_rev_76	HelleBol	1		rev
1929-1965_rev_210	1929-1965_rev_98	HelleBol	2		rev
1929-1965_rev_112	1970-2015_rev_146	HelleBol	4		rev
1929-1965_rev_210	1970-2015_rev_76	HelleBol	2		rev
1970-2015_rev_146	1970-2015_rev_29	HelleBol	1		rev
1929-1965_rev_156	1970-2015_rev_128	HelleBol	4		rev
1929-1965_rev_239	1970-2015_rev_146	HelleBol	4		rev
1970-2015_rev_115	1970-2015_rev_121	HelleBol	1		rev
1929-1965_rev_156	1970-2015_rev_121	HelleBol	4		rev
1929-1965_rev_14	1970-2015_rev_115	HelleBol	1		rev
1970-2015_rev_115	1970-2015_rev_128	HelleBol	1		rev
1929-1965_rev_112	1970-2015_rev_76	HelleBol	1		rev
1929-1965_rev_112	1929-1965_rev_239	HelleBol	4		rev
1929-1965_rev_112	1970-2015_rev_122	HelleBol	1		rev
1970-2015_rev_128	1970-2015_rev_62	HelleBol	4		rev
1970-2015_rev_115	1970-2015_rev_122	HelleBol	1		rev
1970-2015_rev_62	1970-2015_rev_89	HelleBol	1		rev
1929-1965_rev_112	1970-2015_rev_89	HelleBol	1		rev
1970-2015_rev_45	1970-2015_rev_62	HelleBol	1		rev
1929-1965_rev_229	1970-2015_rev_29	HelleBol	4		rev
1929-1965_rev_145	1970-2015_rev_29	HelleBol	4		rev
1970-2015_rev_128	1970-2015_rev_29	HelleBol	4		rev
1929-1965_rev_188	1929-1965_rev_223	HelleBol	1		rev
1929-1965_rev_188	1970-2015_rev_144	HelleBol	1		rev
1929-1965_rev_14	1929-1965_rev_188	HelleBol	1		rev
1970-2015_rev_121	1970-2015_rev_146	HelleBol	1		rev
1929-1965_rev_156	1929-1965_rev_188	HelleBol	1		rev
1970-2015_rev_121	1970-2015_rev_29	HelleBol	4		rev
1929-1965_rev_113	1970-2015_rev_76	HelleBol	1		rev
1929-1965_rev_113	1970-2015_rev_121	HelleBol	1		rev
1929-1965_rev_113	1970-2015_rev_62	HelleBol	1		rev
1929-1965_rev_113	1929-1965_rev_156	HelleBol	1		rev
1929-1965_rev_112	1929-1965_rev_188	HelleBol	1		rev
1929-1965_rev_188	1970-2015_rev_76	HelleBol	1		rev
1929-1965_rev_145	1929-1965_rev_98	HelleBol	4		rev
