identifier1	identifier2	annotator	judgment	comment	lemma
1929-1965_ris_256	1929-1965_ris_76	HelleBol	1		ris
1970-2015_ris_19	1970-2015_ris_217	HelleBol	4		ris
1970-2015_ris_158	1970-2015_ris_19	HelleBol	1		ris
1970-2015_ris_19	1970-2015_ris_74	HelleBol	1		ris
1929-1965_ris_166	1970-2015_ris_19	HelleBol	4		ris
1929-1965_ris_127	1970-2015_ris_19	HelleBol	1		ris
1970-2015_ris_19	1970-2015_ris_58	HelleBol	1		ris
1929-1965_ris_166	1929-1965_ris_238	HelleBol	1		ris
1929-1965_ris_166	1970-2015_ris_158	HelleBol	1		ris
1929-1965_ris_166	1970-2015_ris_176	HelleBol	1		ris
1929-1965_ris_256	1970-2015_ris_58	HelleBol	3		ris
1929-1965_ris_166	1929-1965_ris_5	HelleBol	0		ris
1929-1965_ris_166	1929-1965_ris_172	HelleBol	1		ris
1929-1965_ris_166	1929-1965_ris_256	HelleBol	1		ris
1970-2015_ris_125	1970-2015_ris_158	HelleBol	0		ris
1929-1965_ris_166	1970-2015_ris_160	HelleBol	4		ris
1929-1965_ris_47	1929-1965_ris_69	HelleBol	4		ris
1929-1965_ris_256	1970-2015_ris_125	HelleBol	0		ris
1929-1965_ris_172	1970-2015_ris_150	HelleBol	1		ris
1970-2015_ris_150	1970-2015_ris_158	HelleBol	1		ris
1929-1965_ris_166	1970-2015_ris_125	HelleBol	0		ris
1929-1965_ris_166	1970-2015_ris_150	HelleBol	4		ris
1929-1965_ris_172	1929-1965_ris_238	HelleBol	3		ris
1929-1965_ris_256	1970-2015_ris_217	HelleBol	1		ris
1970-2015_ris_125	1970-2015_ris_58	HelleBol	0		ris
1929-1965_ris_69	1970-2015_ris_19	HelleBol	1		ris
1929-1965_ris_256	1929-1965_ris_26	HelleBol	1		ris
1929-1965_ris_76	1970-2015_ris_138	HelleBol	1		ris
1970-2015_ris_138	1970-2015_ris_185	HelleBol	4		ris
1970-2015_ris_138	1970-2015_ris_150	HelleBol	1		ris
1929-1965_ris_172	1929-1965_ris_76	HelleBol	1		ris
1970-2015_ris_138	1970-2015_ris_19	HelleBol	1		ris
1970-2015_ris_138	1970-2015_ris_217	HelleBol	1		ris
1929-1965_ris_28	1970-2015_ris_19	HelleBol	1		ris
1929-1965_ris_5	1970-2015_ris_176	HelleBol	0		ris
1929-1965_ris_238	1970-2015_ris_58	HelleBol	3		ris
1929-1965_ris_26	1929-1965_ris_69	HelleBol	1		ris
1970-2015_ris_125	1970-2015_ris_160	HelleBol	0		ris
1929-1965_ris_28	1970-2015_ris_125	HelleBol	0		ris
1970-2015_ris_158	1970-2015_ris_58	HelleBol	3		ris
1970-2015_ris_158	1970-2015_ris_160	HelleBol	1		ris
1929-1965_ris_127	1929-1965_ris_26	HelleBol	1		ris
1929-1965_ris_26	1970-2015_ris_19	HelleBol	1		ris
1929-1965_ris_127	1929-1965_ris_166	HelleBol	1		ris
1929-1965_ris_127	1929-1965_ris_256	HelleBol	4		ris
1929-1965_ris_127	1970-2015_ris_74	HelleBol	3		ris
1929-1965_ris_127	1970-2015_ris_176	HelleBol	3		ris
1970-2015_ris_158	1970-2015_ris_176	HelleBol	2		ris
1929-1965_ris_28	1970-2015_ris_158	HelleBol	1		ris
1929-1965_ris_28	1929-1965_ris_76	HelleBol	1		ris
1929-1965_ris_127	1970-2015_ris_158	HelleBol	3		ris
1970-2015_ris_150	1970-2015_ris_19	HelleBol	4		ris
1929-1965_ris_26	1970-2015_ris_160	HelleBol	1		ris
1929-1965_ris_256	1970-2015_ris_160	HelleBol	1		ris
1929-1965_ris_5	1970-2015_ris_58	HelleBol	0		ris
1970-2015_ris_150	1970-2015_ris_176	HelleBol	1		ris
1929-1965_ris_76	1970-2015_ris_58	HelleBol	1		ris
1970-2015_ris_176	1970-2015_ris_217	HelleBol	1		ris
1929-1965_ris_238	1929-1965_ris_47	HelleBol	4		ris
1929-1965_ris_256	1929-1965_ris_47	HelleBol	4		ris
1970-2015_ris_160	1970-2015_ris_74	HelleBol	1		ris
1970-2015_ris_138	1970-2015_ris_58	HelleBol	4		ris
1929-1965_ris_47	1970-2015_ris_125	HelleBol	0		ris
1970-2015_ris_125	1970-2015_ris_19	HelleBol	0		ris
1929-1965_ris_5	1970-2015_ris_158	HelleBol	0		ris
1929-1965_ris_69	1970-2015_ris_160	HelleBol	1		ris
1970-2015_ris_160	1970-2015_ris_176	HelleBol	1		ris
1970-2015_ris_125	1970-2015_ris_74	HelleBol	0		ris
1929-1965_ris_47	1970-2015_ris_176	HelleBol	3		ris
1929-1965_ris_28	1929-1965_ris_5	HelleBol	0		ris
1929-1965_ris_47	1970-2015_ris_19	HelleBol	1		ris
1970-2015_ris_176	1970-2015_ris_74	HelleBol	4		ris
1970-2015_ris_150	1970-2015_ris_74	HelleBol	1		ris
1929-1965_ris_256	1970-2015_ris_185	HelleBol	3		ris
1929-1965_ris_28	1970-2015_ris_150	HelleBol	1		ris
1929-1965_ris_238	1970-2015_ris_19	HelleBol	1		ris
1929-1965_ris_28	1970-2015_ris_217	HelleBol	1		ris
1970-2015_ris_158	1970-2015_ris_74	HelleBol	3		ris
1929-1965_ris_238	1929-1965_ris_28	HelleBol	1		ris
1929-1965_ris_172	1970-2015_ris_185	HelleBol	3		ris
1929-1965_ris_5	1929-1965_ris_76	HelleBol	0		ris
1929-1965_ris_5	1970-2015_ris_160	HelleBol	0		ris
1929-1965_ris_238	1970-2015_ris_74	HelleBol	3		ris
1929-1965_ris_69	1970-2015_ris_74	HelleBol	3		ris
1929-1965_ris_5	1970-2015_ris_138	HelleBol	0		ris
1929-1965_ris_28	1970-2015_ris_74	HelleBol	1		ris
1929-1965_ris_238	1970-2015_ris_150	HelleBol	1		ris
1929-1965_ris_47	1929-1965_ris_5	HelleBol	0		ris
1970-2015_ris_158	1970-2015_ris_217	HelleBol	1		ris
1970-2015_ris_185	1970-2015_ris_58	HelleBol	4		ris
1929-1965_ris_5	1970-2015_ris_125	HelleBol	0		ris
1929-1965_ris_26	1970-2015_ris_185	HelleBol	1		ris
1970-2015_ris_125	1970-2015_ris_150	HelleBol	0		ris
1970-2015_ris_160	1970-2015_ris_217	HelleBol	4		ris
1929-1965_ris_238	1929-1965_ris_5	HelleBol	0		ris
1929-1965_ris_172	1970-2015_ris_138	HelleBol	0		ris
1970-2015_ris_185	1970-2015_ris_217	HelleBol	1		ris
1929-1965_ris_69	1970-2015_ris_185	HelleBol	3		ris
1929-1965_ris_238	1970-2015_ris_217	HelleBol	1		ris
1970-2015_ris_185	1970-2015_ris_74	HelleBol	4		ris
1970-2015_ris_150	1970-2015_ris_217	alexandra_w	0		ris
1929-1965_ris_238	1929-1965_ris_47	alexandra_w	4		ris
1929-1965_ris_172	1970-2015_ris_176	alexandra_w	3		ris
1929-1965_ris_238	1929-1965_ris_5	alexandra_w	0		ris
1929-1965_ris_172	1970-2015_ris_217	alexandra_w	0		ris
1929-1965_ris_166	1929-1965_ris_47	alexandra_w	1		ris
1929-1965_ris_5	1970-2015_ris_217	alexandra_w	0		ris
1970-2015_ris_176	1970-2015_ris_217	alexandra_w	1		ris
1929-1965_ris_28	1970-2015_ris_74	alexandra_w	1		ris
1929-1965_ris_76	1970-2015_ris_74	alexandra_w	1		ris
1929-1965_ris_238	1970-2015_ris_176	alexandra_w	3		ris
1929-1965_ris_127	1929-1965_ris_26	alexandra_w	1		ris
1929-1965_ris_127	1970-2015_ris_158	alexandra_w	1		ris
1929-1965_ris_238	1929-1965_ris_256	alexandra_w	2		ris
1929-1965_ris_127	1970-2015_ris_217	alexandra_w	1		ris
1970-2015_ris_58	1970-2015_ris_74	alexandra_w	4		ris
1970-2015_ris_125	1970-2015_ris_176	alexandra_w	0		ris
