identifier1	identifier2	annotator	judgment	comment	lemma
1929-1965_sete_198	1970-2015_sete_528	HelleBol	0		sete
1929-1965_sete_108	1929-1965_sete_387	HelleBol	0		sete
1929-1965_sete_198	1970-2015_sete_295	HelleBol	0		sete
1929-1965_sete_57	1970-2015_sete_295	HelleBol	3		sete
1929-1965_sete_387	1970-2015_sete_295	HelleBol	0		sete
1929-1965_sete_387	1970-2015_sete_303	HelleBol	0		sete
1929-1965_sete_198	1929-1965_sete_387	HelleBol	0		sete
1929-1965_sete_494	1929-1965_sete_544	HelleBol	2		sete
1929-1965_sete_41	1929-1965_sete_544	HelleBol	0		sete
1929-1965_sete_198	1929-1965_sete_544	HelleBol	0		sete
1929-1965_sete_159	1929-1965_sete_387	HelleBol	0		sete
1929-1965_sete_159	1929-1965_sete_198	HelleBol	0		sete
1929-1965_sete_528	1970-2015_sete_3	HelleBol	2		sete
1929-1965_sete_494	1929-1965_sete_528	HelleBol	2		sete
1929-1965_sete_528	1970-2015_sete_351	HelleBol	0		sete
1929-1965_sete_528	1970-2015_sete_832	HelleBol	0		sete
1929-1965_sete_528	1970-2015_sete_855	HelleBol	4		sete
1970-2015_sete_528	1970-2015_sete_855	HelleBol	2		sete
1970-2015_sete_303	1970-2015_sete_855	HelleBol	4		sete
1929-1965_sete_387	1970-2015_sete_131	HelleBol	0		sete
1929-1965_sete_168	1970-2015_sete_351	HelleBol	0		sete
1929-1965_sete_387	1970-2015_sete_351	HelleBol	0		sete
1970-2015_sete_131	1970-2015_sete_295	HelleBol	2		sete
1929-1965_sete_168	1970-2015_sete_295	HelleBol	0		sete
1970-2015_sete_295	1970-2015_sete_832	HelleBol	0		sete
1929-1965_sete_105	1970-2015_sete_295	HelleBol	2		sete
1929-1965_sete_494	1970-2015_sete_351	HelleBol	0		sete
1929-1965_sete_108	1970-2015_sete_855	HelleBol	2		sete
1970-2015_sete_295	1970-2015_sete_351	HelleBol	0		sete
1970-2015_sete_131	1970-2015_sete_368	HelleBol	4		sete
1929-1965_sete_105	1970-2015_sete_368	HelleBol	4		sete
1929-1965_sete_159	1970-2015_sete_351	HelleBol	0		sete
1929-1965_sete_105	1970-2015_sete_351	HelleBol	0		sete
1929-1965_sete_108	1970-2015_sete_351	HelleBol	0		sete
1970-2015_sete_131	1970-2015_sete_855	HelleBol	2		sete
1929-1965_sete_168	1970-2015_sete_855	HelleBol	0		sete
1970-2015_sete_295	1970-2015_sete_368	HelleBol	2		sete
1929-1965_sete_108	1929-1965_sete_168	HelleBol	0		sete
1970-2015_sete_815	1970-2015_sete_832	HelleBol	0		sete
1970-2015_sete_3	1970-2015_sete_832	HelleBol	0		sete
