identifier1	identifier2	annotator	judgment	comment	lemma
1929-1965_stoff_104	1970-2015_stoff_10940	HelleBol	1		stoff
1929-1965_stoff_104	1970-2015_stoff_6542	HelleBol	1		stoff
1929-1965_stoff_1230	1970-2015_stoff_3262	HelleBol	4		stoff
1929-1965_stoff_1584	1970-2015_stoff_4953	HelleBol	4		stoff
1929-1965_stoff_1584	1970-2015_stoff_10200	HelleBol	1		stoff
1970-2015_stoff_2545	1970-2015_stoff_3262	HelleBol	1		stoff
1929-1965_stoff_1443	1929-1965_stoff_781	HelleBol	4		stoff
1929-1965_stoff_781	1970-2015_stoff_2545	HelleBol	4		stoff
1970-2015_stoff_10940	1970-2015_stoff_2604	HelleBol	4		stoff
1929-1965_stoff_1584	1970-2015_stoff_10940	HelleBol	4		stoff
1929-1965_stoff_781	1970-2015_stoff_2604	HelleBol	1		stoff
1970-2015_stoff_4953	1970-2015_stoff_6079	HelleBol	1		stoff
1970-2015_stoff_10200	1970-2015_stoff_4953	HelleBol	1		stoff
1929-1965_stoff_1528	1970-2015_stoff_10200	HelleBol	1		stoff
1970-2015_stoff_3262	1970-2015_stoff_6542	HelleBol	1		stoff
1970-2015_stoff_10200	1970-2015_stoff_3262	HelleBol	1		stoff
1970-2015_stoff_12954	1970-2015_stoff_2604	HelleBol	1		stoff
1929-1965_stoff_1230	1970-2015_stoff_12954	HelleBol	1		stoff
1929-1965_stoff_1528	1929-1965_stoff_1584	HelleBol	4		stoff
1929-1965_stoff_1317	1970-2015_stoff_3262	HelleBol	4		stoff
1929-1965_stoff_1528	1970-2015_stoff_2545	HelleBol	1		stoff
1929-1965_stoff_1230	1970-2015_stoff_2604	HelleBol	4		stoff
1929-1965_stoff_1525	1970-2015_stoff_6542	HelleBol	1		stoff
1929-1965_stoff_1584	1970-2015_stoff_10652	HelleBol	1		stoff
1929-1965_stoff_1443	1970-2015_stoff_10652	HelleBol	4		stoff
1970-2015_stoff_10652	1970-2015_stoff_6079	HelleBol	4		stoff
1929-1965_stoff_781	1970-2015_stoff_10652	HelleBol	4		stoff
1929-1965_stoff_1528	1970-2015_stoff_10652	HelleBol	1		stoff
1929-1965_stoff_1528	1970-2015_stoff_2433	HelleBol	4		stoff
1929-1965_stoff_104	1929-1965_stoff_822	HelleBol	1		stoff
1929-1965_stoff_822	1970-2015_stoff_10940	HelleBol	1		stoff
1929-1965_stoff_1443	1970-2015_stoff_6542	HelleBol	4		stoff
1970-2015_stoff_10652	1970-2015_stoff_10940	HelleBol	1		stoff
1929-1965_stoff_1525	1970-2015_stoff_10200	HelleBol	1		stoff
1929-1965_stoff_1230	1970-2015_stoff_10652	HelleBol	1		stoff
1929-1965_stoff_1317	1970-2015_stoff_10940	HelleBol	4		stoff
1929-1965_stoff_1443	1929-1965_stoff_1525	HelleBol	1		stoff
1929-1965_stoff_1525	1970-2015_stoff_3262	HelleBol	4		stoff
1929-1965_stoff_1443	1970-2015_stoff_2545	HelleBol	4		stoff
