lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
stoff	NN	1970	1970-2015	1970-2015_stoff_2433		Grunnvannshastigheten - og dermed transporttiden for de stoffer som oppløst i vannet følger dette fullstendig, er i tillegg til permeabiliteten også avhengig av det totale volum er åpne, vannførende sprekker (porøsiteten).	56:63	0:222	14100	real_norwegian_semantic_change	no	andrey
stoff	NN	1929	1929-1965	1929-1965_stoff_822		En må hjelpe barna til å legge nøye merke til form og farge på det som de skal tegne, så tegningen blir så saklig riktig som mulig. Også denne elevtegning bør vaere så selvstendig som mulig. Den kan vaere reproduserende etter laererens skisser, arbeidshefter eller til innprenting av stoff.	281:286	0:287	14117	real_norwegian_semantic_change	no	andrey
stoff	NN	1929	1929-1965	1929-1965_stoff_1317		Endr. i forskrifter av 29. mars 1935 om innførsel av gifter og apotekvarer til fabrikanter, håndverkere og viteiiskapelige laboratorier. Metanol. 16. februar. Endr. i forskr. av 2. mai 1930 og 13. mars 1931 om oppbevaring, sending og omsetning av helsefarlige stoffer (rotteutryddelsesmidler).	260:267	0:293	14108	real_norwegian_semantic_change	no	andrey
stoff	NN	1929	1929-1965	1929-1965_stoff_1525		Det «'il si at man i sigevannet skulde finne en lang rekke sa vel baser som svreradikaler,i det hele alle de stoffer som finnes i jorden; men på grunn av Jordens absorbsjon eptrer mange av disse stoffer i sigevar.net i så liten mengde at når det er tale om å anslå tapet, kan en dei settes ut av betraktning. Således pleier ofte f.eks. fosfatjoncne optre bare som spor i sigevannet.	109:116	0:382	14104	real_norwegian_semantic_change	no	andrey
stoff	NN	1970	1970-2015	1970-2015_stoff_4953		Samtidig øker tilførselen av eros jonsmateri ale og humus slik at farge, turbiditet og innhold av organisk stoff og naeringssalter øker. Generelt sett har både Imsa og spesielt Atna et saltfattigere og mindre buffret vann enn Glåma. Dette påvirker hovedvassdraget som etter samløpet med Atna får noe lavere verdier for ledningsevne, pH og alkalitet. Fig. 16 Vannføring i Glåma ved Stai vannmerke uttrykt som midlere døgnvannføring. Konsesjonsbetinget minimumsvannføring i sommerperioden er 40 m 3 /s. Dette er markert med stiplet linje i figuren.	107:112	0:545	14106	real_norwegian_semantic_change	no	andrey
stoff	NN	1970	1970-2015	1970-2015_stoff_2604		Hvis det i tilknytning til en kjernesmeltning oppstår overtrykk, dampeksplosjoner m.v. som medfører brudd i inneslutningen som omgir reaktortanken, kan store mengder radioaktive stoffer frigjøres til omgivelsene etter at kjernen er smeltet.	152:157	0:240	14118	real_norwegian_semantic_change	no	andrey
stoff	NN	1970	1970-2015	1970-2015_stoff_12954		En opplever det noen ganger som utilfredsstillende å skulle legge fra seg en sak en holder på med for å gjøre andre ting i flere dager. Når en så tar fatt igjen kreves det litt tid før en kommer inn i stoffet igjen. Ferie og fritid var det ikke fastsatt noe spesielt om, og vi følger kommunale kontorers ferier seiv om barnehagen følger skoleferiene.	201:208	0:350	14103	real_norwegian_semantic_change	no	andrey
stoff	NN	1929	1929-1965	1929-1965_stoff_1118		Til supplering av de i motinnlegget meddelte optysninger angående folkeretten i tidligere tider, skal man i det følgende henvise til endel uttalelser som dels direkte angikk Grønland, dels refererte sig til likeartede tilfeller. I anledning av stridighetene mellem Nederlandene og Kongen av Norge og Danmark i første halvdel av det 18 århundre blev det til bruk for den nederlandske regjering utarbeidet av den nederlandske sendemann i Hamburg, den bekjente rettslerde Jan Jacob Mauricius, flere inngående avhandlinger betitlet «Naleesingen on te strekken tot stoffe voor een Depeche over het Recht, gepreten deerd, bij de Kjoon van Noorwegen op de Noordelijke Eilanden en Landen» (Riksarkivet i Haag).	560:566	0:702	14112	real_norwegian_semantic_change	no	andrey
stoff	NN	1970	1970-2015	1970-2015_stoff_10940		Slike undersøkelser krever høy ekspertise og velutstyrte laboratorier. Utvalget antar at det neppe er aktuelt med systematisk undersøkelse av nye stoffer her i landet, men at slike undersøkelser kan vaere aktuelle for å få bekreftet, eventuelt avkreftet, mistanke til et spesielt stoff.	146:151	0:285	14115	real_norwegian_semantic_change	no	andrey
stoff	NN	1929	1929-1965	1929-1965_stoff_104		Tingene blir laget av stoff.	22:27	0:28	14119	real_norwegian_semantic_change	no	andrey
stoff	NN	1929	1929-1965	1929-1965_stoff_1584		Disse stoffer blir da av andre bakterier angrepet og videre omdannet.	6:13	0:69	14101	real_norwegian_semantic_change	no	andrey
stoff	NN	1929	1929-1965	1929-1965_stoff_1389		Laereren kan også ordne stoffet i biologiske grupper: planter og dyr i skogen, planter og dyr på enga osv., og i alle tilfelle må han vise elevene hvorledes planter og dyr lever sammen på de ymse steder, og er avhengige av hverandre og av forholdene ellers i naturen.	23:30	0:266	14113	real_norwegian_semantic_change	no	andrey
stoff	NN	1929	1929-1965	1929-1965_stoff_781		De må derfor laere noen av de alminneligste karttegn (kartografiske uttrykksmidler), således også de viktigste av de karttegn som nyttes på Norges geografiske Oppmålings rektangel- og gradavdelingskart, og de skal få noen rettleiing i å nytte et slikt kart i terrenget. Elevene skal også kunne skaffe seg geografiske opplysninger og kunnskaper fra vanlige handbøker og andre hjelpemidler. 3. Elevene må ha noe kjennskap til de viktigste deler av den fysiske og matematiske geografi (jordas plass i solsystemet, dag og natt, årstider, soner, ymse slag vaerlag osv.), de ulike livsvilkår på jorda og hovedårsakene til dem. 4. Noe kjennskap til de enkelte land, saerlig Norge og de land Norge har mest samkvem med. Om laering av navn og tall — se avsnittet Rettleiing p. I.» Der det høver, er minstekravene (d. e. det stoff som alle skoler skal gjennomgå) satt med kursiv i arbeidsplanen for klassene, men ellers må minstekravene i sine enkeltheter saerskilt formes ut i de bøker og andre hjelpemidler som blir godkjent til bruk i skolen.	811:816	0:1030	14110	real_norwegian_semantic_change	no	andrey
stoff	NN	1970	1970-2015	1970-2015_stoff_3262		Mange av de stoffene som står oppført i EU v s tilsetningsstoffdirektiver ville vaert tillatt i Norge dersom noen hadde søkt om slik tillatelse.	12:20	0:143	14114	real_norwegian_semantic_change	no	andrey
stoff	NN	1929	1929-1965	1929-1965_stoff_1443		Dette vil fremgå av merkene (b, bu, osv.) og av notene bøkene'har fått. Det er også laget henvisninger til skjønnlitteraere bøker som inneholder stoff av faglig verdi. Dewey's desimalsystem som fagbøkene er ordnet etter, er det gitt en oversikt over på side VI. Foruten Dewey-nummer har fagbøkene også Cutter-nummer, dvs. nummer etter forfatterens navn (se naermere forklaring side VI).	144:149	0:384	14116	real_norwegian_semantic_change	no	andrey
stoff	NN	1970	1970-2015	1970-2015_stoff_10652		Inf ormasjonstjenesten vil således vaere rettet både mot naeringen og forvaltningen, både med stoff av generell interesse og med stoff mot avgrensede sektorer og enkeltledd innen naering og forvaltning. NFFR-utvalget peker også på at fiskeriforskningsrådets behov, isolert sett, utgjør bare en del av naeringens totale behov om informasjonsformidling fra forskning og administrasjon, og utvalget finner det derfor uriktig å gå inn for oppbygging av omf attende egne ordninger.	92:97	0:472	14107	real_norwegian_semantic_change	no	andrey
stoff	NN	1970	1970-2015	1970-2015_stoff_6542		På grunnlag av det stoffet som i følge planen skal gjennom gås, kan elevene f. eks. vaere med å bestemme rekkefølgen av emnene, eventuelt hvor lang tid klassen bør bruke på de enkelte emner. I flere f eg kan det også vaere aktuelt å trekke inn nye emner etter elevenes spesielle onsker.	19:26	0:284	14111	real_norwegian_semantic_change	no	andrey
stoff	NN	1929	1929-1965	1929-1965_stoff_1528		Tåpene av disse stoffer foregrr til alle tider, når der er fuktighet nok til at sigevann opstår; men storst er tapet for alles vedkommende i den varme årstid, øar der produseres de sfirste mengder salpetersyre, forutsatt at der da ikke eksisterer en plantevekst som efter hvert ka/i opta salpetersyren.	16:23	0:302	14109	real_norwegian_semantic_change	no	andrey
stoff	NN	1929	1929-1965	1929-1965_stoff_1230		Godkjenningen kan kalles tilbake når tilsynsmyndigheten finner grunn til det. Det er ikke til hinder for at der senere gis ytterligere forskrifter eller pålegg om innretning og drift av anlegg og apparater. § 3. Lier eller bruker av anlegg, apparater eller stoffer som gar inn under denne lov. kan pålegges a betale avgift for godkjen- ning og tilsyn etter regler og satser som departementet bestemmer. Slik avgift kan også pålegges selger av apparater og materiell for undersøkelse og godkjenning. § 4. Blir de forskrifter eller pålegg som gis etter denne lov. ikke etterkommet innen den frist som er satt. kan departementet eller tilsynsmyndigheten forby bruk av vedkommende anlegg, apparater eller stoffer.	257:264	0:709	14120	real_norwegian_semantic_change	no	andrey
stoff	NN	1970	1970-2015	1970-2015_stoff_10200		En forutsetning er da at redaksjonen ikke lager mer spesielt stoff som intervjuer m.v.	61:66	0:86	14105	real_norwegian_semantic_change	no	andrey
stoff	NN	1970	1970-2015	1970-2015_stoff_2545		I utgangspunktet var målet å naerme seg idealet om en lokalsamf unnstilpasset skole ved 1. at elevene skulle gå mer ut i lokalsamfunnet og J) Prosjektgruppen for Lofotprosjektet har bestått av Asle Høgmo og Karl Jan Solstad (prosjektle- dere) og Bjørn Solberg og Tom Tiller (forsk- ningsassistenter). delta i den virksomhet som holder dette sam- funnet oppe, og 2. at lokalt/regionalt stoff og problemstillinger mer systematisk skulle trekkes inn i skolens undervisning.	384:389	0:469	14102	real_norwegian_semantic_change	no	andrey
