identifier1	identifier2	annotator	judgment	comment	lemma
1970-2015_tro_1641	1970-2015_tro_913	HelleBol	4		tro
1929-1965_tro_2693	1929-1965_tro_533	HelleBol	0		tro
1929-1965_tro_4360	1970-2015_tro_2507	HelleBol	0		tro
1970-2015_tro_1641	1970-2015_tro_2507	HelleBol	3		tro
1929-1965_tro_533	1970-2015_tro_2507	HelleBol	4		tro
1929-1965_tro_3377	1970-2015_tro_778	HelleBol	3		tro
1929-1965_tro_2476	1929-1965_tro_3377	HelleBol	4		tro
1929-1965_tro_4299	1970-2015_tro_2507	HelleBol	4		tro
1970-2015_tro_1453	1970-2015_tro_3683	HelleBol	4		tro
1929-1965_tro_2693	1970-2015_tro_2507	HelleBol	0		tro
1970-2015_tro_1365	1970-2015_tro_2507	HelleBol	4		tro
1970-2015_tro_2159	1970-2015_tro_2507	HelleBol	3		tro
1970-2015_tro_3683	1970-2015_tro_778	HelleBol	3		tro
1970-2015_tro_778	1970-2015_tro_913	HelleBol	4		tro
1929-1965_tro_1712	1970-2015_tro_778	HelleBol	3		tro
1970-2015_tro_348	1970-2015_tro_778	HelleBol	3		tro
1970-2015_tro_2507	1970-2015_tro_778	HelleBol	4		tro
1970-2015_tro_2159	1970-2015_tro_778	HelleBol	3		tro
1970-2015_tro_1365	1970-2015_tro_1641	HelleBol	3		tro
1970-2015_tro_1453	1970-2015_tro_2507	HelleBol	4		tro
1929-1965_tro_4068	1970-2015_tro_1641	HelleBol	0		tro
1929-1965_tro_4369	1970-2015_tro_2159	HelleBol	3		tro
1929-1965_tro_3377	1970-2015_tro_3683	HelleBol	3		tro
1929-1965_tro_4299	1970-2015_tro_778	HelleBol	4		tro
1929-1965_tro_4360	1970-2015_tro_3772	HelleBol	0		tro
1929-1965_tro_4299	1929-1965_tro_533	HelleBol	4		tro
1970-2015_tro_1365	1970-2015_tro_1453	HelleBol	3		tro
1929-1965_tro_2476	1970-2015_tro_1365	HelleBol	3		tro
1970-2015_tro_1365	1970-2015_tro_2159	HelleBol	3		tro
1929-1965_tro_1712	1970-2015_tro_1365	HelleBol	3		tro
1929-1965_tro_2693	1970-2015_tro_3683	HelleBol	0		tro
1929-1965_tro_1712	1970-2015_tro_3772	HelleBol	3		tro
1929-1965_tro_4068	1929-1965_tro_4299	HelleBol	3		tro
1929-1965_tro_1712	1970-2015_tro_1453	HelleBol	4		tro
1929-1965_tro_4360	1970-2015_tro_2107	HelleBol	0		tro
1929-1965_tro_2693	1929-1965_tro_4360	HelleBol	0		tro
1929-1965_tro_3762	1970-2015_tro_1365	HelleBol	3		tro
1929-1965_tro_2476	1970-2015_tro_2159	HelleBol	3		tro
1970-2015_tro_2107	1970-2015_tro_2159	HelleBol	3		tro
1929-1965_tro_533	1970-2015_tro_2159	HelleBol	3		tro
1929-1965_tro_533	1970-2015_tro_348	HelleBol	3		tro
1929-1965_tro_3762	1929-1965_tro_533	HelleBol	3		tro
1929-1965_tro_3762	1970-2015_tro_3683	HelleBol	3		tro
1929-1965_tro_2693	1970-2015_tro_2107	HelleBol	0		tro
1970-2015_tro_2159	1970-2015_tro_3683	HelleBol	4		tro
1970-2015_tro_2507	1970-2015_tro_3772	HelleBol	3		tro
1970-2015_tro_2107	1970-2015_tro_3772	HelleBol	3		tro
1970-2015_tro_1453	1970-2015_tro_3772	HelleBol	3		tro
1970-2015_tro_2107	1970-2015_tro_778	HelleBol	4		tro
1970-2015_tro_1365	1970-2015_tro_3772	HelleBol	3		tro
1970-2015_tro_3772	1970-2015_tro_778	HelleBol	3		tro
1929-1965_tro_3762	1970-2015_tro_2107	HelleBol	3		tro
1929-1965_tro_533	1970-2015_tro_778	HelleBol	4		tro
1929-1965_tro_4360	1970-2015_tro_1365	HelleBol	0		tro
1929-1965_tro_4360	1970-2015_tro_348	HelleBol	0		tro
1929-1965_tro_1712	1929-1965_tro_533	HelleBol	4		tro
1929-1965_tro_4899	1970-2015_tro_3683	HelleBol	3		tro
1929-1965_tro_4068	1929-1965_tro_4899	HelleBol	0		tro
1929-1965_tro_4360	1970-2015_tro_1641	HelleBol	0		tro
1929-1965_tro_2693	1970-2015_tro_778	HelleBol	0		tro
1929-1965_tro_4899	1970-2015_tro_1641	HelleBol	3		tro
1929-1965_tro_3762	1970-2015_tro_2507	HelleBol	3		tro
1929-1965_tro_4360	1970-2015_tro_913	HelleBol	0		tro
1970-2015_tro_2159	1970-2015_tro_348	HelleBol	4		tro
1929-1965_tro_533	1970-2015_tro_2107	HelleBol	4		tro
1970-2015_tro_3683	1970-2015_tro_3772	HelleBol	3		tro
1929-1965_tro_533	1970-2015_tro_1365	HelleBol	4		tro
1929-1965_tro_2693	1929-1965_tro_4899	HelleBol	0		tro
1929-1965_tro_533	1970-2015_tro_1453	HelleBol	3		tro
1929-1965_tro_2693	1970-2015_tro_348	HelleBol	0		tro
1929-1965_tro_4360	1970-2015_tro_1453	HelleBol	0		tro
1929-1965_tro_4369	1970-2015_tro_913	HelleBol	3		tro
1929-1965_tro_3762	1970-2015_tro_913	HelleBol	3		tro
1929-1965_tro_4369	1970-2015_tro_2107	HelleBol	3		tro
1970-2015_tro_1453	1970-2015_tro_913	HelleBol	3		tro
1970-2015_tro_2107	1970-2015_tro_3683	HelleBol	4		tro
1929-1965_tro_4369	1970-2015_tro_2507	HelleBol	3		tro
1929-1965_tro_4369	1970-2015_tro_778	HelleBol	3		tro
1929-1965_tro_1712	1929-1965_tro_4369	HelleBol	3		tro
1929-1965_tro_4360	1929-1965_tro_4369	HelleBol	0		tro
1929-1965_tro_2476	1970-2015_tro_2507	HelleBol	3		tro
1929-1965_tro_4369	1929-1965_tro_4899	HelleBol	4		tro
1929-1965_tro_4068	1970-2015_tro_913	HelleBol	3		tro
1929-1965_tro_3762	1929-1965_tro_4068	HelleBol	4		tro
1929-1965_tro_4068	1970-2015_tro_348	HelleBol	3		tro
1929-1965_tro_4068	1970-2015_tro_1453	HelleBol	3		tro
1970-2015_tro_1641	1970-2015_tro_3772	HelleBol	0		tro
1929-1965_tro_1712	1929-1965_tro_4068	HelleBol	3		tro
1929-1965_tro_3762	1970-2015_tro_1453	HelleBol	3		tro
1929-1965_tro_4369	1970-2015_tro_1365	HelleBol	3		tro
1970-2015_tro_2507	1970-2015_tro_913	HelleBol	4		tro
1929-1965_tro_4068	1970-2015_tro_2507	HelleBol	3		tro
1970-2015_tro_1453	1970-2015_tro_1641	HelleBol	0		tro
1970-2015_tro_3772	1970-2015_tro_913	HelleBol	3		tro
1929-1965_tro_2476	1970-2015_tro_913	HelleBol	3		tro
1929-1965_tro_2476	1929-1965_tro_4369	HelleBol	4		tro
1929-1965_tro_2476	1929-1965_tro_3762	HelleBol	4		tro
1929-1965_tro_2476	1929-1965_tro_4299	HelleBol	3		tro
1970-2015_tro_348	1970-2015_tro_3683	HelleBol	4		tro
1970-2015_tro_1641	1970-2015_tro_2107	HelleBol	0		tro
1929-1965_tro_3377	1970-2015_tro_348	alexandra_w	4		tro
1929-1965_tro_3762	1970-2015_tro_2507	alexandra_w	0		tro
1929-1965_tro_4068	1929-1965_tro_533	alexandra_w	4		tro
1929-1965_tro_3762	1970-2015_tro_348	alexandra_w	0		tro
1929-1965_tro_2476	1929-1965_tro_4899	alexandra_w	4		tro
1929-1965_tro_3377	1929-1965_tro_4899	alexandra_w	3		tro
1929-1965_tro_2476	1970-2015_tro_1453	alexandra_w	4		tro
1929-1965_tro_4899	1970-2015_tro_1641	alexandra_w	4		tro
1929-1965_tro_4360	1929-1965_tro_4899	alexandra_w	4		tro
1929-1965_tro_3762	1970-2015_tro_3683	alexandra_w	0		tro
1929-1965_tro_3762	1970-2015_tro_2159	alexandra_w	4		tro
1970-2015_tro_1641	1970-2015_tro_2159	alexandra_w	4		tro
1970-2015_tro_2159	1970-2015_tro_913	alexandra_w	3		tro
1970-2015_tro_1641	1970-2015_tro_348	alexandra_w	4		tro
1929-1965_tro_4899	1970-2015_tro_3772	alexandra_w	4		tro
1929-1965_tro_4899	1970-2015_tro_2507	alexandra_w	4		tro
1929-1965_tro_4068	1929-1965_tro_4360	alexandra_w	4		tro
1929-1965_tro_533	1970-2015_tro_2107	alexandra_w	3		tro
1929-1965_tro_3762	1929-1965_tro_4068	alexandra_w	0		tro
1929-1965_tro_4068	1970-2015_tro_2159	alexandra_w	0		tro
1929-1965_tro_2693	1970-2015_tro_1365	alexandra_w	1		tro
