lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
tro	NN	1970	1970-2015	1970-2015_tro_3772		Departementet har vurdert om straffelovens § 349 a som bl.a. rammer forretningsdrivende som nekter person tjenester på grunn av rase, tro eller homofil leveform uttrykkelig bør nevne HIV-positive.	134:137	0:196	13381	real_norwegian_semantic_change	no	andrey
tro	NN	1970	1970-2015	1970-2015_tro_2159		En godtroende gavemottaker kan etter annet ledd ikke holdes ansvarlig for mer enn den berikelsen som er oppnådd ved gaven. Det utbyttet vedkommende i god tro eventuelt har vunnet i tidsrommet før kreditoren gikk til søksmål for å kreve dekning, kan heller ikke kreves tilbakeført.	6:9	0:280	13392	real_norwegian_semantic_change	no	andrey
tro	NN	1929	1929-1965	1929-1965_tro_3762		Troen fastholder Gud på tross av alt som taler imot. Kjaerligheten gir sig hen i Guds vilje, selv om denne fører ad infernum.	24:29	0:124	13391	real_norwegian_semantic_change	no	andrey
tro	NN	1929	1929-1965	1929-1965_tro_4899		Den Hellige Ånd har gjort mig hellig ved å kalle og oplyse mig, så jeg tror på Jesus, og han gjør mig mer og mer hellig ved å op holde mig hos Jesus i den rette tro. 164. Hvorledes har den Hellige Ånd kalt di g ved evangeliet?	71:74	0:226	13382	real_norwegian_semantic_change	no	andrey
tro	NN	1929	1929-1965	1929-1965_tro_533		Siden indtok en fønikisk flaate de andre oprørske staedene ved Aegaeerhavet og Marmorasjøen. Jonerne hadde utspillet sin førerrolle indenfor den hellenske verden. Jonernes opstand styrket perserkongen i troen paa at han saa snart som mulig maatte bli faerdig med erobringen av Balkanhalv* »en, og deretter gjøre op regnskapet med Graekenland.	200:205	0:337	13389	real_norwegian_semantic_change	no	andrey
tro	NN	1970	1970-2015	1970-2015_tro_348		Utkastet synes ikke å gå lenger i å gi andre adgang til å oppta lån eller stille garantier enn det som ellers har vaert vanlig. For så vidt synes utkastet ikke å reise problemer i forhold til Grunnlovens regler om myndigheten til å oppta statslån. Utkastet § 5 siste ledd fastslår at avtale inngått i strid med bestemmelsen, dvs. avtaler som går utover fullmakter selskapet har etter loven, ikke skal vaere gyldige. Imidlertid forutsetter utkastet at en medkontrahent kan vinne rett dersom han har vaert i god tro.	507:510	0:511	13386	real_norwegian_semantic_change	no	andrey
tro	NN	1929	1929-1965	1929-1965_tro_1712		Han solgte unda villaparseller med en gevinst av en kvart million. Med opriktig nysgjerrighet ransaket han sine hemmeligste motiver, men måtte frikjenne sig; han hadde faktisk handlet i god tro.	190:193	0:194	13384	real_norwegian_semantic_change	no	andrey
tro	NN	1970	1970-2015	1970-2015_tro_1641		Dette resonnementet fomtsetter at de private akt??rene ikke prioriterer en kortsiktig gevinst ved ?? la eiendomsmassen forfalle. Hva ang??r det initielle investeringsbel??pet kan det selvsagt v??re at private akt??rer er flinkere og mer effektive til ?? prosjektere og styre ??byggingen, men totalt sett synes det rimelig ?? tro at det ikke vil v??re store forskjeller i selve investeringsbel??pet om kommunen eller private som st??r for investeringen.	325:328	0:452	13395	real_norwegian_semantic_change	no	andrey
tro	NN	1970	1970-2015	1970-2015_tro_3683		Nyere rettspraksis viser imidlertid at det ved vurderi7ngen av kravet til god tro i samiske brukerrelasjoner vil bli tatt høyde for at det ofte har vaert en språklig og kulturell barriere mellom de samiske rettspretendentene og det øvrige samfunnet, og at det derfor vil bli stilt lempeligere krav til brukernes gode tro enn ellers.	78:81	0:331	13383	real_norwegian_semantic_change	no	andrey
tro	NN	1970	1970-2015	1970-2015_tro_2107		Veiledergruppen fra denne kommunen fikk i utgangspunktet liten tro på etablerere fra egen kommune	63:66	0:97	13378	real_norwegian_semantic_change	no	andrey
tro	NN	1929	1929-1965	1929-1965_tro_4360		Desto eiendommeligere er det at H., trots denne motsetning til presten (som tillike var hans naermeste granne), sammen med ham blev opnevnt til valgmann for Eiker prestegjeld ved valget til Riksforsamlingen i 1814 og atter sammen med ham som bonderepresentant fra Buskeruds amt til selve Riksforsamlingen.	36:41	0:304	13377	real_norwegian_semantic_change	no	andrey
tro	NN	1929	1929-1965	1929-1965_tro_4369		"Han visste at det problem han behandlet, hørte til de mest lokkende for enhver historisk-filosofisk betrakter, og han mente åha fått øie på noget centralt og betydningsfullt, idet han pekte på romernes religiøse «enthusiasmus"" for sin by, sin øvrighet og sin tro som den dypestliggende årsak til romerrikets «Tilvaext"". Lesning av Shaftesbury hadde øket H.s opmerksomhet for begrepet entusiasme, og hans forståelse av hvad lidenskapen og entusiasmen betydde for det enkelte menneske og for mange av historiens største begivenheter, var blitt mer og mer utdypet, efter hvert som han gjennem studiet av sine «helter"" og «heltinner"" fant stadig nye eksempler på at «store og heroiske Actioner"" var frukten av «Passioner"", eller endog av «Fanaticimus"". Avhandlingen om Roms tilvekst er på en vis det mest interessante av H.s historiske arbeider; den danner også en slags avslutning på hans egentlige historiske forfatterskap."	259:262	0:920	13390	real_norwegian_semantic_change	no	andrey
tro	NN	1970	1970-2015	1970-2015_tro_1453		De faktiske kravene til god tro er relativt strenge. Sannhet på sin side fritar ikke alltid for ansvar. 9.8.3 Forhåndskontroll	28:31	0:126	13393	real_norwegian_semantic_change	no	andrey
tro	NN	1970	1970-2015	1970-2015_tro_913		I den komitéinnstilling som ble fremlagt i februar 1968 var det således ikke foretatt noen generell vurdering av forhold som har sammenheng med den penge og kredittpolitikk som hadde vaert ført. Komiteen syntes å ha liten tro på at tekniske tiltak for å oppnå en effektivisering av kapital markedet, ville kunne bidra noe vesentlig til økning av den totale sparing i samfunnet.	221:224	0:376	13388	real_norwegian_semantic_change	no	andrey
tro	NN	1929	1929-1965	1929-1965_tro_2476		Så kalte han de nedenunder ventende «hellige» og saerlig enkene inn for å fremstille henne levende for dem. Som det var å vente, blev dette under (v. 42) snart bekjent over hele byen, og følgen derav blev da at også ved denne leilighet mange kom til troen på Herren. Sannsynligvis var det disse tallrike omvendelser som gjorde at Peter (v. 43) blev en lengre tid i Joppe, hvor han bodde som gjest hos en garver med samme navn som han seiv.	78:81	0:438	13376	real_norwegian_semantic_change	no	andrey
