lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
tropp	NN	1970	1970-2015	1970-2015_tropp_205		For det første kommer man da lett i den vanskelighet at man får sterk konkurranse med hele vår handelsflåte, som også skal drives under krig, og dernest er det i Marinen krav til uendelig mange andre egenskaper enn nettopp den å vaere sjøkyndig. Videre er det et kolossalt behov for personell i staber, i tropper og i avdelinger bak. Det har vist seg nå her i Oslo i de to måneder vi har vaert her, at det å få kontorhjelp, magasinfolk og lignende er uhyre vanskelig, for statens lønninger er nå engang ikke så forferdelig høye, og det er meget vanskelig, saerlig nå i feriemånedene, i sommermånedene, å få inn dyktige folk på de lønninger som i dag gjelder for assistent II i statens tjeneste.	304:311	0:691	13522	real_norwegian_semantic_change	no	andrey
tropp	NN	1970	1970-2015	1970-2015_tropp_372		Dette befalet beklier de fleste stilMngene i mobiliseriingsavdelingene (ca 80 —90%) både ved tropp og i administrasjonen.	93:98	0:121	13505	real_norwegian_semantic_change	no	andrey
tropp	NN	1970	1970-2015	1970-2015_tropp_393		Han nevnte behovet for opplaering av personell, og pekte på bl.a. Norge som et land med nyttig kunnskap og erfaring på dette felt. Andre tanker og forslag i «Program for fred» som fikk stor oppmerksomhet var forebyggende diplomati, forebyggende utplassering av tropper og observatører, innsamling av informasjon, oppfølgingstiltak, og et naermere samarbeid mellom regionale organisasjoner og FN. Også tanken om et eget reserve/oppstartings-fond for fredsbevarende operasjoner fikk støtte. Mexico uttrykte bekymring over flere av forslagene i «Agenda for fred», og hevdet bl.a. at forebyggende styrkeutplasseringer i nasjonale krisesituasjoner kunne føre til at FN ble blandet inn i saker som ligger helt og holdent innenfor enkeltstatenes jurisdiksjon. Sikkerhetsrådets sammensetning og funksjon opptok talerne i debatten.	260:267	0:820	13512	real_norwegian_semantic_change	no	andrey
tropp	NN	1970	1970-2015	1970-2015_tropp_163		Offiserene vil således gjennomføre all sin tjeneste ved tropp og stab på lavere nivå ved sitt regiments stamgarnison, og tjenestegjør kun utenfor regimentet når de beordres til fellesinstitusjoner for Haeren eller hele forsvarsmakten (stabsskoler, MILO-stab etc).	56:61	0:262	13520	real_norwegian_semantic_change	no	andrey
tropp	NN	1970	1970-2015	1970-2015_tropp_521		På statsministermøtet i forbindelse med sesjonen i Stockholm ble det vedtatt en erklaering om russiske tropper i Baltikum, jfr.vedlegg 2. Statsministrene viste til sitt tidligere engasjement i saken og understreket betydningen av at de russiske tropper ble trukket ut av Estland og Latvia som forutsatt, dv 5.31.8.94.	102:109	0:316	13515	real_norwegian_semantic_change	no	andrey
tropp	NN	1929	1929-1965	1929-1965_tropp_662		Nederland og Belgia var besatt, tyske tropper hadde nådd Kanalhavnene og veltet innover Frankrike fra nord og øst.	38:45	0:114	13510	real_norwegian_semantic_change	no	andrey
tropp	NN	1929	1929-1965	1929-1965_tropp_726		I samsvar med disse grunnsetninger vil øverstkommanderende ha myndighet til å disponere norske tropper på en slik måte at de yter det beste bidrag til Norges forsvar ut fra sunne militaere hensyn.	95:102	0:195	13506	real_norwegian_semantic_change	no	andrey
tropp	NN	1970	1970-2015	1970-2015_tropp_280		Det ungarske arbeiderparti, Sovjetunionens kommunistiske parti og andre av våre broderpartier er gitt beskjed om de standpunkter NKP har tatt i den aktuelle situasjon.» 99 Friheten var svaert kritisk da meldingen kom om at Imre Nagy, lederen under opptstanden, ble fengslet mens han var lovet fritt leide 100 -og avisen krevde flere ganger at de sovjetiske troppene skulle trekkes ut. 101 Som kjent ble ikke troppene trukket tilbake.	356:364	0:432	13518	real_norwegian_semantic_change	no	andrey
tropp	NN	1929	1929-1965	1929-1965_tropp_43		Ebert sitter forholdsviB fast i sadlen, og de andre partiene venter bare på at front - troppene skal komme tilbake og garden holde sitt inntog.	87:95	0:143	13521	real_norwegian_semantic_change	no	andrey
tropp	NN	1970	1970-2015	1970-2015_tropp_353		En tropp dekket Svangstrandveien mot Lier. Kompaniordren lød på oppholdende strid hvis tyske tropper kom denne veien.	3:8	0:117	13507	real_norwegian_semantic_change	no	andrey
tropp	NN	1929	1929-1965	1929-1965_tropp_225		På et øieblikk er geledet dannet, Sousa skingrer fra hundre horn, i forrykende fart setter de av gårde med stjernebanneret i spissen, det viftes med flagg kra vinduene, det er begeistring i luften, blodet hvirvler som trommehvirvler gjennem årene, hal Joh America, dere kom allikevel? Bir! Fire admiralskib på rad og rekke utenfor vinduene, England, Amerika, Frankrike, Japan, og rundt omkring kryssere og kanonbåter, svart og hvitt stål til ankers, med kanonene innover mot byen, og flaggene flommende trassig på stedet marsj i monsunen! Kilometer av piggtråd rundt byen, tropper på vakt overalt, løpegraver, sandsekker, barrikader, en forsvarslinje på 21 miles, svaere, røslige skikkelser ruvende allesteds over kineBerin6NFden, leirbål llaininende tett i tett Aenneui den Borte, lcineBiBke natt. Og nve tropper, nye kryssere hver dag, The British Empire seiler igjen og igjen inn på Shanghai N2vn, og intet skib er det siste. I iskald, rullende kuling over Spanskesjøen, i farvann av sol og krysopas gjennem Middelhavet, i tropenes dampende, oljeglinsende hete, overalt er khaki underveis!	573:580	0:1091	13526	real_norwegian_semantic_change	no	andrey
tropp	NN	1970	1970-2015	1970-2015_tropp_57		Oberst Gladstad var ikke i Kristiansand ved krigsutbruddet, men kom til Evje 11. april, og var de følgende dager vesentlig beskjeftiget med opp- setningen av nye tropper og med rekognoseringer.	162:169	0:193	13513	real_norwegian_semantic_change	no	andrey
tropp	NN	1929	1929-1965	1929-1965_tropp_620		De allierte planene om å angripe Trondheim fra nord og sør ble oppgitt, og da en kapitulasjon ble ansett som det eneste alternativ ble de britiske troppene trukket ut over Åndalsnes igjen i dagene 28. april til 1. mai. En britisk jager førte HOK til Tromsø og general H vinden Haug overga etter ordre fra general Ruge de gjenvaerende norske troppene i Romsdal 3. mai. E. Nord-Norge. 70. General Fleisoher var på inspeksjonsreise i Øst-Finnmark da han om ettermiddagen 8. april ble orientert pr. telefon fra Harstad om den truende situasjonen.	147:155	0:541	13514	real_norwegian_semantic_change	no	andrey
tropp	NN	1929	1929-1965	1929-1965_tropp_410		Strøket er saerlig kjent fra januar 1719, da mange av general Armfeldts tropper omkom på marsj fra Østby østover om Øyfjell og Essandsjøen.	71:78	0:138	13519	real_norwegian_semantic_change	no	andrey
tropp	NN	1929	1929-1965	1929-1965_tropp_739		Dessuten har han under etterforskingen gitt en rettslig forklaring av 7. mai 1949. * Welhaven hadde natten mellom 8. og 9. april flere samtaler med davaerende justisminister Terje Wold, som ga ham Regjeringens ordre om under enhver omstendighet å bli på sin plass og ta imot de tyske tropper og ivareta befolkningens interesser på beste måte. Umiddelbart etter at de første tyske tropper var rykket inn i Oslo, trådte de i forbindelse med Welhaven, som ga dem beskjed om den ordre han hadde fått. Senere på dagen den 9. april var Welhaven flere ganger i telefonforbindelse med Regjeringen på Hamar og i Elverum, og på Regjeringens foranledning hadde han samme dag noen samtaler med den tyske minister dr. Braiier. Den 10. april innfant sjefen for Geheime Feldpolizei, Korvetten-kapitån Meissner, seg på Welhavens kontor, hvor han i den følgende tid var i stadige konferanser.	283:290	0:874	13511	real_norwegian_semantic_change	no	andrey
tropp	NN	1970	1970-2015	1970-2015_tropp_548		"Det endelige målet var havneanlegget og jernbanestasjonen i Åndalsnes, hvor de allierte skipet inn tropper Graven til en ""ukjent"" tysk flyger."	99:106	0:142	13525	real_norwegian_semantic_change	no	andrey
tropp	NN	1929	1929-1965	1929-1965_tropp_540		Han stilte sine egne tropper under egen feltherre utnevnt av ham. Han og hans biskoper hadde også et stort antall slaver. Kirken var i sannhet en stat i staten.	21:28	0:160	13523	real_norwegian_semantic_change	no	andrey
tropp	NN	1929	1929-1965	1929-1965_tropp_376		Og han forstod at nu ble v det kamp. Han førte frem sine tropper så fort som mulig var. Og det varte ikke lenge før det bar løs, da de franske åpnet ild. Men det var heller ikke lenge før de franske blev kastet tilbake av de britiske. Men Wolfe seiv på den rødbrune hesten var alt såret to ganger.	57:64	0:297	13517	real_norwegian_semantic_change	no	andrey
tropp	NN	1970	1970-2015	1970-2015_tropp_530		Tabellen til fellestropp-damemosjon var laget av Klara Arntzen, og troppen ble selvsagt ledet av henne.	67:74	0:103	13516	real_norwegian_semantic_change	no	andrey
tropp	NN	1929	1929-1965	1929-1965_tropp_657		Videre norsk motstand hvis de allierte trakk seg ut, var håpløs. — Regjeringen ble enig om at Koht skulle møte Giinther i Luleå mandag formiddag 3. juni for å drøfte spørsmålet oim demarkasjonslinje, og det ble trukket opp visse linjer for de tilbud Koht skulle komme med. I tilfelle det var nødvendig å oppnå en ordning, skulle en ikke motsette seg ati svenske tropper overtok bevoktningen på begge sider av denne linje og i tilfelle også bevoktningen av Narvik. ! )	362:369	0:467	13509	real_norwegian_semantic_change	no	andrey
tropp	NN	1970	1970-2015	1970-2015_tropp_276		Dette krevde en saeregen disiplin og lydighet, der troppene var villig til å storme mot stillinger der overlevelsesjansen var svaert liten.	50:58	0:137	13524	real_norwegian_semantic_change	no	andrey
tropp	NN	1929	1929-1965	1929-1965_tropp_1		Hu sene blev beskutt fra festnin* gen, og kongen seiv holdt på å bli drept av en bombe, til slutt såtte borgerne under brø* drene Colbjørnsens ledelse seiv fyr på byen, og det lyktes ikke svenskene å stanse liden. Vred i hu måtte Carl den tolvte og hans tropper for* late Fredrikshald.	254:261	0:285	13508	real_norwegian_semantic_change	no	andrey
