identifier1	identifier2	annotator	judgment	comment	lemma
1970-2015_varsel_152	1970-2015_varsel_1619	HelleBol	4		varsel
1929-1965_varsel_52	1970-2015_varsel_1619	HelleBol	4		varsel
1970-2015_varsel_152	1970-2015_varsel_2770	HelleBol	4		varsel
1929-1965_varsel_285	1929-1965_varsel_52	HelleBol	4		varsel
1929-1965_varsel_180	1929-1965_varsel_52	HelleBol	4		varsel
1970-2015_varsel_152	1970-2015_varsel_3156	HelleBol	4		varsel
1970-2015_varsel_2770	1970-2015_varsel_3084	HelleBol	4		varsel
1970-2015_varsel_1890	1970-2015_varsel_2770	HelleBol	4		varsel
1929-1965_varsel_180	1970-2015_varsel_1890	HelleBol	4		varsel
1929-1965_varsel_238	1970-2015_varsel_1890	HelleBol	4		varsel
1929-1965_varsel_361	1970-2015_varsel_1890	HelleBol	4		varsel
1929-1965_varsel_285	1970-2015_varsel_1890	HelleBol	4		varsel
1929-1965_varsel_52	1970-2015_varsel_1890	HelleBol	4		varsel
1929-1965_varsel_431	1970-2015_varsel_2770	HelleBol	4		varsel
1970-2015_varsel_3084	1970-2015_varsel_484	HelleBol	4		varsel
1929-1965_varsel_253	1970-2015_varsel_1619	HelleBol	4		varsel
1929-1965_varsel_253	1970-2015_varsel_1890	HelleBol	4		varsel
1929-1965_varsel_361	1970-2015_varsel_484	HelleBol	4		varsel
1970-2015_varsel_3084	1970-2015_varsel_3156	HelleBol	4		varsel
1970-2015_varsel_2167	1970-2015_varsel_3156	HelleBol	4		varsel
1970-2015_varsel_1619	1970-2015_varsel_2272	HelleBol	4		varsel
1970-2015_varsel_1619	1970-2015_varsel_484	HelleBol	4		varsel
1929-1965_varsel_52	1970-2015_varsel_2272	HelleBol	4		varsel
1929-1965_varsel_238	1970-2015_varsel_2770	HelleBol	4		varsel
1929-1965_varsel_153	1929-1965_varsel_192	HelleBol	4		varsel
1970-2015_varsel_2272	1970-2015_varsel_3156	HelleBol	4		varsel
1929-1965_varsel_192	1970-2015_varsel_3156	HelleBol	4		varsel
1970-2015_varsel_1619	1970-2015_varsel_3084	HelleBol	4		varsel
1929-1965_varsel_52	1970-2015_varsel_3084	HelleBol	4		varsel
1929-1965_varsel_192	1970-2015_varsel_152	HelleBol	4		varsel
1929-1965_varsel_52	1970-2015_varsel_2051	HelleBol	4		varsel
1929-1965_varsel_431	1929-1965_varsel_52	HelleBol	4		varsel
1929-1965_varsel_180	1929-1965_varsel_431	HelleBol	4		varsel
1970-2015_varsel_152	1970-2015_varsel_2051	HelleBol	4		varsel
1970-2015_varsel_2167	1970-2015_varsel_484	HelleBol	4		varsel
1970-2015_varsel_152	1970-2015_varsel_484	HelleBol	4		varsel
1970-2015_varsel_3156	1970-2015_varsel_484	HelleBol	4		varsel
1929-1965_varsel_180	1970-2015_varsel_1619	HelleBol	4		varsel
1929-1965_varsel_224	1970-2015_varsel_484	HelleBol	4		varsel
1929-1965_varsel_85	1970-2015_varsel_152	HelleBol	4		varsel
1929-1965_varsel_285	1929-1965_varsel_85	HelleBol	4		varsel
1929-1965_varsel_180	1970-2015_varsel_2167	HelleBol	4		varsel
1929-1965_varsel_192	1929-1965_varsel_85	HelleBol	4		varsel
1929-1965_varsel_153	1929-1965_varsel_85	HelleBol	4		varsel
1970-2015_varsel_152	1970-2015_varsel_3084	HelleBol	4		varsel
1929-1965_varsel_85	1970-2015_varsel_3156	HelleBol	4		varsel
1970-2015_varsel_1890	1970-2015_varsel_3084	HelleBol	4		varsel
1929-1965_varsel_52	1970-2015_varsel_2167	HelleBol	4		varsel
1929-1965_varsel_238	1970-2015_varsel_3084	HelleBol	4		varsel
1929-1965_varsel_52	1970-2015_varsel_3156	HelleBol	4		varsel
1929-1965_varsel_153	1929-1965_varsel_431	HelleBol	4		varsel
1929-1965_varsel_153	1970-2015_varsel_2770	HelleBol	4		varsel
1970-2015_varsel_2770	1970-2015_varsel_980	HelleBol	4		varsel
1929-1965_varsel_153	1929-1965_varsel_238	HelleBol	4		varsel
1929-1965_varsel_153	1929-1965_varsel_285	HelleBol	4		varsel
1970-2015_varsel_1890	1970-2015_varsel_980	HelleBol	4		varsel
1929-1965_varsel_52	1970-2015_varsel_152	HelleBol	4		varsel
1929-1965_varsel_253	1929-1965_varsel_431	HelleBol	4		varsel
1929-1965_varsel_153	1970-2015_varsel_2167	HelleBol	4		varsel
1929-1965_varsel_180	1970-2015_varsel_152	HelleBol	4		varsel
1970-2015_varsel_2272	1970-2015_varsel_2770	HelleBol	4		varsel
1929-1965_varsel_85	1970-2015_varsel_484	HelleBol	4		varsel
1929-1965_varsel_238	1970-2015_varsel_2272	HelleBol	4		varsel
1929-1965_varsel_285	1970-2015_varsel_152	HelleBol	4		varsel
1929-1965_varsel_238	1929-1965_varsel_285	HelleBol	4		varsel
1929-1965_varsel_192	1970-2015_varsel_3084	HelleBol	4		varsel
1929-1965_varsel_224	1970-2015_varsel_2051	HelleBol	4		varsel
1929-1965_varsel_285	1970-2015_varsel_2051	HelleBol	4		varsel
1929-1965_varsel_192	1970-2015_varsel_2167	HelleBol	4		varsel
1929-1965_varsel_224	1929-1965_varsel_285	HelleBol	4		varsel
1929-1965_varsel_361	1929-1965_varsel_431	HelleBol	4		varsel
1929-1965_varsel_361	1970-2015_varsel_3156	HelleBol	4		varsel
1970-2015_varsel_2051	1970-2015_varsel_2272	HelleBol	4		varsel
1929-1965_varsel_285	1970-2015_varsel_2272	HelleBol	4		varsel
1970-2015_varsel_1890	1970-2015_varsel_2272	HelleBol	4		varsel
1929-1965_varsel_224	1970-2015_varsel_2770	HelleBol	4		varsel
1929-1965_varsel_224	1970-2015_varsel_2167	HelleBol	4		varsel
1929-1965_varsel_361	1970-2015_varsel_980	HelleBol	4		varsel
1929-1965_varsel_361	1970-2015_varsel_2051	HelleBol	4		varsel
1929-1965_varsel_224	1970-2015_varsel_3084	HelleBol	4		varsel
1929-1965_varsel_180	1929-1965_varsel_361	HelleBol	4		varsel
1929-1965_varsel_224	1970-2015_varsel_2272	HelleBol	4		varsel
1929-1965_varsel_180	1929-1965_varsel_192	HelleBol	4		varsel
1970-2015_varsel_2051	1970-2015_varsel_3084	HelleBol	4		varsel
1929-1965_varsel_224	1929-1965_varsel_361	HelleBol	4		varsel
1929-1965_varsel_285	1970-2015_varsel_1619	HelleBol	4		varsel
1970-2015_varsel_2051	1970-2015_varsel_3156	HelleBol	4		varsel
1970-2015_varsel_2167	1970-2015_varsel_980	HelleBol	4		varsel
1970-2015_varsel_2272	1970-2015_varsel_980	HelleBol	4		varsel
1929-1965_varsel_431	1970-2015_varsel_3156	HelleBol	4		varsel
1929-1965_varsel_285	1970-2015_varsel_980	HelleBol	4		varsel
1929-1965_varsel_253	1929-1965_varsel_285	HelleBol	4		varsel
1970-2015_varsel_2051	1970-2015_varsel_484	HelleBol	4		varsel
1929-1965_varsel_238	1970-2015_varsel_484	HelleBol	4		varsel
1929-1965_varsel_238	1970-2015_varsel_980	HelleBol	4		varsel
1929-1965_varsel_192	1929-1965_varsel_238	HelleBol	4		varsel
1929-1965_varsel_238	1970-2015_varsel_3156	HelleBol	4		varsel
1929-1965_varsel_253	1970-2015_varsel_2051	HelleBol	4		varsel
