lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
ørret	NN	1929	1929-1965	1929-1965_ørret_85		Men kommet hjem fra den ferden var Lars enda mere skygg enn før, skjønt sorgen på en måte var strøket av ham. Som han blev eldre hadde han nok her og der i fjellene laget sig en busu under stener eller i klipperevner; for jegere traff av og til på slike merker efter legstre; men med fiskingen gikk det aldri rart. Alltid, når en traff ham, var skrukken tom og Lars mager og suiten som en ulv; men aldri var der et ondt ord å høre, og aldri vilde han komme på legd eller bo fast på en gard, hvad mange av barmhjertighet hadde budt ham. * Regnet hadde bedaget sig; Finngutten var ferdig med sin fortelling, og vi drog med våre fiskestenger ut til strømmen. Det varte ikke lenge før den ene halvstore ørreten efter den andre slo på, og da klokken var to og den første anelse av demrende morgen begynte å vakne over strøm* men, var skrukkene fulle. Vi tok våre stenger inn og drog med tung bør sydover veien til Åsheim.	699:706	0:916	13713	real_norwegian_semantic_change	no	andrey
ørret	NN	1929	1929-1965	1929-1965_ørret_56		Mange fosser. Kvina rik på ørret.	27:32	0:33	13715	real_norwegian_semantic_change	no	andrey
ørret	NN	1929	1929-1965	1929-1965_ørret_35		"De (Trykt januar 1940.) krøp omkring, suget på røtter de gravde op av jorden, varmen gjorde dem godt, og langsomt vendte de tilbake til livet. 3ekB ørreter som ved fjaere sjø var blitt liggende på land, ?kågede jeg selv, og de andre tvende ginge udi Lamprensn og hente vin, som vi nu lang tid ikke hadde prøvet fordi ingen av oss hadde hatt appetitt dertil"". Daglig fikk ds nu fersk mat og fikk krefter til å bruke børsen."	148:155	0:421	13717	real_norwegian_semantic_change	no	andrey
ørret	NN	1970	1970-2015	1970-2015_ørret_294		Laget virket således som en bank som alle inn- og utbetalinger passerte gjennom. 901 av samtlige anlegg var medlemmer av laget. Laget hadde også et betydelig salg av levende Ørret, levert dels som fiskefisk, dels til restauranter og hotel ler.	0:0	0:243	13709	real_norwegian_semantic_change	no	andrey
ørret	NN	1970	1970-2015	1970-2015_ørret_115		Ørreten fra Mårvatnet og Vatnebuvatnet hadde IDDT-konsentrasjoner på henholdsvis 5,7 og 16 u.g/kg, mens typiske verdier for de andre normalvokste ørretbestander var 0,7-3 fuig/kg.	146:160	0:179	13703	real_norwegian_semantic_change	no	andrey
ørret	NN	1929	1929-1965	1929-1965_ørret_93		Jeg trekker store ørreter der. Og så er det multebaer på myren til deg, Nora! Det var av dem du fikk nu.» «Så du har en hest, Susamel?» sa hun. «Jeg har gjort en sal i stand til den.» «Sal!» ropte jeg entusiastisk. «Å, jeg skal lage en annen til deg, dette er en kvinnfolksal. ..» «Skal Nora der ut da?» «Jeg vet ikke,» sa han og bøy de seg ned og lukket opp en liten, rund tine, hvori han søkte efter noe. «Det får komme an på henne seiv, jeg vil nok gjerne ha henne dit; . . . men så kan det hende hun ikke liker seg.»	18:25	0:519	13716	real_norwegian_semantic_change	no	andrey
ørret	NN	1929	1929-1965	1929-1965_ørret_1		Mens selskapet innrettet seg her, gikk jeg i båt med Rasmus Bersund. Han hadde, som han uttrykte seg, latt ørreten hvile en stund, og nu fant han det på tide å sørge for at middagsbordet, så vel herskapets som båtfolkenes, ble tilstrekkelig besatt.	107:114	0:248	13707	real_norwegian_semantic_change	no	andrey
ørret	NN	1970	1970-2015	1970-2015_ørret_156		* Ørret satt ut av Norcem, * (trolig 1 somrig) 400/ år. * Dårlige gytemuligheter.	0:0	0:81	13722	real_norwegian_semantic_change	no	andrey
ørret	NN	1929	1929-1965	1929-1965_ørret_26		Jeg lovet meg derfor at jeg skulle ha noe ganske annerledes skarpt a ra imot dem med, dersom de ville komme igjen neste dag, da jeg måtte opp igjen for å baere ørreten opp i tjønnet.	159:166	0:181	13718	real_norwegian_semantic_change	no	andrey
ørret	NN	1970	1970-2015	1970-2015_ørret_275		På en strekning av ca 5 km er derfor denne elva nå tilnaermet fisketom. Ya var tidligere en god elv for sportsfiske etter ørret.	121:126	0:127	13724	real_norwegian_semantic_change	no	andrey
ørret	NN	1970	1970-2015	1970-2015_ørret_180		Ørreten omsettes i stor grad på det norske markedet, mens en mindre del blir eksportert.	0:0	0:88	13704	real_norwegian_semantic_change	no	andrey
ørret	NN	1970	1970-2015	1970-2015_ørret_218		For å produsere mer enn 136 000 tonn oppdrettsfisk (i ferskvann og sjøvann) går det med store kvanta fersk og frossen fisk. Frossenvare, så som makrell, hestemakrell, sardiner, ansjos, atca-makrell, saury og sandal brukes i stor utstrekning som mat for yellowtail, rød sea-bream og ål. I alt ble det brukt 650 000 tonn fersk og frossen fisk til foring av oppdrettsfisk i 1972. I tillegg til dette går det med 60000 tonn hvitt fiskemel til produksjon av tørrfor. Det tilsvarer 240 000 tonn Alaska-pollack. Totalt sett brukte oppdrettsnaeringen ca. 900 000 tonn fisk i 1972, direkte eller indirekte, til for. Man har her nådd en grense, da dette forbruket representerte nesten 10 pst. av den årlige fiskefangsten. Spesielt av ressursmessige årsaker, men også fordi våtféring skaper forurensningsproblemer ved intensivt oppdrett, søker man nå å gå over til tørrfor. Økt behov for automatisert foring stimulerer denne utviklingen. Gjaer og mikroorganismer produsert av jordolje har vaert forsøkt med godt resultat ved foring av ørret.	1021:1026	0:1027	13705	real_norwegian_semantic_change	no	andrey
ørret	NN	1970	1970-2015	1970-2015_ørret_125		Ligner vekt på over 1 kg Gyter om høsten på grus eller steinbunn i rennende vann. Bekkerøye kan tåle surt vann bedre enn ørret, og brukes en del der ørreten har gått ut. Den er bitevillig, men kan ha en tendens til å vandre ut mot havet. Bekkerøye er satt ut enkelte steder i Oslomarka.	121:126	0:286	13719	real_norwegian_semantic_change	no	andrey
ørret	NN	1970	1970-2015	1970-2015_ørret_111		I de kystnaere innsjøene i Agder-fylkene var det en tendens til at ørreten hadde tydelig forhøyde PCBnivåer sammenliknet med typiske verdier fra normalvokste ørretbestander.	66:73	0:172	13720	real_norwegian_semantic_change	no	andrey
ørret	NN	1929	1929-1965	1929-1965_ørret_84		Ørret forekommer også i disse vannene, men i svaert små mengder, og i mange av vannene er det ikke saerlig stor ørret å få. Hvert år settes det imidlertid ut en del ørretyngel i en del av skogsvannene, i Bergsvannet og i Eikeren, og her synes utsettingen å ha hatt en viss betydning.	110:115	0:281	13710	real_norwegian_semantic_change	no	andrey
ørret	NN	1929	1929-1965	1929-1965_ørret_31		Fraten gikk i virvar og vase fra et til annet om allting hjemme, om husene og rydningen og bråten og dattersønnen av 'lrofast, hunden, som var i hennes tid, og om Vermundsjoen og prammen og røyen og ørreten og tiurleken og det nye spannet hun fikk, som hang efter henne, og geitene og hesten han tenkte å kjøpe når han kom hjem, og hundre ting, som der hverken ble slutt eller greie på, før vognen stanset ved hotellet, og han måtte med opp for å prate videre.	199:206	0:460	13714	real_norwegian_semantic_change	no	andrey
ørret	NN	1970	1970-2015	1970-2015_ørret_21		Ørreten kan bli av brukbar størrelse og kvalitet.	0:0	0:49	13723	real_norwegian_semantic_change	no	andrey
ørret	NN	1929	1929-1965	1929-1965_ørret_34		I prestegårdshølen i Rena, hvor bygdens gamle fisker Sjuluspaer før med sine nattlige kunster tok fisken på langrev hvor ingen annen fikk, står nu i fullt dagslys Hauggubben med underlige fluer og fiskestang med snelle og snøre, som når hele elven over, og tar den store ørret og den sølvblanke harr, mens Sjuluspaer selv med skreppe og stang hinker i vei innover fjellviddene til Nekas og Sølnas opkommer, der hvor ørreten står stiv og stind inne under det myrgrønne torvland med sitt ensomme, sortblanke vann. Og bygdens ungdom leker ikke lenger sankthanskvelden under felelåt og dans over enger og jorder; heller ikke går springer og polskdans hissig i de store bjelkestuer ved juletid som før. Nu kjører «musikken» fra Elvedalen åtte mann høi med feler og kontrabass, klarinett og horn i ulveskinnspelser og byplagg sitt jubeltog fra julelek til julelek nele bygden over; i de dype kjellere, hvor gammelosten og prestosten fordum var herre bortover de brede hyller, og nvor de sterke øltønner holdt vakt ved kjellerhalsen, der brer nu hermetikk og fine bevarer Big, og i de halvt oprevne kasser ligger line flasker hulter til bulter, sølvkapslede og gullkapslede, og forkynner at tømmerprisene er steget og skogen tynnes.	270:275	0:1223	13712	real_norwegian_semantic_change	no	andrey
ørret	NN	1970	1970-2015	1970-2015_ørret_129		Ørret utsatt Kommune: Aurskog Høland Høyde overHavet: 22o Fiskearter: Abbor: Fiskearter: Abbor: Fiskearter Abbor: Gjedde: Kreps: Mort: Ørekyte :	0:0	0:144	13708	real_norwegian_semantic_change	no	andrey
ørret	NN	1929	1929-1965	1929-1965_ørret_24		Det kunne nesten ikke nytte å bruke andre, og da jeg bare hadde et par av den sort, måtte jeg neste dag til fjells for a skyte et par fjellryper, hvis sommerfjaer nettopp hadde den rette askegrå farge som ørreten ynder. Med fluer gjort av disse hendte det at jeg flere ganger fikk tvebitt av ørret på tre pund.	204:209	0:309	13711	real_norwegian_semantic_change	no	andrey
ørret	NN	1929	1929-1965	1929-1965_ørret_33		Men det haendte jo ogsaa, av og til, at man fik et hundrede halvtønder av blank fisk som kunde BZelg6B for et par hundrede daler. Om vinteren drev man ogßaa med fiskeri, men da med krok og snøre. Man kjørte ut en liten seildukshytte, hvori var seng og kokeovn, og satte den i ly av en liten ø eller ogsaa midt ute paa isflaten. ver hug man et hul i isen og lurte paa ørreten mens bundreder av inaaker svirret omkring.	366:373	0:416	13706	real_norwegian_semantic_change	no	andrey
