lemma	loss	loss_normalized	conflicts	conflicts_normalized	conflicts_between_clusters	conflicts_within_clusters	uncompared_cluster_combinations	uncompared_multi_cluster_combinations	excluded_nodes	judgments_per_edge	edgeshares	nodes	judgments_total
anfektelse	20.0	0.07017543859649122	38	0.2	33	5	0	0	1	1.9454545454545455	1=0.27,2=0.51,3=0.22	22	428
bit	0.5	0.003663003663003663	1	0.01098901098901099	0	1	0	0	8	2.303964757709251	1=0.15,2=0.40,3=0.45	22	523
bølge	9.5	0.03198653198653199	28	0.1414141414141414	19	9	2	0	0	1.681592039800995	1=0.44,2=0.43,3=0.12	22	338
damp	8.0	0.02680067001675042	15	0.07537688442211055	15	0	0	0	0	1.6926829268292682	1=0.46,2=0.38,3=0.16	22	347
data	0.0	0.0	0	0.0	0	0	0	0	0	1.6059113300492611	1=0.50,2=0.39,3=0.11	22	326
egg	3.5	0.014583333333333334	6	0.0375	2	4	0	0	2	1.6237113402061856	1=0.48,2=0.42,3=0.10	22	315
etterforskning	0.0	0.0	0	0.0	0	0	0	0	0	1.6567164179104477	1=0.48,2=0.39,3=0.13	22	333
fag	0.0	0.0	0	0.0	0	0	0	0	0	1.6071428571428572	1=0.49,2=0.41,3=0.10	22	315
fil	0.0	0.0	0	0.0	0	0	0	0	12	2.5956521739130434	1=0.06,2=0.28,3=0.66	22	597
forhold	8.5	0.029668411867364748	16	0.08376963350785341	12	4	0	0	0	1.5612244897959184	1=0.56,2=0.33,3=0.12	22	306
formiddagen	0.0	0.0	0	0.0	0	0	0	0	0	1.690721649484536	1=0.43,2=0.45,3=0.12	22	328
frakk	0.0	0.0	0	0.0	0	0	0	0	0	2.0881057268722465	1=0.26,2=0.40,3=0.34	22	474
gress	3.0	0.010869565217391304	2	0.010869565217391304	0	2	0	0	0	1.6421052631578947	1=0.48,2=0.39,3=0.13	22	312
horisont	8.5	0.029513888888888888	20	0.10416666666666667	19	1	0	0	0	1.7	1=0.42,2=0.45,3=0.12	22	340
husrom	0.0	0.0	0	0.0	0	0	0	0	0	1.7537688442211055	1=0.42,2=0.40,3=0.18	22	349
idiot	11.5	0.04307116104868914	20	0.11235955056179775	0	20	0	0	0	1.9162011173184357	1=0.33,2=0.42,3=0.25	20	343
kart	4.5	0.014705882352941176	3	0.014705882352941176	0	3	0	0	0	1.6829268292682926	1=0.46,2=0.39,3=0.15	22	345
katt	7.0	0.029723991507430998	8	0.050955414012738856	4	4	0	0	0	1.9751552795031055	1=0.32,2=0.39,3=0.29	19	318
kjemi	0.0	0.0	0	0.0	0	0	0	0	0	1.6020942408376964	1=0.50,2=0.40,3=0.10	22	306
kloakk	0.0	0.0	0	0.0	0	0	0	0	0	1.6536585365853658	1=0.49,2=0.36,3=0.15	22	339
landet	11.0	0.03492063492063492	18	0.08571428571428572	16	2	0	0	0	1.6981132075471699	1=0.44,2=0.42,3=0.14	22	360
leder	0.0	0.0	0	0.0	0	0	0	0	1	1.7864077669902914	1=0.39,2=0.43,3=0.18	22	368
leilighet	9.5	0.03198653198653199	8	0.04040404040404041	4	4	0	0	0	1.6515151515151516	1=0.47,2=0.41,3=0.12	22	327
linse	4.0	0.0196078431372549	8	0.058823529411764705	2	6	0	0	3	1.6	1=0.48,2=0.44,3=0.08	22	304
lyng	9.0	0.030303030303030304	8	0.04040404040404041	5	3	0	0	0	1.575	1=0.49,2=0.43,3=0.07	22	315
mål	5.5	0.016516516516516516	12	0.05405405405405406	11	1	0	0	0	2.0044642857142856	1=0.28,2=0.44,3=0.28	22	449
mening	16.5	0.0658682634730539	22	0.1317365269461078	20	2	0	0	1	1.6578947368421053	1=0.49,2=0.36,3=0.15	22	315
operasjon	13.0	0.04735883424408015	25	0.1366120218579235	18	7	0	0	0	1.640625	1=0.45,2=0.45,3=0.09	22	315
ørret	0.0	0.0	0	0.0	0	0	0	0	0	1.7793427230046948	1=0.40,2=0.41,3=0.18	22	379
pære	0.0	0.0	0	0.0	0	0	0	0	6	2.045045045045045	1=0.25,2=0.45,3=0.30	22	454
plattform	19.0	0.06998158379373849	36	0.19889502762430938	31	5	0	0	1	1.6570048309178744	1=0.46,2=0.42,3=0.12	22	343
rad	6.0	0.030303030303030304	12	0.09090909090909091	9	3	0	0	5	2.2177777777777776	1=0.18,2=0.43,3=0.40	22	499
rev	0.0	0.0	1	0.0048543689320388345	1	0	0	0	0	1.825242718446602	1=0.35,2=0.47,3=0.18	22	376
ris	4.0	0.017094017094017096	12	0.07692307692307693	8	4	0	0	2	1.6218905472636815	1=0.49,2=0.40,3=0.11	22	326
sete	9.0	0.03550295857988166	24	0.14201183431952663	19	5	0	0	1	1.615	1=0.49,2=0.41,3=0.10	22	323
skjerm	8.5	0.03275529865125241	17	0.09826589595375723	9	8	0	0	1	1.57	1=0.54,2=0.35,3=0.11	22	314
stoff	0.0	0.0	3	0.016483516483516484	3	0	0	0	1	1.64	1=0.47,2=0.41,3=0.12	22	328
tro	23.0	0.09956709956709957	37	0.24025974025974026	17	20	0	0	2	1.731958762886598	1=0.39,2=0.48,3=0.12	22	336
tropp	0.0	0.0	0	0.0	0	0	0	0	0	1.770334928229665	1=0.39,2=0.44,3=0.16	22	370
varsel	0.0	0.0	0	0.0	0	0	0	0	0	1.696969696969697	1=0.43,2=0.44,3=0.13	22	336
