identifier	cluster
1980-1990_kanal_831	5
1980-1990_kanal_270	2
1980-1990_kanal_125	0
1980-1990_kanal_258	3
1980-1990_kanal_349	1
1980-1990_kanal_345	2
1980-1990_kanal_377	1
1980-1990_kanal_415	1
1980-1990_kanal_686	0
1980-1990_kanal_353	1
1980-1990_kanal_109	0
2012-2019_kanal_8692	0
2012-2019_kanal_8394	0
2012-2019_kanal_12838	0
2012-2019_kanal_11537	0
2012-2019_kanal_9786	0
2012-2019_kanal_5427	4
2012-2019_kanal_16911	0
2012-2019_kanal_1230	0
2012-2019_kanal_572	0
2012-2019_kanal_7615	0
2012-2019_kanal_9749	0
