identifier	cluster
1980-1990_kohort_18	0
1980-1990_kohort_112	0
1980-1990_kohort_4	0
1980-1990_kohort_71	0
1980-1990_kohort_49	0
1980-1990_kohort_113	0
1980-1990_kohort_74	0
1980-1990_kohort_120	0
1980-1990_kohort_51	0
1980-1990_kohort_107	0
1980-1990_kohort_109	0
2012-2019_kohort_16	0
2012-2019_kohort_15	1
2012-2019_kohort_12	0
2012-2019_kohort_14	0
2012-2019_kohort_9	0
2012-2019_kohort_4	0
2012-2019_kohort_8	0
2012-2019_kohort_0	0
2012-2019_kohort_7	0
2012-2019_kohort_3	0
2012-2019_kohort_17	0
