identifier	cluster
1980-1990_oppvarming_162	0
1980-1990_oppvarming_406	0
1980-1990_oppvarming_43	0
1980-1990_oppvarming_278	0
1980-1990_oppvarming_4	0
1980-1990_oppvarming_329	0
1980-1990_oppvarming_354	0
1980-1990_oppvarming_220	0
1980-1990_oppvarming_202	0
1980-1990_oppvarming_111	0
1980-1990_oppvarming_244	0
2012-2019_oppvarming_1807	2
2012-2019_oppvarming_963	1
2012-2019_oppvarming_861	2
2012-2019_oppvarming_1959	1
2012-2019_oppvarming_951	1
2012-2019_oppvarming_3013	0
2012-2019_oppvarming_380	0
2012-2019_oppvarming_4228	1
2012-2019_oppvarming_3487	0
2012-2019_oppvarming_4642	1
2012-2019_oppvarming_673	2
