identifier	cluster
1980-1990_overflate_131	0
1980-1990_overflate_99	0
1980-1990_overflate_119	0
1980-1990_overflate_43	0
1980-1990_overflate_195	0
1980-1990_overflate_147	0
1980-1990_overflate_161	0
1980-1990_overflate_117	0
1980-1990_overflate_109	0
1980-1990_overflate_190	0
1980-1990_overflate_86	0
2012-2019_overflate_80	0
2012-2019_overflate_2134	0
2012-2019_overflate_1068	0
2012-2019_overflate_4137	0
2012-2019_overflate_3066	0
2012-2019_overflate_2549	0
2012-2019_overflate_1274	0
2012-2019_overflate_3559	0
2012-2019_overflate_4187	0
2012-2019_overflate_2440	0
2012-2019_overflate_3960	0
