identifier	cluster
1980-1990_side_5158	0
1980-1990_side_17317	2
1980-1990_side_696	1
1980-1990_side_18447	0
1980-1990_side_10680	0
1980-1990_side_16671	1
1980-1990_side_499	0
1980-1990_side_13395	0
1980-1990_side_14976	0
1980-1990_side_14943	0
1980-1990_side_6962	0
2012-2019_side_97621	0
2012-2019_side_78721	2
2012-2019_side_147294	0
2012-2019_side_76000	0
2012-2019_side_83577	0
2012-2019_side_112787	0
2012-2019_side_68890	0
2012-2019_side_105689	0
2012-2019_side_51919	1
2012-2019_side_93735	3
2012-2019_side_55086	0
