identifier	cluster
1980-1990_særforbund_7	0
1980-1990_særforbund_21	0
1980-1990_særforbund_13	0
1980-1990_særforbund_29	0
1980-1990_særforbund_12	0
1980-1990_særforbund_6	0
1980-1990_særforbund_0	0
1980-1990_særforbund_25	0
1980-1990_særforbund_27	0
1980-1990_særforbund_2	0
1980-1990_særforbund_15	0
2012-2019_særforbund_33	0
2012-2019_særforbund_799	0
2012-2019_særforbund_1478	0
2012-2019_særforbund_784	0
2012-2019_særforbund_717	0
2012-2019_særforbund_951	0
2012-2019_særforbund_707	0
2012-2019_særforbund_1157	0
2012-2019_særforbund_299	0
2012-2019_særforbund_219	0
2012-2019_særforbund_1215	0
