identifier	cluster
1980-1990_tape_172	0
1980-1990_tape_528	0
1980-1990_tape_144	-1
1980-1990_tape_165	-1
1980-1990_tape_224	-1
1980-1990_tape_45	-1
1980-1990_tape_260	-1
1980-1990_tape_393	0
1980-1990_tape_588	-1
1980-1990_tape_143	-1
1980-1990_tape_439	0
2012-2019_tape_14352	-1
2012-2019_tape_748	0
2012-2019_tape_12250	0
2012-2019_tape_14425	-1
2012-2019_tape_11735	-1
2012-2019_tape_3950	-1
2012-2019_tape_7222	-1
2012-2019_tape_15312	-1
2012-2019_tape_5554	0
2012-2019_tape_762	0
2012-2019_tape_15582	-1
