identifier	cluster
1980-1990_terror_12	0
1980-1990_terror_31	0
1980-1990_terror_13	0
1980-1990_terror_10	0
1980-1990_terror_28	0
1980-1990_terror_15	0
1980-1990_terror_1	0
1980-1990_terror_16	0
1980-1990_terror_4	0
1980-1990_terror_21	0
1980-1990_terror_2	0
2012-2019_terror_14388	0
2012-2019_terror_6800	0
2012-2019_terror_3031	0
2012-2019_terror_4205	0
2012-2019_terror_2997	0
2012-2019_terror_3702	0
2012-2019_terror_6826	0
2012-2019_terror_5210	0
2012-2019_terror_1095	0
2012-2019_terror_4048	0
2012-2019_terror_14908	0
