identifier	cluster
1980-1990_tjener_46	0
1980-1990_tjener_10	0
1980-1990_tjener_28	0
1980-1990_tjener_43	-1
1980-1990_tjener_30	0
1980-1990_tjener_0	0
1980-1990_tjener_17	0
1980-1990_tjener_14	0
1980-1990_tjener_38	0
1980-1990_tjener_29	0
1980-1990_tjener_27	0
2012-2019_tjener_612	-1
2012-2019_tjener_883	0
2012-2019_tjener_87	0
2012-2019_tjener_181	0
2012-2019_tjener_185	-1
2012-2019_tjener_126	0
2012-2019_tjener_889	-1
2012-2019_tjener_236	0
2012-2019_tjener_404	-1
2012-2019_tjener_581	-1
2012-2019_tjener_371	0
