identifier	cluster
1980-1990_utakt_44	0
1980-1990_utakt_18	0
1980-1990_utakt_40	0
1980-1990_utakt_11	0
1980-1990_utakt_25	0
1980-1990_utakt_41	0
1980-1990_utakt_20	0
1980-1990_utakt_6	0
1980-1990_utakt_31	0
1980-1990_utakt_28	0
1980-1990_utakt_43	0
2012-2019_utakt_312	0
2012-2019_utakt_224	0
2012-2019_utakt_757	0
2012-2019_utakt_254	0
2012-2019_utakt_543	0
2012-2019_utakt_120	0
2012-2019_utakt_581	0
2012-2019_utakt_230	0
2012-2019_utakt_36	0
2012-2019_utakt_197	0
2012-2019_utakt_266	0
