identifier	cluster
1980-1990_virkelighet_808	0
1980-1990_virkelighet_628	0
1980-1990_virkelighet_1009	0
1980-1990_virkelighet_1025	0
1980-1990_virkelighet_667	0
1980-1990_virkelighet_732	0
1980-1990_virkelighet_1000	0
1980-1990_virkelighet_163	0
1980-1990_virkelighet_915	0
1980-1990_virkelighet_144	0
1980-1990_virkelighet_1099	0
2012-2019_virkelighet_539	0
2012-2019_virkelighet_7718	0
2012-2019_virkelighet_17210	0
2012-2019_virkelighet_186	0
2012-2019_virkelighet_11464	0
2012-2019_virkelighet_13710	0
2012-2019_virkelighet_2550	0
2012-2019_virkelighet_8585	0
2012-2019_virkelighet_14295	0
2012-2019_virkelighet_8517	0
2012-2019_virkelighet_922	0
