lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
Syden	NN	2012	2012-2019	2012-2019_syden_83		INGEN SKATTEBOMBER: Agnar Carlsen avviser at det finnes noen skattebomber i Syden, med unntak kanskje av Hellas. Foto: Norsk Megling ADVARER:	76:81	0:141	15334	nor_dia_change_subset2	no	andrey
Syden	NN	1980	1980-1990	1980-1990_syden_0		Hvis det blir noe igjen når de faste utgiftene er betalt, drar de gjerne på hotellfest på lørdagen og på ferie til syden. Historien framstår gjerne i et mer forsonlig lys enn nåtiden.	115:120	0:183	15324	nor_dia_change_subset2	no	andrey
Syden	NN	2012	2012-2019	2012-2019_syden_87		Uansett hvilke reisemål du velger i Syden, vil du finne like store prisforskjeller mellom mai, juni, juli og august.	36:41	0:116	15339	nor_dia_change_subset2	no	andrey
Syden	NN	1980	1980-1990	1980-1990_syden_6		Og nu tilslutt hendte det en dag, jeg satt her og tenkte, hvor yndig vi kunne få det der nede i Syden, hvor det måtte bli rart å vise deg de verdens herligheter, - da sprang en av strengene på lutten.	96:101	0:200	15321	nor_dia_change_subset2	no	andrey
Syden	NN	1980	1980-1990	1980-1990_syden_1		Det kan vaere mange grunner til at antall «pakkereiser til Syden» er gått ned, og belegget på fjellstuer og gjestehytter i fjellet har gått opp i senere år, men vi skal ikke se bort fra at det skjer reelle holdningsendringer hos betydelige befolkningsgrupper (Jfr. vedlegg 8.3.2.b og c. Norsk Monitor).	58:63	0:301	15335	nor_dia_change_subset2	no	andrey
Syden	NN	1980	1980-1990	1980-1990_syden_5		I tillegg til tapet i form av inntektsskatt og arbeidsgiveravgift kommer også det inntektstapet det offentlige kan få ved unndragelse av andre former for skatter og avgifter. detes inntekter mot utlandet i form av kjøp av eiendommer i Syden, langtidsopphold osv.	235:240	0:262	15325	nor_dia_change_subset2	no	andrey
Syden	NN	1980	1980-1990	1980-1990_syden_7		«Hvi kan I innbille Jer, I, dårlige menneske, at en Herrens tjener går på akkord om gjerninger ligervis de kjetterske prester i Syden?» «Nåda, nåda,» sa Hollas, «det var ikke så vondt ment. Av meg skal	128:133	0:201	15333	nor_dia_change_subset2	no	andrey
Syden	NN	2012	2012-2019	2012-2019_syden_187		Men da artisjokk helkokt i klarnet smør skulle spises med hendene, slik de gjør i Syden, syntes Pepper det ble litt for mye. – Dette ble for fett og dynket i smør for meg. Tranen har kastet det opprinnelige husmannskostkonseptet over bord og omfavnet en mer internasjonal og ungdommelig meny.	82:87	0:292	15331	nor_dia_change_subset2	no	andrey
Syden	NN	2012	2012-2019	2012-2019_syden_313		Hva sier du hvis du ikke får ny Iphone eller får reise til Syden, spør voksne i avisenes kommentarfelt.	59:64	0:103	15338	nor_dia_change_subset2	no	andrey
Syden	NN	2012	2012-2019	2012-2019_syden_245		Man kan også bare vaere hjemme og finne må mye morsomt, det er ikke alltid nødvendig å måtte dra så mange spennende plasser for å ha en bra ferie. Du som ikke drar på en «fancy» ferie, kan ha en minst like kul og bra sommer som de som drar til «Syden» i noen uker. Husk det, man må ikke dra bort for å ha det gøy.	244:249	0:312	15327	nor_dia_change_subset2	no	andrey
Syden	NN	1980	1980-1990	1980-1990_syden_8		For kortere perioder kan det vaere aktuelt å leie seg inn i et motell, et pensjonat eller et hotell. I de senere år er det også blitt aktuelt at bedrifter skaffer sine ansatte ferieopphold i utlandet, saerlig i Syden, ved leie eller kjøp av feriested.Forskriftene av 1977 fastsetter skattefrihet for fordel ved «bruk av bedriftshytte».	209:214	0:333	15328	nor_dia_change_subset2	no	andrey
Syden	NN	2012	2012-2019	2012-2019_syden_111		utdannelse Hovedfag i samfunnsgeografi ved Universitetet i Bergen, økonomistudier ved Norges Handelshøyskole i Bergen. â - ¶ aktuell Mens resten av landet drar til Syden, holder Arild Hermstad seg til sin 33 år gamle seilbåt.	164:169	0:225	15329	nor_dia_change_subset2	no	andrey
Syden	NN	1980	1980-1990	1980-1990_syden_4		3. Egne hjem for krigspensjonister, der graden av service varierer fra leiligheter innrettet på at man må greie seg seiv til pleieavdelinger med heldøgnservice. 4. Tiltak i form av direkte økonomiske tilskudd. 5. Kort- eller langvarige kuropphold i syden. Også her er det en viss grad av variasjon mellom de ulike aldersgrupper, men den er heller liten. (Tabell 6.1, 6.2, 6.3, 6.4 og 6.5).	249:254	0:389	15336	nor_dia_change_subset2	no	andrey
Syden	NN	2012	2012-2019	2012-2019_syden_213		Tirsdag ettermiddag venter han på bistand til å fjerne treet med kraftige motorsager og kran-kapasitet. – Nå pakker vi sammen sakene våre og flykter til Syden, sier Haabesland til VG. Han og familien har lagt ned mye arbeid både i huset og på eiendommen rundt, med fossefall, fontener og frodig hageanlegg.	153:158	0:306	15340	nor_dia_change_subset2	no	andrey
Syden	NN	2012	2012-2019	2012-2019_syden_242		Gotland blir kalt «Skandinavias Syden» på grunn av strendene og det behagelige klimaet, skriver Visit Sweden i en pressemelding om kåringen. – Dette kommer ikke som en overraskelse på oss som jobber med vakre Gotland og alt området har å by på, men det er selvfølgelig helt fantastisk at en stor reiseguide som Lonely Planet løfter frem regionen, sier daglig leder Thomas Johansson i Visit Sweden i Norge. Vi har besøkt Gotland: Alf Ove Hansen	32:37	0:443	15326	nor_dia_change_subset2	no	andrey
Syden	NN	2012	2012-2019	2012-2019_syden_4		Han gjennomførte flere førstebestigninger både sommer og vinter i fjellveggene som er mest kjent for basehopping. Bjørn-Eivind Årtun fikk skryt på klatrenettstedet climbing.com da han i desember klatret en helt ny isrute i Patagonia i Argentina sammen med Ole Lied. Ville surfe mer I 2001 flyttet Stein-Ivar Gravdal til Stavanger, ifølge et intervju med Bergens Tidende for å dyrke sin andre store lidenskap: Surfing. I 1999 debuterte han i Himalaya, for å bestige bortgjemte Biancherathi Tower i den pakistanske delen av klatre-eldoradoet. Ingen hadde klatret i denne veggen før. Opplevelsen ga mersmak og han dro tilbake to år etter. - Dette er det samme som at andre folk reiser på ferie til syden.	695:700	0:701	15322	nor_dia_change_subset2	no	andrey
Syden	NN	1980	1980-1990	1980-1990_syden_3		Etter hvert som nordmenn og andre skandinaver har vaert på chartertur til Syden, har de blitt kjent med og fått erfaringer med slike anlegg.	73:78	0:139	15332	nor_dia_change_subset2	no	andrey
Syden	NN	2012	2012-2019	2012-2019_syden_270		I pressesenteret i Val di Fiemme ble det spekulert i om 32-åringen i det hele tatt kommer til å møte opp under NM i Hamar. Uansett om han møter opp, blir hjemme i Trøndelag eller tar en svipptur til Syden, vi vet aldri med Petter Northug, kommer langrennsdiskusjonene den kommende uka til å handle om ham. Hver dag Petter Northug fortsatt signaliserer at han satser på toppnivå, vil det bli slik.	199:204	0:396	15323	nor_dia_change_subset2	no	andrey
Syden	NN	1980	1980-1990	1980-1990_syden_2		Med floder av ord oversvømmer han sitt emne, med bjerg av setninger tårner han stemningsbilleder op: nettene over praerien, somrene i Syden, vintrene i Ny-England, fallende løv og susende regn, oktober, oktober.	133:138	0:210	15330	nor_dia_change_subset2	no	andrey
Syden	NN	2012	2012-2019	2012-2019_syden_22		Pris pr. person i 2-romsleilighet på Sea Melody (3 stjerner): 4.998,- TENERIFE: Apollo har også ledig en ukes ferie på Tenerife (Salvaje/Playa Paraiso Atlantic Holiday Center) med avreise 30. septemgber. Pris: 5.898,- PS! Kan du reise fra en annen by enn din egen, så er det ofte lettere å finne ledige plasser. Og: Syden er ikke bare charterturer!	316:321	0:348	15337	nor_dia_change_subset2	no	andrey
