lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
bystyrerepresentant	NN	1980	1980-1990	1980-1990_bystyrerepresentant_10		Bystyret vedtok i møte 4.2.1987 (sak 95) å kjøpe syv selveierleiligheter i Rosteds gt. 12 fra Oslo Byfornyelse A/S. Bystyrerepresentant Sigurd Østen var i 1987 medlem av styret i Oslo Byfornyelse A/S, men unnlot å fratre*. i. Bystyret vedtok 4.3.1987 (sak 176) å kjøpe 30 sameieleiligheter i Norbygt. 19-35 fra Grønland Byfornyelse A/S. Bystyrerepresentant Peter N. Myhre var samtidig styremedlem i Grønland Byfornyelse A/S.	116:135	0:424	15444	nor_dia_change_subset2	no	andrey
bystyrerepresentant	NN	2012	2012-2019	2012-2019_bystyrerepresentant_875		Send ditt innlegg til debatt@vg.no eller SMS med kodeord sidet til 2200 EIVIND TRAeDAL, bystyrerepresentant i Oslo (MDG) I dag hevder VG på lederplass at «Vi trenger nye E18».	87:106	0:174	15439	nor_dia_change_subset2	no	andrey
bystyrerepresentant	NN	1980	1980-1990	1980-1990_bystyrerepresentant_7		De unnlot imidlertid å fratre. Habilitetsreglene er brutt også under behandlingen av denne saken i flere av de forberedende organer, se naermere under 9.2.2 pkt. b nedenfor. c. Bystyret fattet i møte 12.11.1986 (sak 605) vedtak om salg av Grønlandsleiret 30, 32 og 34 til Grønland Byfornyelse A/S. Bystyrerepresentant Peter N. Myhre var i 1986 medlem av styret i Grønland Byfornyelse A/S, men unnlot å fratre. d. Bystyret fattet i møte 17.6.1987 (sak 464) vedtak om salg av eiendommene Pilestredet 45 B, 47, 47 B og 53 og Parkvn. 2 B til OBOS.	297:316	0:542	15438	nor_dia_change_subset2	no	andrey
bystyrerepresentant	NN	1980	1980-1990	1980-1990_bystyrerepresentant_16		Under 9.2.1.3 pkt. b ovenfor er det påvist at bystyrerepresentantene Sigurd Østen, Tove Heggen Larsen og Wenche Naerup som følge av sitt styremedlemskap i Oslo Naeringsselskap A/S var inhabile under bystyrebehandlingen av utkastet til avtale mellom kommunen og Oslo Naeringsselskap A/S.	46:68	0:283	15437	nor_dia_change_subset2	no	andrey
bystyrerepresentant	NN	2012	2012-2019	2012-2019_bystyrerepresentant_293		Med dagens politikk produserer man taper, som enten blir fanget opp av kriminelle eller ekstremister, sier bystyrerepresentant og leder av Holmlia Ap, Elvis Chi Nwosu til Dagbladet. Nwosu mener de store klasseforskjellene i Oslo skaper god grobunn for kriminalitet og ekstremisme. - Kommunene som er hardest rammet som Oslo og Drammen burde etablert et ungdomsløft.	107:126	0:365	15442	nor_dia_change_subset2	no	andrey
bystyrerepresentant	NN	2012	2012-2019	2012-2019_bystyrerepresentant_504		Men når det gjelder hvor bystyrerepresentantene er bosatt, er det altså store forskjeller mellom bydelene. Kun tre representanter har adresse Fyllingsdalen: Liv Wigdis Smith og Rolf Jens Brunstad fra Ap og Mikkel Grüner (SV). - Byens innbyggere hadde vaert tjent med at hele byen er representert i bystyret.	25:47	0:306	15449	nor_dia_change_subset2	no	andrey
bystyrerepresentant	NN	1980	1980-1990	1980-1990_bystyrerepresentant_18		Under 9.2.1.5 ovenfor er det påvist at bystyrerepresentantene Tove Heggen Larsen, Wenche Naerup og Sigurd Østen var inhabile under bystyrebehandlingen av spørsmålet om hvorvidt kommunens fordring på Oslo Naeringsselskap A/S skulle anvendes til å forhøye selskapets aksjekapital.	39:61	0:276	15450	nor_dia_change_subset2	no	andrey
bystyrerepresentant	NN	1980	1980-1990	1980-1990_bystyrerepresentant_2		Saerlig bystyrerepresentantene ga uttrykk for at reformen neppe hadde satt bystyret i stand til å se sektorsaker i sammenheng, og komitérepresentantene kunne for sin del, for arbeidet innenfor komiteene, i liten grad oppdage at de koplet til andre komitéers saker og synspunkter.	7:29	0:278	15448	nor_dia_change_subset2	no	andrey
bystyrerepresentant	NN	1980	1980-1990	1980-1990_bystyrerepresentant_11		Han fratrådte likevel ikke under bystyrets behandling av saken. j. Bystyret vedtok 21.5.1987 (sak 405) å kjøpe 15 leiligheter i Oslo Byfornyelse A/S' nybygg i Borggt. 14-16. Bystyrerepresentant Sigurd Østen var styremedlem i Oslo Byfornyelse A/S, men fratrådte ikke bystyret ved behandling av saken*. 9.2.1.4 Andre saker med tilknytning til Oslo Byfornyelse A/S Utvalget har i tillegg konstatert følgende saker angående Oslo Byfornyelse A/S der fratreden ikke er skjedd: a. Bystyret behandlet 28.6.1989 (sak 410) den økonomiske situasjon i Oslo Byfornyelse A/S.	174:193	0:561	15436	nor_dia_change_subset2	no	andrey
bystyrerepresentant	NN	2012	2012-2019	2012-2019_bystyrerepresentant_883		Det er like fullt nødvendig å legge til grunn en enkel standard på denne strekningen, noe det også legges opp til i forprosjektet» heter det i innstillingen fra byråd for miljø og byutvikling Anna Elisa Tryti (Ap). Skjedde også på Flesland Bystyrerepresentant Sondre Båtstrand (MDG) reagerer på denne forutsetningen.	240:259	0:316	15429	nor_dia_change_subset2	no	andrey
bystyrerepresentant	NN	1980	1980-1990	1980-1990_bystyrerepresentant_19		I brev av 31.7.1990 til granskingsutvalget har Sigurd Østen uttalt følgende om sin rolle som kommunepolitiker og formann i styret for Oslo Naeringsselskap A/S: «Imidlertid kan jeg bekrefte at i de 31 år jeg har vaert medlem av Oslo bystyre har det vaert «god latin» å oppnevne bystyrerepresentanter som styremedlemmer i organer nvor det var vesentlig at Oslo kommune var sikret styringen. Oslo Naeringsselskap A/S, hvor Oslo kommune eide 99,7% av aksjekapitalen, er eksempel på et slikt organ.	274:295	0:489	15431	nor_dia_change_subset2	no	andrey
bystyrerepresentant	NN	2012	2012-2019	2012-2019_bystyrerepresentant_515		Det er den politiske avstanden til Frp som ble avgjørende for partiet. – Vi valgte å starte forhandlingene med Ap og SV fordi vi tror det er de partiene vi får mest gjennomslag med, sier bystyrerepresentant Lan Marie Nguyen Berg for MDG til VG. Hun forteller at partiet også har hatt gode samtaler med Høyre.	187:206	0:308	15447	nor_dia_change_subset2	no	andrey
bystyrerepresentant	NN	1980	1980-1990	1980-1990_bystyrerepresentant_17		Bystyrerepresentant Peter N. Myhre var i 1987 medlem av styret for Grønland Byfornyelse A/S.	0:19	0:92	15434	nor_dia_change_subset2	no	andrey
bystyrerepresentant	NN	2012	2012-2019	2012-2019_bystyrerepresentant_625		Men ifølge dokumenter offentliggjort av bystyrerepresentant Ivar Johansen (SV), er Urbanium AS innstilt. Prisen: 30 millioner kroner.	40:59	0:133	15432	nor_dia_change_subset2	no	andrey
bystyrerepresentant	NN	2012	2012-2019	2012-2019_bystyrerepresentant_581		I Stovner bydel stemmer de fleste på Arbeiderpartiet, men bystyrerepresentant Koc snakker engasjert om Høyres politikk.	58:77	0:119	15433	nor_dia_change_subset2	no	andrey
bystyrerepresentant	NN	1980	1980-1990	1980-1990_bystyrerepresentant_13		Bystyrerepresentant Jo Frisch deltok i bystyrets behandling av saken til tross for at han var styremedlem i Oslo Byfornyelse A/S. 2 9.2.1.5 Andre saker av betydning for Oslo Naeringsselskap AJS 22.5.1985 hadde bystyret til behandling spørsmål om hvorvidt kommunens fordring på Oslo Naeringsselskap A/S skulle anvendes til å forhøye selskapets aksjekapital (sak 235).	0:19	0:364	15446	nor_dia_change_subset2	no	andrey
bystyrerepresentant	NN	2012	2012-2019	2012-2019_bystyrerepresentant_494		Her må man se på gebyrnivået i kommunen, og vurdere landbruket separat fra annen type eiendom, mener han. Som eneste bystyrerepresentant fra det landbruksvennlige partiet, peker Bjørdal på utfordringene med å ta vare på bøndene i kommunen.	117:136	0:239	15430	nor_dia_change_subset2	no	andrey
bystyrerepresentant	NN	2012	2012-2019	2012-2019_bystyrerepresentant_441		FRYKTER IKKE KJØNNSLEMLESTELSE: Bashe Musse, somalisk-norsk bystyrerepresentant mener somaliere i Norge har endret holdning til kjønnslemlestelse. Foto: Trond Solberg 530 somalisk-norske jenter i alderen 6-13 år ble i tidsrommet 2001-2012 sendt ut av Norge, ifølge en fersk rapport fra Institutt for samfunnsforskning.	60:79	0:318	15443	nor_dia_change_subset2	no	andrey
bystyrerepresentant	NN	1980	1980-1990	1980-1990_bystyrerepresentant_4		Heller ikke i disse tilfellene har bystyrerepresentanter med styreverv i det samarbeidende selskap konsekvent fratrådt under bystyrebehandlingen av saken, slik loven pålegger dem. Utvalget konstaterer manglende fratreden i følgende saker: a. Bystyret behandlet i møte 5.3.1986 (sak 114) spørsmål om hvorvidt kommunen skulle inngå avtale med Grønland Byfornyelse A/S om fornyelse av Pilestredet 28 og 30 a, b og c. Bystyrerepresentant Peter N. Myhre var i 1986 medlem av styret i Grønland Byfornyelse A/S.	414:433	0:504	15440	nor_dia_change_subset2	no	andrey
bystyrerepresentant	NN	1980	1980-1990	1980-1990_bystyrerepresentant_3		Først og fremst klager mange bystyrerepresentanter over at det ikke lenger er mulig å få saker godt opplyst gjennom kontakter med administrasjonen på forhånd, at saksframstillingen fra byrådet ofte er for snau og at byrådet lanserer for få tunge policysaker for bystyret.	29:50	0:271	15441	nor_dia_change_subset2	no	andrey
bystyrerepresentant	NN	2012	2012-2019	2012-2019_bystyrerepresentant_360		Det er klart at resultatet av kommunevalget vil ha en betydelig psykologisk effekt før neste stortingsvalg. Miljøpartiet De Grønne i nøkkelposisjon Miljøpartiet De Grønne kryper stadig fremover og ville fått fire bystyrerepresentanter med denne målingen. Venstresiden ville da, med støtte fra De Grønne, hatt flertall i Oslo.	213:234	0:325	15445	nor_dia_change_subset2	no	andrey
bystyrerepresentant	NN	2012	2012-2019	2012-2019_bystyrerepresentant_432		At flertallsbyrådet ryker i Erna Solbergs hjemby, pekes på som svaert uheldig. Bystyrerepresentant Robert Monsen er en av dem som har tatt Frølich i forsvar.	78:97	0:156	15435	nor_dia_change_subset2	no	andrey
