identifier1	identifier2	annotator	judgment	comment	lemma
1980-1990_driftsregnskap_131	2012-2019_driftsregnskap_2	HelleBol	4		driftsregnskap
1980-1990_driftsregnskap_28	2012-2019_driftsregnskap_3	HelleBol	4		driftsregnskap
1980-1990_driftsregnskap_85	1980-1990_driftsregnskap_89	HelleBol	4		driftsregnskap
1980-1990_driftsregnskap_28	1980-1990_driftsregnskap_89	HelleBol	4		driftsregnskap
2012-2019_driftsregnskap_13	2012-2019_driftsregnskap_18	HelleBol	4		driftsregnskap
1980-1990_driftsregnskap_89	2012-2019_driftsregnskap_13	HelleBol	4		driftsregnskap
2012-2019_driftsregnskap_11	2012-2019_driftsregnskap_3	HelleBol	4		driftsregnskap
1980-1990_driftsregnskap_48	2012-2019_driftsregnskap_3	HelleBol	4		driftsregnskap
1980-1990_driftsregnskap_71	2012-2019_driftsregnskap_18	HelleBol	4		driftsregnskap
2012-2019_driftsregnskap_10	2012-2019_driftsregnskap_18	HelleBol	4		driftsregnskap
2012-2019_driftsregnskap_2	2012-2019_driftsregnskap_8	HelleBol	4		driftsregnskap
2012-2019_driftsregnskap_20	2012-2019_driftsregnskap_3	HelleBol	4		driftsregnskap
1980-1990_driftsregnskap_116	1980-1990_driftsregnskap_41	HelleBol	4		driftsregnskap
1980-1990_driftsregnskap_28	1980-1990_driftsregnskap_70	HelleBol	4		driftsregnskap
1980-1990_driftsregnskap_70	2012-2019_driftsregnskap_18	HelleBol	4		driftsregnskap
1980-1990_driftsregnskap_131	2012-2019_driftsregnskap_3	HelleBol	4		driftsregnskap
1980-1990_driftsregnskap_128	2012-2019_driftsregnskap_3	HelleBol	4		driftsregnskap
1980-1990_driftsregnskap_70	2012-2019_driftsregnskap_21	HelleBol	4		driftsregnskap
1980-1990_driftsregnskap_85	2012-2019_driftsregnskap_20	HelleBol	4		driftsregnskap
2012-2019_driftsregnskap_10	2012-2019_driftsregnskap_11	HelleBol	4		driftsregnskap
1980-1990_driftsregnskap_85	2012-2019_driftsregnskap_10	HelleBol	4		driftsregnskap
2012-2019_driftsregnskap_11	2012-2019_driftsregnskap_8	HelleBol	4		driftsregnskap
1980-1990_driftsregnskap_116	1980-1990_driftsregnskap_131	HelleBol	4		driftsregnskap
1980-1990_driftsregnskap_70	1980-1990_driftsregnskap_85	HelleBol	4		driftsregnskap
1980-1990_driftsregnskap_89	2012-2019_driftsregnskap_8	HelleBol	4		driftsregnskap
1980-1990_driftsregnskap_28	2012-2019_driftsregnskap_13	HelleBol	4		driftsregnskap
2012-2019_driftsregnskap_11	2012-2019_driftsregnskap_18	HelleBol	4		driftsregnskap
1980-1990_driftsregnskap_116	2012-2019_driftsregnskap_2	HelleBol	4		driftsregnskap
1980-1990_driftsregnskap_71	2012-2019_driftsregnskap_11	HelleBol	4		driftsregnskap
1980-1990_driftsregnskap_85	2012-2019_driftsregnskap_3	HelleBol	4		driftsregnskap
1980-1990_driftsregnskap_70	2012-2019_driftsregnskap_2	HelleBol	4		driftsregnskap
