identifier1	identifier2	annotator	judgment	comment	lemma
2012-2019_fane_230	2012-2019_fane_88	HelleBol	4		fane
1980-1990_fane_5	1980-1990_fane_6	HelleBol	2		fane
1980-1990_fane_2	1980-1990_fane_5	HelleBol	2		fane
1980-1990_fane_5	2012-2019_fane_109	HelleBol	2		fane
1980-1990_fane_5	2012-2019_fane_125	HelleBol	2		fane
1980-1990_fane_3	1980-1990_fane_5	HelleBol	4		fane
1980-1990_fane_2	2012-2019_fane_180	HelleBol	2		fane
1980-1990_fane_5	2012-2019_fane_180	HelleBol	2		fane
1980-1990_fane_5	2012-2019_fane_54	HelleBol	3		fane
1980-1990_fane_4	2012-2019_fane_88	HelleBol	2		fane
1980-1990_fane_2	2012-2019_fane_125	HelleBol	2		fane
1980-1990_fane_1	2012-2019_fane_35	HelleBol	3		fane
2012-2019_fane_180	2012-2019_fane_242	HelleBol	2		fane
1980-1990_fane_2	2012-2019_fane_88	HelleBol	2		fane
1980-1990_fane_4	2012-2019_fane_35	HelleBol	4		fane
2012-2019_fane_125	2012-2019_fane_35	HelleBol	4		fane
2012-2019_fane_180	2012-2019_fane_88	HelleBol	4		fane
2012-2019_fane_113	2012-2019_fane_180	HelleBol	2		fane
2012-2019_fane_230	2012-2019_fane_35	HelleBol	2		fane
1980-1990_fane_0	1980-1990_fane_5	HelleBol	4		fane
1980-1990_fane_5	2012-2019_fane_130	HelleBol	2		fane
2012-2019_fane_113	2012-2019_fane_130	HelleBol	2		fane
1980-1990_fane_4	2012-2019_fane_113	HelleBol	3		fane
2012-2019_fane_113	2012-2019_fane_125	HelleBol	4		fane
2012-2019_fane_113	2012-2019_fane_54	HelleBol	3		fane
2012-2019_fane_109	2012-2019_fane_113	HelleBol	2		fane
1980-1990_fane_2	2012-2019_fane_230	HelleBol	2		fane
1980-1990_fane_6	2012-2019_fane_54	HelleBol	2		fane
2012-2019_fane_113	2012-2019_fane_7	HelleBol	3		fane
1980-1990_fane_2	2012-2019_fane_7	HelleBol	2		fane
2012-2019_fane_54	2012-2019_fane_88	HelleBol	2		fane
2012-2019_fane_54	2012-2019_fane_7	HelleBol	3		fane
2012-2019_fane_130	2012-2019_fane_54	HelleBol	2		fane
2012-2019_fane_35	2012-2019_fane_54	HelleBol	4		fane
1980-1990_fane_2	2012-2019_fane_35	HelleBol	2		fane
2012-2019_fane_130	2012-2019_fane_35	HelleBol	2		fane
1980-1990_fane_5	2012-2019_fane_35	HelleBol	3		fane
2012-2019_fane_180	2012-2019_fane_54	HelleBol	2		fane
2012-2019_fane_35	2012-2019_fane_88	HelleBol	2		fane
2012-2019_fane_242	2012-2019_fane_88	HelleBol	2		fane
2012-2019_fane_125	2012-2019_fane_54	HelleBol	4		fane
1980-1990_fane_0	1980-1990_fane_4	HelleBol	3		fane
1980-1990_fane_0	2012-2019_fane_230	HelleBol	2		fane
1980-1990_fane_0	2012-2019_fane_125	HelleBol	3		fane
2012-2019_fane_130	2012-2019_fane_88	HelleBol	4		fane
1980-1990_fane_0	2012-2019_fane_54	HelleBol	3		fane
1980-1990_fane_0	1980-1990_fane_2	HelleBol	2		fane
1980-1990_fane_0	2012-2019_fane_180	HelleBol	2		fane
1980-1990_fane_0	2012-2019_fane_35	HelleBol	3		fane
1980-1990_fane_3	2012-2019_fane_35	HelleBol	3		fane
1980-1990_fane_3	2012-2019_fane_54	HelleBol	3		fane
1980-1990_fane_0	1980-1990_fane_3	HelleBol	4		fane
1980-1990_fane_3	1980-1990_fane_4	HelleBol	3		fane
1980-1990_fane_3	2012-2019_fane_88	HelleBol	2		fane
1980-1990_fane_3	1980-1990_fane_6	HelleBol	2		fane
1980-1990_fane_3	2012-2019_fane_242	HelleBol	4		fane
2012-2019_fane_125	2012-2019_fane_130	HelleBol	2		fane
2012-2019_fane_242	2012-2019_fane_7	HelleBol	4		fane
1980-1990_fane_3	2012-2019_fane_180	HelleBol	2		fane
1980-1990_fane_4	2012-2019_fane_242	HelleBol	3		fane
2012-2019_fane_230	2012-2019_fane_242	HelleBol	2		fane
2012-2019_fane_113	2012-2019_fane_230	HelleBol	2		fane
1980-1990_fane_0	2012-2019_fane_242	HelleBol	4		fane
1980-1990_fane_6	2012-2019_fane_88	HelleBol	2		fane
2012-2019_fane_113	2012-2019_fane_242	HelleBol	3		fane
2012-2019_fane_130	2012-2019_fane_242	HelleBol	2		fane
1980-1990_fane_1	2012-2019_fane_242	HelleBol	4		fane
1980-1990_fane_5	2012-2019_fane_88	HelleBol	2		fane
2012-2019_fane_109	2012-2019_fane_242	HelleBol	2		fane
2012-2019_fane_242	2012-2019_fane_35	HelleBol	3		fane
2012-2019_fane_125	2012-2019_fane_88	HelleBol	2		fane
1980-1990_fane_0	2012-2019_fane_130	HelleBol	2		fane
1980-1990_fane_0	2012-2019_fane_88	HelleBol	2		fane
2012-2019_fane_230	2012-2019_fane_54	HelleBol	2		fane
2012-2019_fane_125	2012-2019_fane_230	HelleBol	2		fane
1980-1990_fane_1	2012-2019_fane_230	HelleBol	2		fane
1980-1990_fane_4	2012-2019_fane_230	HelleBol	2		fane
2012-2019_fane_130	2012-2019_fane_230	HelleBol	4		fane
1980-1990_fane_0	2012-2019_fane_113	HelleBol	3		fane
1980-1990_fane_5	2012-2019_fane_113	HelleBol	3		fane
1980-1990_fane_3	2012-2019_fane_130	HelleBol	2		fane
2012-2019_fane_109	2012-2019_fane_130	HelleBol	4		fane
1980-1990_fane_6	2012-2019_fane_7	HelleBol	2		fane
1980-1990_fane_4	1980-1990_fane_5	HelleBol	3		fane
1980-1990_fane_1	1980-1990_fane_4	HelleBol	3		fane
1980-1990_fane_2	2012-2019_fane_54	HelleBol	2		fane
1980-1990_fane_6	2012-2019_fane_230	HelleBol	2		fane
1980-1990_fane_4	2012-2019_fane_109	HelleBol	2		fane
1980-1990_fane_3	2012-2019_fane_109	HelleBol	2		fane
2012-2019_fane_109	2012-2019_fane_35	HelleBol	2		fane
1980-1990_fane_4	2012-2019_fane_130	HelleBol	2		fane
1980-1990_fane_6	2012-2019_fane_242	HelleBol	2		fane
1980-1990_fane_0	2012-2019_fane_109	HelleBol	2		fane
1980-1990_fane_5	2012-2019_fane_7	HelleBol	4		fane
2012-2019_fane_7	2012-2019_fane_88	HelleBol	2		fane
1980-1990_fane_4	2012-2019_fane_125	HelleBol	4		fane
1980-1990_fane_2	1980-1990_fane_3	HelleBol	2		fane
1980-1990_fane_4	2012-2019_fane_54	HelleBol	3		fane
1980-1990_fane_1	2012-2019_fane_109	HelleBol	2		fane
1980-1990_fane_2	1980-1990_fane_6	HelleBol	4		fane
1980-1990_fane_6	2012-2019_fane_113	HelleBol	2		fane
2012-2019_fane_109	2012-2019_fane_54	HelleBol	2		fane
1980-1990_fane_3	2012-2019_fane_7	HelleBol	4		fane
1980-1990_fane_0	1980-1990_fane_6	HelleBol	2		fane
1980-1990_fane_1	2012-2019_fane_88	HelleBol	2		fane
1980-1990_fane_6	2012-2019_fane_125	HelleBol	2		fane
2012-2019_fane_109	2012-2019_fane_88	HelleBol	4		fane
1980-1990_fane_1	1980-1990_fane_2	HelleBol	2		fane
1980-1990_fane_1	2012-2019_fane_54	HelleBol	3		fane
1980-1990_fane_1	2012-2019_fane_130	HelleBol	2		fane
2012-2019_fane_109	2012-2019_fane_125	HelleBol	2		fane
1980-1990_fane_1	1980-1990_fane_6	HelleBol	2		fane
1980-1990_fane_3	2012-2019_fane_113	HelleBol	3		fane
2012-2019_fane_125	2012-2019_fane_7	HelleBol	3		fane
1980-1990_fane_1	2012-2019_fane_113	HelleBol	3		fane
2012-2019_fane_242	2012-2019_fane_88	alexandra_w	1		fane
2012-2019_fane_113	2012-2019_fane_180	alexandra_w	2		fane
2012-2019_fane_109	2012-2019_fane_242	alexandra_w	2		fane
1980-1990_fane_0	2012-2019_fane_180	alexandra_w	2		fane
2012-2019_fane_125	2012-2019_fane_230	alexandra_w	1		fane
1980-1990_fane_5	2012-2019_fane_230	alexandra_w	2		fane
1980-1990_fane_2	2012-2019_fane_242	alexandra_w	2		fane
2012-2019_fane_130	2012-2019_fane_242	alexandra_w	1		fane
2012-2019_fane_230	2012-2019_fane_88	alexandra_w	4		fane
2012-2019_fane_180	2012-2019_fane_88	alexandra_w	4		fane
2012-2019_fane_113	2012-2019_fane_88	alexandra_w	2		fane
2012-2019_fane_109	2012-2019_fane_130	alexandra_w	4		fane
1980-1990_fane_5	2012-2019_fane_180	alexandra_w	2		fane
1980-1990_fane_0	1980-1990_fane_2	alexandra_w	1		fane
2012-2019_fane_113	2012-2019_fane_125	alexandra_w	3		fane
2012-2019_fane_180	2012-2019_fane_54	alexandra_w	1		fane
1980-1990_fane_1	1980-1990_fane_4	alexandra_w	3		fane
2012-2019_fane_54	2012-2019_fane_88	alexandra_w	2		fane
2012-2019_fane_125	2012-2019_fane_130	alexandra_w	1		fane
2012-2019_fane_242	2012-2019_fane_35	alexandra_w	4		fane
1980-1990_fane_1	2012-2019_fane_230	alexandra_w	2		fane
2012-2019_fane_180	2012-2019_fane_242	alexandra_w	2		fane
1980-1990_fane_1	2012-2019_fane_125	alexandra_w	3		fane
1980-1990_fane_1	2012-2019_fane_242	alexandra_w	4		fane
1980-1990_fane_2	2012-2019_fane_180	alexandra_w	1		fane
1980-1990_fane_0	1980-1990_fane_1	alexandra_w	4		fane
2012-2019_fane_113	2012-2019_fane_242	alexandra_w	3		fane
1980-1990_fane_2	2012-2019_fane_230	alexandra_w	1		fane
1980-1990_fane_0	2012-2019_fane_109	alexandra_w	2		fane
1980-1990_fane_0	2012-2019_fane_130	alexandra_w	2		fane
1980-1990_fane_6	2012-2019_fane_180	alexandra_w	1		fane
1980-1990_fane_6	2012-2019_fane_88	alexandra_w	1		fane
1980-1990_fane_3	2012-2019_fane_242	alexandra_w	4		fane
1980-1990_fane_1	1980-1990_fane_3	alexandra_w	4		fane
1980-1990_fane_5	2012-2019_fane_242	alexandra_w	4		fane
1980-1990_fane_3	2012-2019_fane_125	alexandra_w	3		fane
1980-1990_fane_0	1980-1990_fane_6	alexandra_w	1		fane
1980-1990_fane_3	2012-2019_fane_130	alexandra_w	2		fane
1980-1990_fane_6	2012-2019_fane_113	alexandra_w	1		fane
1980-1990_fane_3	2012-2019_fane_88	alexandra_w	1		fane
1980-1990_fane_2	2012-2019_fane_109	alexandra_w	1		fane
1980-1990_fane_0	1980-1990_fane_3	alexandra_w	4		fane
1980-1990_fane_3	2012-2019_fane_230	alexandra_w	1		fane
1980-1990_fane_2	1980-1990_fane_3	alexandra_w	2		fane
1980-1990_fane_0	2012-2019_fane_242	alexandra_w	4		fane
1980-1990_fane_1	1980-1990_fane_2	alexandra_w	2		fane
1980-1990_fane_1	1980-1990_fane_6	alexandra_w	1		fane
2012-2019_fane_125	2012-2019_fane_242	alexandra_w	3		fane
1980-1990_fane_3	1980-1990_fane_6	alexandra_w	3		fane
1980-1990_fane_4	2012-2019_fane_130	alexandra_w	2		fane
2012-2019_fane_230	2012-2019_fane_35	alexandra_w	2		fane
