identifier1	identifier2	annotator	judgment	comment	lemma
1980-1990_fjær_15	1980-1990_fjær_2	HelleBol	4		fjær
1980-1990_fjær_10	2012-2019_fjær_59	HelleBol	4		fjær
1980-1990_fjær_13	2012-2019_fjær_874	HelleBol	4		fjær
1980-1990_fjær_15	2012-2019_fjær_1044	HelleBol	4		fjær
1980-1990_fjær_1	1980-1990_fjær_2	HelleBol	0		fjær
1980-1990_fjær_10	2012-2019_fjær_874	HelleBol	4		fjær
1980-1990_fjær_2	2012-2019_fjær_874	HelleBol	4		fjær
1980-1990_fjær_6	2012-2019_fjær_629	HelleBol	4		fjær
1980-1990_fjær_2	2012-2019_fjær_237	HelleBol	4		fjær
2012-2019_fjær_225	2012-2019_fjær_874	HelleBol	4		fjær
1980-1990_fjær_14	1980-1990_fjær_2	HelleBol	4		fjær
1980-1990_fjær_10	2012-2019_fjær_237	HelleBol	4		fjær
1980-1990_fjær_14	2012-2019_fjær_237	HelleBol	4		fjær
2012-2019_fjær_417	2012-2019_fjær_874	HelleBol	4		fjær
1980-1990_fjær_1	2012-2019_fjær_935	HelleBol	0		fjær
1980-1990_fjær_6	2012-2019_fjær_237	HelleBol	4		fjær
1980-1990_fjær_2	2012-2019_fjær_935	HelleBol	4		fjær
1980-1990_fjær_2	2012-2019_fjær_343	HelleBol	4		fjær
2012-2019_fjær_237	2012-2019_fjær_874	HelleBol	4		fjær
1980-1990_fjær_14	2012-2019_fjær_847	HelleBol	4		fjær
1980-1990_fjær_14	2012-2019_fjær_629	HelleBol	4		fjær
1980-1990_fjær_13	2012-2019_fjær_1044	HelleBol	4		fjær
1980-1990_fjær_14	2012-2019_fjær_225	HelleBol	4		fjær
2012-2019_fjær_1044	2012-2019_fjær_225	HelleBol	4		fjær
1980-1990_fjær_13	1980-1990_fjær_14	HelleBol	4		fjær
1980-1990_fjær_5	2012-2019_fjær_237	HelleBol	4		fjær
1980-1990_fjær_15	2012-2019_fjær_237	HelleBol	4		fjær
1980-1990_fjær_9	2012-2019_fjær_192	HelleBol	4		fjær
1980-1990_fjær_14	2012-2019_fjær_874	HelleBol	4		fjær
1980-1990_fjær_2	1980-1990_fjær_7	HelleBol	4		fjær
1980-1990_fjær_1	2012-2019_fjær_237	HelleBol	0		fjær
1980-1990_fjær_6	2012-2019_fjær_192	HelleBol	4		fjær
1980-1990_fjær_1	1980-1990_fjær_6	HelleBol	0		fjær
1980-1990_fjær_10	2012-2019_fjær_1044	HelleBol	4		fjær
1980-1990_fjær_7	1980-1990_fjær_9	HelleBol	4		fjær
1980-1990_fjær_11	2012-2019_fjær_343	HelleBol	1		fjær
2012-2019_fjær_1044	2012-2019_fjær_192	HelleBol	4		fjær
2012-2019_fjær_343	2012-2019_fjær_935	HelleBol	4		fjær
2012-2019_fjær_1044	2012-2019_fjær_237	HelleBol	4		fjær
1980-1990_fjær_10	2012-2019_fjær_343	HelleBol	4		fjær
1980-1990_fjær_10	1980-1990_fjær_7	HelleBol	4		fjær
2012-2019_fjær_225	2012-2019_fjær_935	HelleBol	4		fjær
1980-1990_fjær_10	1980-1990_fjær_9	HelleBol	4		fjær
2012-2019_fjær_1044	2012-2019_fjær_343	HelleBol	4		fjær
2012-2019_fjær_343	2012-2019_fjær_874	HelleBol	4		fjær
1980-1990_fjær_15	2012-2019_fjær_343	HelleBol	4		fjær
2012-2019_fjær_237	2012-2019_fjær_935	HelleBol	4		fjær
1980-1990_fjær_7	2012-2019_fjær_935	HelleBol	4		fjær
1980-1990_fjær_10	2012-2019_fjær_935	HelleBol	4		fjær
1980-1990_fjær_6	2012-2019_fjær_935	HelleBol	4		fjær
1980-1990_fjær_5	1980-1990_fjær_7	HelleBol	4		fjær
1980-1990_fjær_9	2012-2019_fjær_847	HelleBol	4		fjær
1980-1990_fjær_14	2012-2019_fjær_935	HelleBol	4		fjær
1980-1990_fjær_5	2012-2019_fjær_629	HelleBol	4		fjær
1980-1990_fjær_5	2012-2019_fjær_847	HelleBol	4		fjær
1980-1990_fjær_11	2012-2019_fjær_935	HelleBol	1		fjær
1980-1990_fjær_13	2012-2019_fjær_192	HelleBol	4		fjær
1980-1990_fjær_5	2012-2019_fjær_192	HelleBol	4		fjær
2012-2019_fjær_192	2012-2019_fjær_417	HelleBol	4		fjær
1980-1990_fjær_10	2012-2019_fjær_225	HelleBol	4		fjær
1980-1990_fjær_14	2012-2019_fjær_1044	HelleBol	4		fjær
1980-1990_fjær_15	1980-1990_fjær_6	HelleBol	4		fjær
1980-1990_fjær_2	2012-2019_fjær_59	HelleBol	4		fjær
1980-1990_fjær_6	2012-2019_fjær_59	HelleBol	4		fjær
1980-1990_fjær_14	1980-1990_fjær_5	HelleBol	4		fjær
2012-2019_fjær_225	2012-2019_fjær_237	HelleBol	4		fjær
1980-1990_fjær_13	1980-1990_fjær_6	HelleBol	4		fjær
2012-2019_fjær_192	2012-2019_fjær_237	HelleBol	4		fjær
1980-1990_fjær_2	2012-2019_fjær_847	HelleBol	4		fjær
2012-2019_fjær_192	2012-2019_fjær_874	HelleBol	4		fjær
2012-2019_fjær_192	2012-2019_fjær_343	HelleBol	4		fjær
2012-2019_fjær_59	2012-2019_fjær_847	HelleBol	4		fjær
2012-2019_fjær_225	2012-2019_fjær_417	HelleBol	4		fjær
1980-1990_fjær_11	2012-2019_fjær_417	HelleBol	1		fjær
1980-1990_fjær_2	2012-2019_fjær_629	HelleBol	4		fjær
1980-1990_fjær_11	2012-2019_fjær_225	HelleBol	1		fjær
1980-1990_fjær_13	2012-2019_fjær_225	HelleBol	4		fjær
1980-1990_fjær_15	2012-2019_fjær_417	HelleBol	4		fjær
1980-1990_fjær_2	2012-2019_fjær_225	HelleBol	4		fjær
1980-1990_fjær_7	2012-2019_fjær_225	HelleBol	4		fjær
1980-1990_fjær_1	1980-1990_fjær_9	HelleBol	0		fjær
2012-2019_fjær_192	2012-2019_fjær_629	HelleBol	4		fjær
1980-1990_fjær_6	2012-2019_fjær_225	HelleBol	4		fjær
2012-2019_fjær_192	2012-2019_fjær_225	HelleBol	4		fjær
2012-2019_fjær_225	2012-2019_fjær_629	HelleBol	4		fjær
1980-1990_fjær_13	2012-2019_fjær_847	HelleBol	4		fjær
1980-1990_fjær_11	2012-2019_fjær_874	HelleBol	1		fjær
1980-1990_fjær_11	1980-1990_fjær_15	HelleBol	1		fjær
1980-1990_fjær_11	1980-1990_fjær_6	HelleBol	1		fjær
1980-1990_fjær_11	1980-1990_fjær_14	HelleBol	1		fjær
2012-2019_fjær_59	2012-2019_fjær_629	HelleBol	4		fjær
1980-1990_fjær_10	1980-1990_fjær_11	HelleBol	1		fjær
2012-2019_fjær_343	2012-2019_fjær_629	HelleBol	4		fjær
1980-1990_fjær_6	1980-1990_fjær_7	HelleBol	4		fjær
1980-1990_fjær_11	2012-2019_fjær_1044	HelleBol	1		fjær
1980-1990_fjær_11	2012-2019_fjær_237	HelleBol	1		fjær
2012-2019_fjær_192	2012-2019_fjær_59	HelleBol	4		fjær
2012-2019_fjær_1044	2012-2019_fjær_847	HelleBol	4		fjær
1980-1990_fjær_10	2012-2019_fjær_847	HelleBol	4		fjær
2012-2019_fjær_237	2012-2019_fjær_59	HelleBol	4		fjær
1980-1990_fjær_7	2012-2019_fjær_1044	HelleBol	4		fjær
1980-1990_fjær_13	1980-1990_fjær_5	HelleBol	4		fjær
1980-1990_fjær_5	2012-2019_fjær_935	HelleBol	4		fjær
1980-1990_fjær_5	2012-2019_fjær_225	HelleBol	4		fjær
1980-1990_fjær_13	2012-2019_fjær_629	HelleBol	4		fjær
1980-1990_fjær_1	2012-2019_fjær_874	HelleBol	0		fjær
1980-1990_fjær_1	1980-1990_fjær_15	HelleBol	0		fjær
1980-1990_fjær_15	1980-1990_fjær_9	HelleBol	4		fjær
1980-1990_fjær_13	2012-2019_fjær_343	HelleBol	4		fjær
1980-1990_fjær_15	2012-2019_fjær_225	HelleBol	4		fjær
1980-1990_fjær_7	2012-2019_fjær_192	HelleBol	4		fjær
1980-1990_fjær_13	1980-1990_fjær_15	HelleBol	4		fjær
2012-2019_fjær_417	2012-2019_fjær_935	HelleBol	4		fjær
1980-1990_fjær_13	2012-2019_fjær_935	HelleBol	4		fjær
1980-1990_fjær_10	2012-2019_fjær_417	HelleBol	4		fjær
1980-1990_fjær_10	1980-1990_fjær_13	HelleBol	4		fjær
1980-1990_fjær_6	2012-2019_fjær_847	HelleBol	4		fjær
1980-1990_fjær_7	2012-2019_fjær_629	HelleBol	4		fjær
1980-1990_fjær_9	2012-2019_fjær_935	HelleBol	4		fjær
2012-2019_fjær_343	2012-2019_fjær_417	HelleBol	4		fjær
2012-2019_fjær_1044	2012-2019_fjær_417	HelleBol	4		fjær
1980-1990_fjær_15	2012-2019_fjær_237	alexandra_w	0		fjær
1980-1990_fjær_6	2012-2019_fjær_847	alexandra_w	4		fjær
1980-1990_fjær_11	1980-1990_fjær_6	alexandra_w	4		fjær
1980-1990_fjær_10	2012-2019_fjær_935	alexandra_w	4		fjær
1980-1990_fjær_2	2012-2019_fjær_237	alexandra_w	4		fjær
1980-1990_fjær_10	2012-2019_fjær_417	alexandra_w	4		fjær
1980-1990_fjær_6	2012-2019_fjær_192	alexandra_w	4		fjær
1980-1990_fjær_10	2012-2019_fjær_629	alexandra_w	1		fjær
2012-2019_fjær_192	2012-2019_fjær_237	alexandra_w	4		fjær
1980-1990_fjær_10	1980-1990_fjær_9	alexandra_w	4		fjær
1980-1990_fjær_10	2012-2019_fjær_225	alexandra_w	4		fjær
1980-1990_fjær_10	1980-1990_fjær_15	alexandra_w	4		fjær
1980-1990_fjær_10	1980-1990_fjær_14	alexandra_w	4		fjær
2012-2019_fjær_237	2012-2019_fjær_629	alexandra_w	4		fjær
1980-1990_fjær_10	1980-1990_fjær_6	alexandra_w	4		fjær
1980-1990_fjær_11	2012-2019_fjær_237	alexandra_w	1		fjær
1980-1990_fjær_1	2012-2019_fjær_1044	alexandra_w	0		fjær
2012-2019_fjær_1044	2012-2019_fjær_59	alexandra_w	4		fjær
1980-1990_fjær_14	2012-2019_fjær_59	alexandra_w	4		fjær
2012-2019_fjær_59	2012-2019_fjær_847	alexandra_w	4		fjær
1980-1990_fjær_13	1980-1990_fjær_14	alexandra_w	4		fjær
1980-1990_fjær_13	1980-1990_fjær_15	alexandra_w	4		fjær
1980-1990_fjær_13	2012-2019_fjær_59	alexandra_w	4		fjær
1980-1990_fjær_13	2012-2019_fjær_935	alexandra_w	4		fjær
1980-1990_fjær_9	2012-2019_fjær_192	alexandra_w	4		fjær
1980-1990_fjær_10	2012-2019_fjær_192	alexandra_w	1		fjær
2012-2019_fjær_225	2012-2019_fjær_59	alexandra_w	4		fjær
1980-1990_fjær_11	1980-1990_fjær_13	alexandra_w	1		fjær
1980-1990_fjær_13	2012-2019_fjær_237	alexandra_w	4		fjær
1980-1990_fjær_11	2012-2019_fjær_192	alexandra_w	1		fjær
1980-1990_fjær_2	2012-2019_fjær_225	alexandra_w	4		fjær
1980-1990_fjær_11	2012-2019_fjær_225	alexandra_w	4		fjær
2012-2019_fjær_417	2012-2019_fjær_59	alexandra_w	4		fjær
1980-1990_fjær_9	2012-2019_fjær_59	alexandra_w	4		fjær
2012-2019_fjær_225	2012-2019_fjær_935	alexandra_w	4		fjær
1980-1990_fjær_6	2012-2019_fjær_59	alexandra_w	4		fjær
2012-2019_fjær_225	2012-2019_fjær_343	alexandra_w	4		fjær
1980-1990_fjær_2	2012-2019_fjær_59	alexandra_w	2		fjær
1980-1990_fjær_9	2012-2019_fjær_847	alexandra_w	4		fjær
1980-1990_fjær_5	2012-2019_fjær_192	alexandra_w	4		fjær
1980-1990_fjær_10	2012-2019_fjær_1044	alexandra_w	4		fjær
1980-1990_fjær_9	2012-2019_fjær_935	alexandra_w	4		fjær
2012-2019_fjær_237	2012-2019_fjær_935	alexandra_w	4		fjær
2012-2019_fjær_192	2012-2019_fjær_935	alexandra_w	4		fjær
1980-1990_fjær_2	2012-2019_fjær_935	alexandra_w	0		fjær
2012-2019_fjær_629	2012-2019_fjær_935	alexandra_w	4		fjær
1980-1990_fjær_7	2012-2019_fjær_935	alexandra_w	4		fjær
2012-2019_fjær_192	2012-2019_fjær_847	alexandra_w	4		fjær
2012-2019_fjær_1044	2012-2019_fjær_237	alexandra_w	4		fjær
1980-1990_fjær_2	2012-2019_fjær_343	alexandra_w	4		fjær
1980-1990_fjær_9	2012-2019_fjær_1044	alexandra_w	4		fjær
1980-1990_fjær_2	1980-1990_fjær_9	alexandra_w	4		fjær
1980-1990_fjær_1	1980-1990_fjær_2	alexandra_w	0		fjær
1980-1990_fjær_2	1980-1990_fjær_7	alexandra_w	4		fjær
1980-1990_fjær_2	2012-2019_fjær_874	alexandra_w	0		fjær
1980-1990_fjær_7	2012-2019_fjær_1044	alexandra_w	4		fjær
2012-2019_fjær_1044	2012-2019_fjær_192	alexandra_w	4		fjær
1980-1990_fjær_6	2012-2019_fjær_1044	alexandra_w	4		fjær
1980-1990_fjær_5	2012-2019_fjær_1044	alexandra_w	4		fjær
1980-1990_fjær_14	2012-2019_fjær_1044	alexandra_w	4		fjær
2012-2019_fjær_1044	2012-2019_fjær_847	alexandra_w	4		fjær
1980-1990_fjær_2	1980-1990_fjær_5	alexandra_w	4		fjær
1980-1990_fjær_7	2012-2019_fjær_629	alexandra_w	3		fjær
2012-2019_fjær_225	2012-2019_fjær_417	alexandra_w	4		fjær
2012-2019_fjær_343	2012-2019_fjær_59	alexandra_w	4		fjær
1980-1990_fjær_7	2012-2019_fjær_59	alexandra_w	4		fjær
1980-1990_fjær_5	2012-2019_fjær_847	alexandra_w	4		fjær
1980-1990_fjær_9	2012-2019_fjær_237	alexandra_w	4		fjær
2012-2019_fjær_874	2012-2019_fjær_935	alexandra_w	4		fjær
1980-1990_fjær_9	2012-2019_fjær_874	alexandra_w	4		fjær
2012-2019_fjær_417	2012-2019_fjær_847	alexandra_w	4		fjær
1980-1990_fjær_7	2012-2019_fjær_417	alexandra_w	4		fjær
2012-2019_fjær_629	2012-2019_fjær_847	alexandra_w	4		fjær
1980-1990_fjær_6	2012-2019_fjær_417	alexandra_w	4		fjær
1980-1990_fjær_1	1980-1990_fjær_7	alexandra_w	0		fjær
2012-2019_fjær_237	2012-2019_fjær_417	alexandra_w	4		fjær
2012-2019_fjær_847	2012-2019_fjær_874	alexandra_w	4		fjær
1980-1990_fjær_1	2012-2019_fjær_874	alexandra_w	0		fjær
1980-1990_fjær_1	1980-1990_fjær_5	alexandra_w	0		fjær
1980-1990_fjær_7	2012-2019_fjær_192	alexandra_w	4		fjær
1980-1990_fjær_7	2012-2019_fjær_225	alexandra_w	4		fjær
2012-2019_fjær_343	2012-2019_fjær_629	alexandra_w	4		fjær
1980-1990_fjær_1	2012-2019_fjær_935	alexandra_w	0		fjær
1980-1990_fjær_1	1980-1990_fjær_11	alexandra_w	0		fjær
2012-2019_fjær_1044	2012-2019_fjær_343	alexandra_w	4		fjær
2012-2019_fjær_343	2012-2019_fjær_417	alexandra_w	4		fjær
1980-1990_fjær_1	1980-1990_fjær_6	alexandra_w	0		fjær
2012-2019_fjær_343	2012-2019_fjær_847	alexandra_w	4		fjær
1980-1990_fjær_5	2012-2019_fjær_874	alexandra_w	4		fjær
1980-1990_fjær_13	2012-2019_fjær_343	alexandra_w	4		fjær
1980-1990_fjær_11	1980-1990_fjær_5	alexandra_w	1		fjær
2012-2019_fjær_343	2012-2019_fjær_935	alexandra_w	4		fjær
1980-1990_fjær_10	1980-1990_fjær_5	alexandra_w	4		fjær
1980-1990_fjær_1	1980-1990_fjær_10	alexandra_w	0		fjær
1980-1990_fjær_5	2012-2019_fjær_225	alexandra_w	4		fjær
2012-2019_fjær_192	2012-2019_fjær_343	alexandra_w	4		fjær
1980-1990_fjær_13	2012-2019_fjær_874	alexandra_w	4		fjær
1980-1990_fjær_15	2012-2019_fjær_847	alexandra_w	4		fjær
1980-1990_fjær_5	1980-1990_fjær_9	alexandra_w	4		fjær
1980-1990_fjær_15	2012-2019_fjær_629	alexandra_w	4		fjær
1980-1990_fjær_11	2012-2019_fjær_417	alexandra_w	4		fjær
1980-1990_fjær_11	1980-1990_fjær_9	alexandra_w	1		fjær
1980-1990_fjær_15	2012-2019_fjær_225	alexandra_w	4		fjær
1980-1990_fjær_14	1980-1990_fjær_15	alexandra_w	4		fjær
1980-1990_fjær_11	1980-1990_fjær_15	alexandra_w	1		fjær
1980-1990_fjær_15	2012-2019_fjær_59	alexandra_w	4		fjær
1980-1990_fjær_7	2012-2019_fjær_343	alexandra_w	0		fjær
2012-2019_fjær_225	2012-2019_fjær_237	alexandra_w	4		fjær
2012-2019_fjær_237	2012-2019_fjær_847	alexandra_w	4		fjær
1980-1990_fjær_5	1980-1990_fjær_7	alexandra_w	4		fjær
1980-1990_fjær_1	2012-2019_fjær_237	alexandra_w	4		fjær
1980-1990_fjær_15	2012-2019_fjær_1044	alexandra_w	4		fjær
1980-1990_fjær_15	2012-2019_fjær_192	alexandra_w	4		fjær
1980-1990_fjær_15	1980-1990_fjær_2	alexandra_w	4		fjær
1980-1990_fjær_1	1980-1990_fjær_15	alexandra_w	0		fjær
1980-1990_fjær_14	2012-2019_fjær_192	alexandra_w	4		fjær
