identifier1	identifier2	annotator	judgment	comment	lemma
1980-1990_innstilling_6230	2012-2019_innstilling_10881	HelleBol	2		innstilling
2012-2019_innstilling_11079	2012-2019_innstilling_9933	HelleBol	2		innstilling
1980-1990_innstilling_667	2012-2019_innstilling_11079	HelleBol	2		innstilling
2012-2019_innstilling_10963	2012-2019_innstilling_11079	HelleBol	2		innstilling
1980-1990_innstilling_776	2012-2019_innstilling_11079	HelleBol	2		innstilling
2012-2019_innstilling_11079	2012-2019_innstilling_7195	HelleBol	2		innstilling
1980-1990_innstilling_356	2012-2019_innstilling_11079	HelleBol	2		innstilling
1980-1990_innstilling_1389	2012-2019_innstilling_11079	HelleBol	2		innstilling
2012-2019_innstilling_10539	2012-2019_innstilling_11079	HelleBol	2		innstilling
1980-1990_innstilling_5821	2012-2019_innstilling_11079	HelleBol	2		innstilling
2012-2019_innstilling_11079	2012-2019_innstilling_5684	HelleBol	2		innstilling
1980-1990_innstilling_6230	2012-2019_innstilling_11079	HelleBol	2		innstilling
1980-1990_innstilling_356	1980-1990_innstilling_776	HelleBol	4		innstilling
1980-1990_innstilling_6230	2012-2019_innstilling_6310	HelleBol	4		innstilling
1980-1990_innstilling_6230	1980-1990_innstilling_863	HelleBol	4		innstilling
1980-1990_innstilling_6230	1980-1990_innstilling_6601	HelleBol	4		innstilling
1980-1990_innstilling_5821	2012-2019_innstilling_5684	HelleBol	4		innstilling
2012-2019_innstilling_4982	2012-2019_innstilling_5684	HelleBol	4		innstilling
2012-2019_innstilling_5684	2012-2019_innstilling_7195	HelleBol	2		innstilling
2012-2019_innstilling_5684	2012-2019_innstilling_6310	HelleBol	4		innstilling
2012-2019_innstilling_10881	2012-2019_innstilling_11079	HelleBol	4		innstilling
1980-1990_innstilling_6230	2012-2019_innstilling_9933	HelleBol	2		innstilling
1980-1990_innstilling_6601	1980-1990_innstilling_863	HelleBol	4		innstilling
1980-1990_innstilling_863	2012-2019_innstilling_9933	HelleBol	2		innstilling
1980-1990_innstilling_4055	2012-2019_innstilling_5684	HelleBol	4		innstilling
1980-1990_innstilling_4055	1980-1990_innstilling_6230	HelleBol	4		innstilling
1980-1990_innstilling_4055	2012-2019_innstilling_10963	HelleBol	2		innstilling
1980-1990_innstilling_4055	2012-2019_innstilling_9933	HelleBol	2		innstilling
1980-1990_innstilling_4055	1980-1990_innstilling_776	HelleBol	4		innstilling
1980-1990_innstilling_6601	1980-1990_innstilling_776	HelleBol	4		innstilling
1980-1990_innstilling_1462	1980-1990_innstilling_667	HelleBol	4		innstilling
1980-1990_innstilling_667	2012-2019_innstilling_6310	HelleBol	4		innstilling
1980-1990_innstilling_667	2012-2019_innstilling_10881	HelleBol	2		innstilling
1980-1990_innstilling_667	2012-2019_innstilling_4982	HelleBol	4		innstilling
1980-1990_innstilling_356	1980-1990_innstilling_667	HelleBol	4		innstilling
1980-1990_innstilling_776	2012-2019_innstilling_7195	HelleBol	2		innstilling
1980-1990_innstilling_4055	1980-1990_innstilling_863	HelleBol	4		innstilling
1980-1990_innstilling_863	2012-2019_innstilling_11079	HelleBol	2		innstilling
1980-1990_innstilling_356	1980-1990_innstilling_863	HelleBol	4		innstilling
1980-1990_innstilling_863	2012-2019_innstilling_10539	HelleBol	4		innstilling
1980-1990_innstilling_667	1980-1990_innstilling_863	HelleBol	4		innstilling
1980-1990_innstilling_863	2012-2019_innstilling_10963	HelleBol	2		innstilling
1980-1990_innstilling_863	2012-2019_innstilling_10881	HelleBol	2		innstilling
1980-1990_innstilling_776	1980-1990_innstilling_863	HelleBol	4		innstilling
1980-1990_innstilling_4422	2012-2019_innstilling_7195	HelleBol	2		innstilling
1980-1990_innstilling_4422	2012-2019_innstilling_10881	HelleBol	2		innstilling
1980-1990_innstilling_4422	1980-1990_innstilling_6601	HelleBol	4		innstilling
1980-1990_innstilling_5821	2012-2019_innstilling_10963	HelleBol	2		innstilling
1980-1990_innstilling_4055	1980-1990_innstilling_5821	HelleBol	4		innstilling
1980-1990_innstilling_1462	1980-1990_innstilling_4422	HelleBol	4		innstilling
1980-1990_innstilling_4422	1980-1990_innstilling_5821	HelleBol	4		innstilling
1980-1990_innstilling_6601	2012-2019_innstilling_10963	HelleBol	2		innstilling
1980-1990_innstilling_6601	2012-2019_innstilling_10881	HelleBol	2		innstilling
1980-1990_innstilling_6601	2012-2019_innstilling_11079	HelleBol	2		innstilling
1980-1990_innstilling_356	2012-2019_innstilling_9933	HelleBol	2		innstilling
1980-1990_innstilling_356	1980-1990_innstilling_6601	HelleBol	4		innstilling
1980-1990_innstilling_356	2012-2019_innstilling_10539	HelleBol	4		innstilling
1980-1990_innstilling_356	2012-2019_innstilling_7195	HelleBol	2		innstilling
1980-1990_innstilling_356	2012-2019_innstilling_5684	HelleBol	4		innstilling
1980-1990_innstilling_356	1980-1990_innstilling_4422	HelleBol	4		innstilling
