lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
kanal	NN	2012	2012-2019	2012-2019_kanal_9749		Dermed mistet over én million nordmenn Discoverys 13 kanaler på ubestemt tid, inklusive TVNorge, MAX, FEM og Discovery Channel. Men uansett hva utfallet hadde blitt, er det ikke bli siste gang distributører og kringkastere er på krigsstien, mener tv-sjef i mediebyrået Carat, Morten Wiberg.	53:60	0:290	15369	nor_dia_change_subset2	no	andrey
kanal	NN	2012	2012-2019	2012-2019_kanal_12838		I en episode av «Stjärnkusken» på svensk TV 4, velter hesten til Runar Sögaard. I en promo til programmet, lagt ut på kanalens Facebook-side, vises dette. Promoen har fått massiv kritikk. Video: Facebook / TV 4 MISTET BALANSEN: Travhesten Zorro mistet balansen da Runar Søgaard kjørte travhesten i en episode av Stjärnkusken. FOTO: TV4 MØTER KRITIKK: TV4 møter sterke reaksjoner etter det dramatiske klippet av hesten Zorro som mister balansen.	118:126	0:444	15370	nor_dia_change_subset2	no	andrey
kanal	NN	2012	2012-2019	2012-2019_kanal_572		- At en halv million Canal Digital - kunder ikke lenger kan se nisjekanalene fra TV 2 vil føre til at kanalen mister rundt 4 prosent av seerne, sier Wiberg til Bergens Tidende.	56:59	0:176	15377	nor_dia_change_subset2	no	andrey
kanal	NN	1980	1980-1990	1980-1990_kanal_125		Bak forslagene ligger troen på at to kanaler med ulike forutsetninger og forskjellig målsetting gjennom «stimulerende konkurranse» bedre skal kunne imøtekomme fremtidens krav.	37:44	0:175	15365	nor_dia_change_subset2	no	andrey
kanal	NN	1980	1980-1990	1980-1990_kanal_258		Elva fremstår etter inngrepet som en rett kanal på denne strekningen (figur 2).	42:47	0:79	15373	nor_dia_change_subset2	no	andrey
kanal	NN	1980	1980-1990	1980-1990_kanal_349		Eksempler er inntaksledning, skjøteledning, jordledning. ledningssystem 'wiring system' Sammenstilling av kabler og/eller skinner m.v. samt deler som beskytter og eventuelt kapsler inn kabler, skinner m.v. Veiledning: Ledningssystem omfatter med andre ord også rør, kanal og lignende. lekk strøm (i en installasjon) 'leakage current' (in an installation) Strøm som flyter til jord eller til andre ledende deler i en elektrisk uskadet strømkrets.	266:271	0:445	15374	nor_dia_change_subset2	no	andrey
kanal	NN	1980	1980-1990	1980-1990_kanal_345		Man har kanaler gjennom andre, f.eks. forhandlere eller agenter, eller markedet oppsøker selv virksomheten, noe som ofte er situasjonen for håndverkere og mange små produksjonsbedrifter.	8:15	0:186	15380	nor_dia_change_subset2	no	andrey
kanal	NN	1980	1980-1990	1980-1990_kanal_377		- Kablene skal fortrinnsvis vaere ført i rør eller kanaler av metall med metallisk kontakt til skrog for avledning av varme. - Dersom kabler er forlagt direkte i slik isolasjon, skal kablene vaere ført korteste vei gjennom isolasjonen f eks. fram til bryter, stikkontakt eller lampepunkt.	50:57	0:286	15378	nor_dia_change_subset2	no	andrey
kanal	NN	2012	2012-2019	2012-2019_kanal_1230		- Vi er kjempefornøyde med det, vi. Vi lager TV-programmet uansett, vi. Så lenge kanalen er happy, er vi happy.	81:88	0:111	15383	nor_dia_change_subset2	no	andrey
kanal	NN	2012	2012-2019	2012-2019_kanal_16911		Ifølge kanalen var det Mossad som sto bak informasjonen som avdekket planene i Danmark.	7:14	0:87	15367	nor_dia_change_subset2	no	andrey
kanal	NN	2012	2012-2019	2012-2019_kanal_5427		Helikopteret hadde så mange kommunikasjonsenheter om bord for å håndtere alle kanaler i påvente av det nye digitale nødnettet og bare ett apparat å forholde seg til.	78:85	0:165	15382	nor_dia_change_subset2	no	andrey
kanal	NN	1980	1980-1990	1980-1990_kanal_270		Eksisterende kanaler for forskning og utvikling og demonstrasjon av jordbruksteknologier bør derfor benyttes for å ivareta denne oppgaven. Dette innebaerer en revurdering og forsterking av aktiviteter både innenfor multilaterale organisasjoner som FAO, IFAD (International Fund for Agricultural Development), CGIAR (Consultative Group on International Agricultural Research) og TFAP (Tropical Forestry Action Plan), og innenfor bilateral bistand.	13:20	0:445	15384	nor_dia_change_subset2	no	andrey
kanal	NN	2012	2012-2019	2012-2019_kanal_11537		Ifølge kanalen ble han knivstukket i ansiktet av angriperne.	7:14	0:60	15376	nor_dia_change_subset2	no	andrey
kanal	NN	1980	1980-1990	1980-1990_kanal_831		Forholdet mellom teknikk og handling kan fanges inn med begrepene kanal og prosess.	66:71	0:83	15371	nor_dia_change_subset2	no	andrey
kanal	NN	1980	1980-1990	1980-1990_kanal_109		TV2 Man ser faren for at man kan komme til å få en parallell programlegging i de to kanalene (Danmarks Radio og TV 2) slik at seernes valgmuligheter rent praktisk vil bli innskrenket.	29:32	0:183	15372	nor_dia_change_subset2	no	andrey
kanal	NN	2012	2012-2019	2012-2019_kanal_7615		Mannen som er mest kjent for sine mange år i TV-ruten når det er Tour de France i sykling, skal rulle i gang på flere hjul. Ideen kom fra kollega Ernst A. Lersveen, på vinterstid mest kjent som langrennsreporter i samme kanal.	220:225	0:226	15364	nor_dia_change_subset2	no	andrey
