identifier1	identifier2	annotator	judgment	comment	lemma
1980-1990_kode_283	1980-1990_kode_413	HelleBol	1		kode
1980-1990_kode_79	2012-2019_kode_741	HelleBol	3		kode
1980-1990_kode_79	2012-2019_kode_3644	HelleBol	2		kode
1980-1990_kode_544	2012-2019_kode_3644	HelleBol	2		kode
1980-1990_kode_268	2012-2019_kode_2155	HelleBol	0		kode
1980-1990_kode_169	1980-1990_kode_382	HelleBol	4		kode
1980-1990_kode_169	2012-2019_kode_3644	HelleBol	1		kode
2012-2019_kode_2751	2012-2019_kode_3644	HelleBol	2		kode
1980-1990_kode_268	1980-1990_kode_62	HelleBol	1		kode
1980-1990_kode_268	2012-2019_kode_1971	HelleBol	1		kode
1980-1990_kode_268	2012-2019_kode_2869	HelleBol	0		kode
2012-2019_kode_1971	2012-2019_kode_3644	HelleBol	2		kode
1980-1990_kode_169	1980-1990_kode_268	HelleBol	4		kode
1980-1990_kode_169	2012-2019_kode_2751	HelleBol	1		kode
1980-1990_kode_169	1980-1990_kode_413	HelleBol	1		kode
1980-1990_kode_268	1980-1990_kode_544	HelleBol	1		kode
1980-1990_kode_169	2012-2019_kode_2155	HelleBol	1		kode
2012-2019_kode_1280	2012-2019_kode_394	HelleBol	1		kode
2012-2019_kode_1971	2012-2019_kode_394	HelleBol	2		kode
1980-1990_kode_382	1980-1990_kode_62	HelleBol	4		kode
1980-1990_kode_169	2012-2019_kode_2484	HelleBol	1		kode
1980-1990_kode_335	1980-1990_kode_382	HelleBol	1		kode
1980-1990_kode_283	2012-2019_kode_1280	HelleBol	1		kode
2012-2019_kode_2484	2012-2019_kode_394	HelleBol	3		kode
2012-2019_kode_2484	2012-2019_kode_3644	HelleBol	2		kode
2012-2019_kode_3027	2012-2019_kode_3644	HelleBol	2		kode
1980-1990_kode_79	2012-2019_kode_2484	HelleBol	4		kode
2012-2019_kode_2484	2012-2019_kode_741	HelleBol	3		kode
1980-1990_kode_283	2012-2019_kode_2484	HelleBol	1		kode
1980-1990_kode_109	2012-2019_kode_2869	HelleBol	4		kode
1980-1990_kode_268	2012-2019_kode_1280	HelleBol	1		kode
1980-1990_kode_283	2012-2019_kode_3644	HelleBol	1		kode
1980-1990_kode_109	1980-1990_kode_169	HelleBol	4		kode
2012-2019_kode_2155	2012-2019_kode_2484	HelleBol	2		kode
1980-1990_kode_169	2012-2019_kode_741	HelleBol	1		kode
1980-1990_kode_169	2012-2019_kode_1280	HelleBol	1		kode
2012-2019_kode_2155	2012-2019_kode_3644	HelleBol	2		kode
1980-1990_kode_109	1980-1990_kode_79	HelleBol	4		kode
1980-1990_kode_79	2012-2019_kode_1280	HelleBol	1		kode
2012-2019_kode_1971	2012-2019_kode_741	HelleBol	2		kode
1980-1990_kode_36	1980-1990_kode_79	HelleBol	4		kode
1980-1990_kode_335	2012-2019_kode_1971	HelleBol	1		kode
2012-2019_kode_1280	2012-2019_kode_1971	HelleBol	1		kode
1980-1990_kode_544	2012-2019_kode_1971	HelleBol	2		kode
2012-2019_kode_1971	2012-2019_kode_3027	HelleBol	2		kode
1980-1990_kode_413	1980-1990_kode_79	HelleBol	4		kode
1980-1990_kode_109	2012-2019_kode_2155	HelleBol	2		kode
1980-1990_kode_413	2012-2019_kode_2751	HelleBol	2		kode
1980-1990_kode_36	2012-2019_kode_1280	HelleBol	1		kode
2012-2019_kode_1280	2012-2019_kode_2155	HelleBol	1		kode
1980-1990_kode_283	2012-2019_kode_2155	HelleBol	1		kode
2012-2019_kode_1971	2012-2019_kode_2751	HelleBol	3		kode
1980-1990_kode_79	2012-2019_kode_1971	HelleBol	2		kode
1980-1990_kode_109	2012-2019_kode_1971	HelleBol	2		kode
2012-2019_kode_1971	2012-2019_kode_2295	HelleBol	4		kode
2012-2019_kode_3027	2012-2019_kode_394	HelleBol	3		kode
1980-1990_kode_62	2012-2019_kode_3644	HelleBol	2		kode
1980-1990_kode_169	2012-2019_kode_3027	HelleBol	1		kode
1980-1990_kode_79	2012-2019_kode_3027	HelleBol	4		kode
1980-1990_kode_62	2012-2019_kode_1280	HelleBol	1		kode
1980-1990_kode_62	2012-2019_kode_1971	HelleBol	2		kode
1980-1990_kode_62	2012-2019_kode_3027	HelleBol	4		kode
2012-2019_kode_1280	2012-2019_kode_3027	HelleBol	1		kode
1980-1990_kode_268	1980-1990_kode_413	HelleBol	1		kode
1980-1990_kode_335	2012-2019_kode_2155	HelleBol	0		kode
1980-1990_kode_382	1980-1990_kode_413	HelleBol	4		kode
1980-1990_kode_335	2012-2019_kode_3027	HelleBol	1		kode
1980-1990_kode_413	2012-2019_kode_1280	HelleBol	1		kode
1980-1990_kode_36	2012-2019_kode_3027	HelleBol	4		kode
1980-1990_kode_79	2012-2019_kode_394	HelleBol	3		kode
1980-1990_kode_109	1980-1990_kode_382	HelleBol	4		kode
