identifier1	identifier2	annotator	judgment	comment	lemma
15509	15503	titare	4	comment	kohort
15509	15514	titare	4	comment	kohort
15509	15501	titare	4	comment	kohort
15509	15516	alexandra_w	4	comment	kohort
15509	15500	alexandra_w	4	comment	kohort
15509	15507	HelleBol	4	comment	kohort
15509	15507	alexandra_w	4	comment	kohort
15509	15495	alexandra_w	4	comment	kohort
15509	15506	alexandra_w	4	comment	kohort
15509	15502	titare	4	comment	kohort
15509	15499	HelleBol	4	comment	kohort
15509	15498	alexandra_w	4	comment	kohort
15509	15510	titare	4	comment	kohort
15499	15498	HelleBol	4	comment	kohort
15499	15513	alexandra_w	0	comment	kohort
15499	15514	titare	4	comment	kohort
15499	15512	titare	4	comment	kohort
15499	15516	alexandra_w	4	comment	kohort
15499	15505	titare	4	comment	kohort
15499	15512	HelleBol	4	comment	kohort
15499	15501	alexandra_w	4	comment	kohort
15499	15502	titare	4	comment	kohort
15499	15497	titare	4	comment	kohort
15499	15505	HelleBol	4	comment	kohort
15499	15515	HelleBol	4	comment	kohort
15499	15511	alexandra_w	2	comment	kohort
15499	15508	titare	1	comment	kohort
15495	15507	alexandra_w	4	comment	kohort
15495	15505	HelleBol	4	comment	kohort
15495	15498	alexandra_w	4	comment	kohort
15495	15496	titare	4	comment	kohort
15495	15501	titare	4	comment	kohort
15495	15508	alexandra_w	4	comment	kohort
15495	15502	alexandra_w	4	comment	kohort
15495	15507	titare	4	comment	kohort
15495	15514	titare	4	comment	kohort
15495	15502	titare	4	comment	kohort
15495	15505	alexandra_w	4	comment	kohort
15495	15498	HelleBol	4	comment	kohort
15495	15496	alexandra_w	4	comment	kohort
15495	15512	alexandra_w	4	comment	kohort
15495	15497	HelleBol	4	comment	kohort
15495	15507	HelleBol	4	comment	kohort
15495	15501	alexandra_w	4	comment	kohort
15495	15496	HelleBol	4	comment	kohort
15495	15500	HelleBol	4	comment	kohort
15495	15503	HelleBol	4	comment	kohort
15495	15503	alexandra_w	4	comment	kohort
15510	15500	HelleBol	4	comment	kohort
15510	15512	HelleBol	4	comment	kohort
15510	15508	HelleBol	3	comment	kohort
15510	15505	titare	4	comment	kohort
15510	15507	HelleBol	4	comment	kohort
15510	15500	alexandra_w	0	comment	kohort
15510	15514	alexandra_w	4	comment	kohort
15510	15497	alexandra_w	4	comment	kohort
15510	15499	titare	4	comment	kohort
15510	15509	HelleBol	4	comment	kohort
15510	15502	alexandra_w	4	comment	kohort
15510	15506	alexandra_w	4	comment	kohort
15510	15506	titare	4	comment	kohort
15510	15508	titare	1	comment	kohort
15510	15513	alexandra_w	4	comment	kohort
15510	15501	HelleBol	4	comment	kohort
15510	15515	HelleBol	4	comment	kohort
15508	15498	alexandra_w	4	comment	kohort
15508	15509	alexandra_w	4	comment	kohort
15508	15501	alexandra_w	4	comment	kohort
15508	15500	titare	1	comment	kohort
15508	15515	HelleBol	3	comment	kohort
15508	15511	alexandra_w	4	comment	kohort
15508	15507	titare	1	comment	kohort
15508	15512	alexandra_w	4	comment	kohort
15508	15509	HelleBol	3	comment	kohort
15508	15511	titare	3	comment	kohort
15508	15501	titare	1	comment	kohort
15508	15505	alexandra_w	4	comment	kohort
15508	15511	HelleBol	4	comment	kohort
15508	15498	HelleBol	3	comment	kohort
15508	15503	HelleBol	3	comment	kohort
15508	15499	alexandra_w	4	comment	kohort
15508	15514	alexandra_w	4	comment	kohort
15508	15512	titare	1	comment	kohort
15513	15497	alexandra_w	4	comment	kohort
15513	15510	HelleBol	4	comment	kohort
15513	15514	HelleBol	4	comment	kohort
15513	15497	titare	4	comment	kohort
15513	15499	HelleBol	4	comment	kohort
15513	15504	titare	4	comment	kohort
15513	15495	alexandra_w	4	comment	kohort
15513	15509	alexandra_w	0	comment	kohort
15513	15501	alexandra_w	4	comment	kohort
15513	15512	alexandra_w	4	comment	kohort
15513	15503	titare	4	comment	kohort
15513	15501	titare	4	comment	kohort
15513	15500	titare	4	comment	kohort
15513	15511	alexandra_w	4	comment	kohort
15513	15514	titare	4	comment	kohort
15513	15505	alexandra_w	4	comment	kohort
15513	15515	alexandra_w	4	comment	kohort
15513	15500	alexandra_w	4	comment	kohort
15501	15511	HelleBol	3	comment	kohort
