identifier1	identifier2	annotator	judgment	comment	lemma
1980-1990_melk_248	2012-2019_melk_3395	HelleBol	4		melk
1980-1990_melk_164	2012-2019_melk_2767	HelleBol	4		melk
2012-2019_melk_2767	2012-2019_melk_4717	HelleBol	4		melk
1980-1990_melk_3	2012-2019_melk_2767	HelleBol	4		melk
2012-2019_melk_2767	2012-2019_melk_3395	HelleBol	4		melk
1980-1990_melk_297	2012-2019_melk_3395	HelleBol	4		melk
1980-1990_melk_164	2012-2019_melk_4215	HelleBol	4		melk
1980-1990_melk_164	1980-1990_melk_248	HelleBol	4		melk
1980-1990_melk_164	1980-1990_melk_349	HelleBol	4		melk
1980-1990_melk_164	1980-1990_melk_264	HelleBol	4		melk
1980-1990_melk_164	2012-2019_melk_4028	HelleBol	4		melk
1980-1990_melk_164	1980-1990_melk_3	HelleBol	4		melk
2012-2019_melk_3799	2012-2019_melk_4215	HelleBol	4		melk
1980-1990_melk_158	2012-2019_melk_3799	HelleBol	4		melk
1980-1990_melk_349	2012-2019_melk_3799	HelleBol	4		melk
2012-2019_melk_1339	2012-2019_melk_2767	HelleBol	4		melk
2012-2019_melk_1339	2012-2019_melk_4215	HelleBol	4		melk
1980-1990_melk_158	1980-1990_melk_248	HelleBol	4		melk
1980-1990_melk_248	2012-2019_melk_2767	HelleBol	4		melk
1980-1990_melk_248	2012-2019_melk_967	HelleBol	4		melk
1980-1990_melk_248	1980-1990_melk_52	HelleBol	4		melk
1980-1990_melk_248	2012-2019_melk_3799	HelleBol	4		melk
1980-1990_melk_248	2012-2019_melk_4717	HelleBol	4		melk
2012-2019_melk_4215	2012-2019_melk_4393	HelleBol	4		melk
1980-1990_melk_264	2012-2019_melk_2767	HelleBol	4		melk
1980-1990_melk_248	1980-1990_melk_3	HelleBol	4		melk
2012-2019_melk_2767	2012-2019_melk_4393	HelleBol	4		melk
1980-1990_melk_245	2012-2019_melk_2767	HelleBol	4		melk
2012-2019_melk_4028	2012-2019_melk_967	HelleBol	4		melk
2012-2019_melk_1339	2012-2019_melk_4028	HelleBol	4		melk
2012-2019_melk_4028	2012-2019_melk_4717	HelleBol	4		melk
2012-2019_melk_3395	2012-2019_melk_967	HelleBol	4		melk
1980-1990_melk_292	2012-2019_melk_967	HelleBol	4		melk
1980-1990_melk_52	2012-2019_melk_967	HelleBol	4		melk
2012-2019_melk_2767	2012-2019_melk_967	HelleBol	4		melk
2012-2019_melk_4700	2012-2019_melk_967	HelleBol	4		melk
1980-1990_melk_168	2012-2019_melk_967	HelleBol	4		melk
2012-2019_melk_3395	2012-2019_melk_3799	HelleBol	4		melk
1980-1990_melk_52	2012-2019_melk_4717	HelleBol	4		melk
1980-1990_melk_264	2012-2019_melk_4215	HelleBol	4		melk
2012-2019_melk_4717	2012-2019_melk_967	HelleBol	4		melk
2012-2019_melk_4700	2012-2019_melk_4717	HelleBol	4		melk
2012-2019_melk_1339	2012-2019_melk_4717	HelleBol	4		melk
1980-1990_melk_3	2012-2019_melk_4717	HelleBol	4		melk
2012-2019_melk_4215	2012-2019_melk_4717	HelleBol	4		melk
2012-2019_melk_4393	2012-2019_melk_4717	HelleBol	4		melk
1980-1990_melk_3	2012-2019_melk_3395	HelleBol	4		melk
1980-1990_melk_264	2012-2019_melk_3395	HelleBol	4		melk
1980-1990_melk_297	2012-2019_melk_1339	HelleBol	4		melk
2012-2019_melk_1339	2012-2019_melk_967	HelleBol	4		melk
1980-1990_melk_3	2012-2019_melk_1339	HelleBol	4		melk
1980-1990_melk_248	2012-2019_melk_1339	HelleBol	4		melk
1980-1990_melk_264	2012-2019_melk_4717	HelleBol	4		melk
2012-2019_melk_4215	2012-2019_melk_967	HelleBol	4		melk
2012-2019_melk_3395	2012-2019_melk_4215	HelleBol	4		melk
1980-1990_melk_3	2012-2019_melk_4215	HelleBol	4		melk
2012-2019_melk_3395	2012-2019_melk_4393	HelleBol	4		melk
1980-1990_melk_158	2012-2019_melk_4393	HelleBol	4		melk
1980-1990_melk_3	2012-2019_melk_4393	HelleBol	4		melk
2012-2019_melk_3799	2012-2019_melk_4393	HelleBol	4		melk
1980-1990_melk_164	2012-2019_melk_1961	HelleBol	4		melk
2012-2019_melk_1961	2012-2019_melk_4717	HelleBol	4		melk
2012-2019_melk_1961	2012-2019_melk_4393	HelleBol	4		melk
2012-2019_melk_1961	2012-2019_melk_3799	HelleBol	4		melk
2012-2019_melk_1339	2012-2019_melk_3395	HelleBol	4		melk
1980-1990_melk_349	2012-2019_melk_1339	HelleBol	4		melk
1980-1990_melk_297	2012-2019_melk_4393	HelleBol	4		melk
1980-1990_melk_158	2012-2019_melk_4215	HelleBol	4		melk
2012-2019_melk_1339	2012-2019_melk_1961	HelleBol	4		melk
1980-1990_melk_158	1980-1990_melk_297	HelleBol	4		melk
1980-1990_melk_52	2012-2019_melk_3395	HelleBol	4		melk
1980-1990_melk_52	2012-2019_melk_3799	HelleBol	4		melk
1980-1990_melk_349	1980-1990_melk_52	HelleBol	4		melk
1980-1990_melk_52	2012-2019_melk_2767	HelleBol	4		melk
1980-1990_melk_264	1980-1990_melk_52	HelleBol	4		melk
1980-1990_melk_168	1980-1990_melk_52	HelleBol	4		melk
1980-1990_melk_349	2012-2019_melk_4393	HelleBol	4		melk
1980-1990_melk_264	2012-2019_melk_4393	HelleBol	4		melk
1980-1990_melk_52	2012-2019_melk_4028	HelleBol	4		melk
1980-1990_melk_52	2012-2019_melk_1961	HelleBol	4		melk
1980-1990_melk_52	2012-2019_melk_4393	HelleBol	4		melk
2012-2019_melk_4028	2012-2019_melk_4215	HelleBol	4		melk
1980-1990_melk_158	2012-2019_melk_1339	HelleBol	4		melk
1980-1990_melk_292	2012-2019_melk_3799	HelleBol	4		melk
1980-1990_melk_349	2012-2019_melk_4215	HelleBol	4		melk
1980-1990_melk_52	2012-2019_melk_4215	HelleBol	4		melk
1980-1990_melk_164	2012-2019_melk_1339	HelleBol	4		melk
1980-1990_melk_168	1980-1990_melk_297	HelleBol	4		melk
1980-1990_melk_168	1980-1990_melk_349	HelleBol	4		melk
1980-1990_melk_168	2012-2019_melk_1961	HelleBol	4		melk
1980-1990_melk_168	2012-2019_melk_4700	HelleBol	4		melk
1980-1990_melk_168	1980-1990_melk_248	HelleBol	4		melk
1980-1990_melk_168	2012-2019_melk_4393	HelleBol	4		melk
1980-1990_melk_158	1980-1990_melk_164	HelleBol	4		melk
1980-1990_melk_158	1980-1990_melk_3	HelleBol	4		melk
1980-1990_melk_168	1980-1990_melk_292	HelleBol	4		melk
1980-1990_melk_158	1980-1990_melk_292	HelleBol	4		melk
1980-1990_melk_158	2012-2019_melk_2767	HelleBol	4		melk
1980-1990_melk_292	2012-2019_melk_4717	HelleBol	4		melk
1980-1990_melk_292	2012-2019_melk_2767	HelleBol	4		melk
2012-2019_melk_3799	2012-2019_melk_4700	HelleBol	4		melk
