lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
melk	NN	2012	2012-2019	2012-2019_melk_967		At prisen synker med pluss/minus fem prosent, betyr lite for den enkeltes innkjøp av melk og brød. Men det er natt og dag for produsentene av bolig, sier Andreassen.	85:89	0:165	15306	nor_dia_change_subset2	no	andrey
melk	NN	1980	1980-1990	1980-1990_melk_349		DIFF. ØKO. korn 4173 1588 2399 3052 1054 6568 6163 poteter sukker 330 95 38 188 122 grønnsaker frukt &amp; baer kjøtt 2127 1488 2006 1719 19766 49025 12420 89445 4583 3367 8651 9883 12479 melk egg 49380 22846 30502 97 5 1087 750 1683 75399 38845 50515 185192 JORDBRUKET tråd. fiske akvakultur 22877 10277 12645 7925 17948 1 1247 106093 308 2 5 INDUSTRIELL BEARBEID 31111: slakting 4297 3368 3938 3776 31112: kjøttprod.	187:191	0:417	15307	nor_dia_change_subset2	no	andrey
melk	NN	1980	1980-1990	1980-1990_melk_297		Det blir likevel ikke regnet med at landet kan bli selvforsynt med mat. I det daglige kostholdet inngår mange matvarer som ikke lar seg dyrke i vårt klima uten store kostnader. De konkrete målene for matvareproduksjonen er å dekke vårt eget behov for melk og melkeprodukter, kjøtt, egg, poteter og grove, lagringssterke grønnsaker.	251:255	0:331	15301	nor_dia_change_subset2	no	andrey
melk	NN	2012	2012-2019	2012-2019_melk_3799		Gni egget inn i melet. Løs opp salt og sukker i vann og melk og tilsett i melblandingen.	56:60	0:88	15304	nor_dia_change_subset2	no	andrey
melk	NN	1980	1980-1990	1980-1990_melk_164		Hosten 1960 behandlet styret et brev fra bestyrer Ivar Nordnes ved Ørmelen filial med ønske om salg av melk ved avdelingen.	103:107	0:123	15299	nor_dia_change_subset2	no	andrey
melk	NN	2012	2012-2019	2012-2019_melk_4215		Vi blir geleidet inn i et stort rom hvor melka blir varmet opp og pasteurisert, separert og tilsatt ulike bakteriekulturer før den blir til ost.	41:46	0:144	15316	nor_dia_change_subset2	no	andrey
melk	NN	1980	1980-1990	1980-1990_melk_248		Et viktig mål for jordbruket er å dekke landets eget behov for melk og melkeprodukter, kjøtt, egg, poteter og grove langringssterke grønnsakslag.	63:67	0:145	15308	nor_dia_change_subset2	no	andrey
melk	NN	2012	2012-2019	2012-2019_melk_4717		Er dette et PR-stunt fra melk.no? – Verden har gått videre siden «alle» drakk melk på 50-tallet.	25:29	0:96	15313	nor_dia_change_subset2	no	andrey
melk	NN	2012	2012-2019	2012-2019_melk_3395		Tidligere var det melkekyr i fjøset, men de siste åtte årene har Haga byttet ut melken med spesialisert kjøttproduksjon.	37:40	0:120	15311	nor_dia_change_subset2	no	andrey
melk	NN	2012	2012-2019	2012-2019_melk_2767		Kuene blir sunnere og melken bedre.	22:28	0:35	15300	nor_dia_change_subset2	no	andrey
melk	NN	2012	2012-2019	2012-2019_melk_1339		Selve vaniljekremen var tynnere og mindre smaksrik enn en perfekt créme brûlèe skal vaere. Mens Robinson og Fredag ventet - igjen litt for lenge - på å få betale, la de merke til at en eldre, noe vaerbitt herre på nabobordet fikk sitte med et glass melk og en brødkuvert.	247:251	0:269	15305	nor_dia_change_subset2	no	andrey
melk	NN	2012	2012-2019	2012-2019_melk_1961		Mens den svenske studien definerer melk som inneholder om lag 3 prosent fett, som fettrik. Det svenskene definerer som melkefett, kan altså muligens fanges opp i den britiske studien som magre produkter. Ericson tror det kan vaere flere årsaker til at de to studiene gir motsatte svar. Britene definerte all yoghurt som fettfattig. De svenske forskerne har brukt ulike porsjonsstørrelser enn britene.	35:39	0:399	15319	nor_dia_change_subset2	no	andrey
melk	NN	2012	2012-2019	2012-2019_melk_4393		Melk og meieriprodukter er den viktigste kilde til jod i det norske kosthold.	0:4	0:77	15314	nor_dia_change_subset2	no	andrey
melk	NN	1980	1980-1990	1980-1990_melk_52		Oppbygningen av melkens riksgrunnpris og meieriselskapenes utbetalingspris omtales i avsnitt 3.4. Videre forvalter NML tilskudd over statsbudsjettet.	16:23	0:149	15302	nor_dia_change_subset2	no	andrey
melk	NN	1980	1980-1990	1980-1990_melk_158		Ofte mangler kvantum, og det er oppgitt bare vareslag og sum, f.eks. pr. kjød, pr. smør, 0.1. Noen eksempler på hva som ble betalt til leverandørene for enkelte varer kan likevel finnes: Havre kr. 0,09 pr. kg, sauskind kr. 1,70 pr. stk., faarekjød kr. 0,60 pr. kg, spekalv kr. 0,30 pr. kg, kalveskind kr. 2,80 pr. stk, kjød (slakt) kr. 0,40 pr. kg, grisslakt fra 0,67 - 0,75 pr. kg, torsk kr. 0,16 pr. kg, smør kr. 1,50 pr. kg, løg kr. 0,60 - 0,80 pr. kg, multegrød kr. 0,60 pr. kg, melk kr. 0,09 pr. 1, poteter kr. 3,75 pr. tønde (100 kg), tagspon kr. 2 ,— pr. 1000, bord kr. 0,03 pr. alen, sigd kr. 0,75 pr. stk., olderved kr. 8 — pr. favn, birk kr. 12,— pr. favn, timoteifrø kr. 1,10 pr. kg, og tomsekker i retur kr. 0,50 pr. stk.	483:487	0:733	15303	nor_dia_change_subset2	no	andrey
melk	NN	1980	1980-1990	1980-1990_melk_168		Videre innføres forbud mot omsetning og bruk av slikt for til gris, melkekyr og fjørfe. Innblanding i kraftfor til disse dyreslagene krever godkjenning i hvert tilfelle. Forbruket skyldes at foring med formidler av fisk i visse situasjoner kan gi svekket produktkvalitet som f.eks. tran- og fiskesmak og senket fettinnhold i melk og egg.	68:72	0:337	15320	nor_dia_change_subset2	no	andrey
melk	NN	1980	1980-1990	1980-1990_melk_292		De kan få i seg patogene mikroorganismer og fører disse videre til mennesker gjennom kjøtt og melk.	94:98	0:99	15310	nor_dia_change_subset2	no	andrey
melk	NN	2012	2012-2019	2012-2019_melk_4700		De første gangene endte jeg opp kalde kluter med melk for å forsøke å nøytralisere svineriet. Moralen er at chili er best i gryten, og pass på å ha noe melk i kjøleskapet for sikkerhets skyld.	49:53	0:192	15317	nor_dia_change_subset2	no	andrey
melk	NN	1980	1980-1990	1980-1990_melk_245		Gjennomsnittlig bruksstørrelse i 1978 var 146 daa, som bare overskrides av Akershus med 152 daa. Det er under oppstarting en aksjonsplan for økt storfehold i Østfold med sikte på større produksjon av melk og ferskkjøtt.	200:204	0:219	15318	nor_dia_change_subset2	no	andrey
melk	NN	1980	1980-1990	1980-1990_melk_264		Grunntilskott som alle som produserer melk får, og dette er ikke avgrenset.	38:42	0:75	15315	nor_dia_change_subset2	no	andrey
melk	NN	1980	1980-1990	1980-1990_melk_3		Dette har ført til at jord- bruksarealet pr. driftsenhet har økt betrakte- lig i de senere år. Melkeproduksjon er den driftsgren som betyr mest økonomisk. I 1981 var innveid melk i fylket 20,67 millioner kg. Det var nød- vendig å tilføre 0,211 millioner kg supple- ringsmelk utenfra.	174:178	0:283	15309	nor_dia_change_subset2	no	andrey
melk	NN	2012	2012-2019	2012-2019_melk_4028		Plutselig var det tomt for melk i verdens rikeste land Se video:	27:31	0:64	15312	nor_dia_change_subset2	no	andrey
