identifier1	identifier2	annotator	judgment	comment	lemma
1980-1990_moment_492	2012-2019_moment_2108	HelleBol	4		moment
2012-2019_moment_2849	2012-2019_moment_734	HelleBol	1		moment
1980-1990_moment_492	2012-2019_moment_734	HelleBol	4		moment
1980-1990_moment_1640	2012-2019_moment_1931	HelleBol	4		moment
1980-1990_moment_103	2012-2019_moment_1931	HelleBol	4		moment
1980-1990_moment_1220	1980-1990_moment_775	HelleBol	4		moment
1980-1990_moment_775	2012-2019_moment_1438	HelleBol	4		moment
1980-1990_moment_775	2012-2019_moment_529	HelleBol	4		moment
1980-1990_moment_1640	1980-1990_moment_775	HelleBol	4		moment
1980-1990_moment_275	1980-1990_moment_492	HelleBol	4		moment
1980-1990_moment_775	1980-1990_moment_839	HelleBol	4		moment
1980-1990_moment_492	2012-2019_moment_1931	HelleBol	4		moment
1980-1990_moment_1243	2012-2019_moment_734	HelleBol	4		moment
1980-1990_moment_1243	2012-2019_moment_2108	HelleBol	4		moment
1980-1990_moment_775	2012-2019_moment_2108	HelleBol	4		moment
1980-1990_moment_1243	1980-1990_moment_492	HelleBol	4		moment
2012-2019_moment_2108	2012-2019_moment_2591	HelleBol	1		moment
2012-2019_moment_2108	2012-2019_moment_53	HelleBol	4		moment
2012-2019_moment_1931	2012-2019_moment_2591	HelleBol	1		moment
2012-2019_moment_1931	2012-2019_moment_53	HelleBol	4		moment
1980-1990_moment_1462	2012-2019_moment_2849	HelleBol	1		moment
2012-2019_moment_2591	2012-2019_moment_529	HelleBol	1		moment
2012-2019_moment_2108	2012-2019_moment_296	HelleBol	4		moment
1980-1990_moment_1016	1980-1990_moment_775	HelleBol	4		moment
1980-1990_moment_1462	2012-2019_moment_1636	HelleBol	4		moment
2012-2019_moment_1636	2012-2019_moment_53	HelleBol	4		moment
1980-1990_moment_1220	2012-2019_moment_1438	HelleBol	4		moment
1980-1990_moment_1220	1980-1990_moment_1632	HelleBol	4		moment
1980-1990_moment_839	2012-2019_moment_2108	HelleBol	4		moment
1980-1990_moment_1243	2012-2019_moment_529	HelleBol	4		moment
1980-1990_moment_1632	1980-1990_moment_839	HelleBol	4		moment
1980-1990_moment_275	2012-2019_moment_1931	HelleBol	4		moment
1980-1990_moment_1016	1980-1990_moment_1243	HelleBol	4		moment
1980-1990_moment_1220	2012-2019_moment_734	HelleBol	4		moment
2012-2019_moment_1438	2012-2019_moment_734	HelleBol	4		moment
1980-1990_moment_775	2012-2019_moment_296	HelleBol	4		moment
1980-1990_moment_1632	2012-2019_moment_529	HelleBol	4		moment
1980-1990_moment_839	2012-2019_moment_529	HelleBol	4		moment
1980-1990_moment_492	2012-2019_moment_529	HelleBol	4		moment
1980-1990_moment_775	2012-2019_moment_2849	HelleBol	1		moment
1980-1990_moment_775	2012-2019_moment_734	HelleBol	4		moment
1980-1990_moment_839	2012-2019_moment_734	HelleBol	4		moment
1980-1990_moment_839	2012-2019_moment_53	HelleBol	4		moment
2012-2019_moment_1438	2012-2019_moment_53	HelleBol	4		moment
1980-1990_moment_775	2012-2019_moment_1931	HelleBol	4		moment
1980-1990_moment_492	1980-1990_moment_775	HelleBol	4		moment
2012-2019_moment_296	2012-2019_moment_734	HelleBol	4		moment
1980-1990_moment_1632	1980-1990_moment_775	HelleBol	4		moment
1980-1990_moment_1632	2012-2019_moment_1438	HelleBol	4		moment
1980-1990_moment_103	2012-2019_moment_529	HelleBol	4		moment
1980-1990_moment_1632	2012-2019_moment_2108	HelleBol	4		moment
1980-1990_moment_1632	2012-2019_moment_1307	HelleBol	4		moment
1980-1990_moment_1632	2012-2019_moment_2591	HelleBol	1		moment
1980-1990_moment_1632	1980-1990_moment_492	HelleBol	4		moment
1980-1990_moment_103	1980-1990_moment_1632	HelleBol	4		moment
1980-1990_moment_103	2012-2019_moment_2108	HelleBol	4		moment
1980-1990_moment_103	1980-1990_moment_775	HelleBol	4		moment
1980-1990_moment_775	2012-2019_moment_1636	HelleBol	4		moment
1980-1990_moment_1243	2012-2019_moment_296	HelleBol	4		moment
1980-1990_moment_839	2012-2019_moment_1931	HelleBol	4		moment
1980-1990_moment_103	1980-1990_moment_492	HelleBol	4		moment
2012-2019_moment_1931	2012-2019_moment_2849	HelleBol	1		moment
1980-1990_moment_492	2012-2019_moment_296	HelleBol	4		moment
2012-2019_moment_1931	2012-2019_moment_296	HelleBol	4		moment
1980-1990_moment_275	2012-2019_moment_296	HelleBol	4		moment
1980-1990_moment_1632	2012-2019_moment_53	HelleBol	4		moment
1980-1990_moment_1243	2012-2019_moment_1636	HelleBol	4		moment
2012-2019_moment_2849	2012-2019_moment_529	HelleBol	1		moment
2012-2019_moment_1636	2012-2019_moment_734	HelleBol	4		moment
1980-1990_moment_1640	2012-2019_moment_1636	HelleBol	4		moment
1980-1990_moment_103	1980-1990_moment_1243	HelleBol	4		moment
1980-1990_moment_1220	2012-2019_moment_2849	HelleBol	1		moment
2012-2019_moment_1307	2012-2019_moment_53	HelleBol	4		moment
2012-2019_moment_1307	2012-2019_moment_1636	HelleBol	4		moment
1980-1990_moment_275	2012-2019_moment_2591	HelleBol	1		moment
1980-1990_moment_1243	2012-2019_moment_2849	HelleBol	1		moment
1980-1990_moment_839	2012-2019_moment_1307	HelleBol	4		moment
1980-1990_moment_103	1980-1990_moment_1220	HelleBol	4		moment
1980-1990_moment_1640	2012-2019_moment_2849	HelleBol	1		moment
1980-1990_moment_1016	1980-1990_moment_1462	HelleBol	4		moment
1980-1990_moment_1243	1980-1990_moment_775	HelleBol	4		moment
1980-1990_moment_275	2012-2019_moment_529	HelleBol	4		moment
1980-1990_moment_775	2012-2019_moment_2591	HelleBol	1		moment
