identifier1	identifier2	annotator	judgment	comment	lemma
1980-1990_oppvarming_329	1980-1990_oppvarming_4	HelleBol	4		oppvarming
1980-1990_oppvarming_244	2012-2019_oppvarming_1807	HelleBol	2		oppvarming
2012-2019_oppvarming_1807	2012-2019_oppvarming_3013	HelleBol	2		oppvarming
2012-2019_oppvarming_3013	2012-2019_oppvarming_4642	HelleBol	3		oppvarming
2012-2019_oppvarming_1959	2012-2019_oppvarming_3013	HelleBol	3		oppvarming
1980-1990_oppvarming_329	2012-2019_oppvarming_1807	HelleBol	2		oppvarming
2012-2019_oppvarming_1807	2012-2019_oppvarming_963	HelleBol	2		oppvarming
1980-1990_oppvarming_111	2012-2019_oppvarming_673	HelleBol	3		oppvarming
2012-2019_oppvarming_1807	2012-2019_oppvarming_673	HelleBol	3		oppvarming
1980-1990_oppvarming_406	1980-1990_oppvarming_43	HelleBol	4		oppvarming
1980-1990_oppvarming_329	2012-2019_oppvarming_673	HelleBol	3		oppvarming
1980-1990_oppvarming_43	2012-2019_oppvarming_673	HelleBol	3		oppvarming
1980-1990_oppvarming_162	1980-1990_oppvarming_43	HelleBol	4		oppvarming
1980-1990_oppvarming_111	2012-2019_oppvarming_3013	HelleBol	4		oppvarming
1980-1990_oppvarming_43	2012-2019_oppvarming_380	HelleBol	4		oppvarming
1980-1990_oppvarming_202	1980-1990_oppvarming_406	HelleBol	4		oppvarming
2012-2019_oppvarming_1959	2012-2019_oppvarming_4228	HelleBol	4		oppvarming
2012-2019_oppvarming_1959	2012-2019_oppvarming_963	HelleBol	4		oppvarming
1980-1990_oppvarming_278	2012-2019_oppvarming_1959	HelleBol	3		oppvarming
1980-1990_oppvarming_43	2012-2019_oppvarming_1959	HelleBol	3		oppvarming
1980-1990_oppvarming_354	2012-2019_oppvarming_963	HelleBol	3		oppvarming
2012-2019_oppvarming_951	2012-2019_oppvarming_963	HelleBol	4		oppvarming
1980-1990_oppvarming_202	2012-2019_oppvarming_963	HelleBol	3		oppvarming
1980-1990_oppvarming_244	2012-2019_oppvarming_380	HelleBol	4		oppvarming
1980-1990_oppvarming_43	2012-2019_oppvarming_4228	HelleBol	3		oppvarming
1980-1990_oppvarming_278	2012-2019_oppvarming_861	HelleBol	3		oppvarming
2012-2019_oppvarming_3013	2012-2019_oppvarming_673	HelleBol	3		oppvarming
1980-1990_oppvarming_220	2012-2019_oppvarming_1807	HelleBol	2		oppvarming
1980-1990_oppvarming_162	2012-2019_oppvarming_1807	HelleBol	2		oppvarming
2012-2019_oppvarming_1807	2012-2019_oppvarming_861	HelleBol	3		oppvarming
2012-2019_oppvarming_3013	2012-2019_oppvarming_861	HelleBol	3		oppvarming
1980-1990_oppvarming_111	2012-2019_oppvarming_4642	HelleBol	3		oppvarming
2012-2019_oppvarming_4228	2012-2019_oppvarming_673	HelleBol	3		oppvarming
1980-1990_oppvarming_244	2012-2019_oppvarming_963	HelleBol	3		oppvarming
1980-1990_oppvarming_244	2012-2019_oppvarming_951	HelleBol	3		oppvarming
1980-1990_oppvarming_220	2012-2019_oppvarming_673	HelleBol	3		oppvarming
1980-1990_oppvarming_244	1980-1990_oppvarming_406	HelleBol	4		oppvarming
1980-1990_oppvarming_244	1980-1990_oppvarming_329	HelleBol	4		oppvarming
1980-1990_oppvarming_244	1980-1990_oppvarming_43	HelleBol	4		oppvarming
1980-1990_oppvarming_220	1980-1990_oppvarming_244	HelleBol	4		oppvarming
1980-1990_oppvarming_244	2012-2019_oppvarming_673	HelleBol	3		oppvarming
1980-1990_oppvarming_244	2012-2019_oppvarming_3013	HelleBol	4		oppvarming
1980-1990_oppvarming_354	2012-2019_oppvarming_861	HelleBol	3		oppvarming
1980-1990_oppvarming_162	2012-2019_oppvarming_1959	HelleBol	3		oppvarming
2012-2019_oppvarming_3487	2012-2019_oppvarming_861	HelleBol	3		oppvarming
1980-1990_oppvarming_220	2012-2019_oppvarming_951	HelleBol	3		oppvarming
2012-2019_oppvarming_4642	2012-2019_oppvarming_673	HelleBol	3		oppvarming
1980-1990_oppvarming_162	1980-1990_oppvarming_278	HelleBol	4		oppvarming
