lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
oppvarming	NN	2012	2012-2019	2012-2019_oppvarming_4642		I mange tilfeller er det økte havtemperaturer som følge av global oppvarming problemet.	66:76	0:87	15418	nor_dia_change_subset2	no	andrey
oppvarming	NN	1980	1980-1990	1980-1990_oppvarming_244		En må forutsette at de som idag har muligheter til å nytte både elektrisitet og olje til oppvarming stort sett vil bruke den energibaerer som faller rimeligst.	89:99	0:158	15422	nor_dia_change_subset2	no	andrey
oppvarming	NN	2012	2012-2019	2012-2019_oppvarming_861		- Småtrist at vi ble buet ut NORGE - ALBANIA 0-1: ULLEVAAL (aftenposten.no): Vanligvis pleier Norge å komme ut til oppvarming på Ullevaal til applaus og hyllest fra publikum.	115:125	0:174	15416	nor_dia_change_subset2	no	andrey
oppvarming	NN	1980	1980-1990	1980-1990_oppvarming_162		Det er to unntak, grendautvalet som peker på at når ikke kommunen kan gi nødvendig støtte på grunn av økonomiske vansker, må staten gi mer, og et foreldrelag som anser at støtten fra kommunen er god nok når denne betaler indirekte gjennom fritt hus og oppvarming. I det forberedende arbeidet har derimot skolens organer blitt trukket inn. I mange kommuner har det vaert flere instanser inne i planleggingsarbeidet.	252:262	0:413	15407	nor_dia_change_subset2	no	andrey
oppvarming	NN	1980	1980-1990	1980-1990_oppvarming_111		Målingene av S0 2 viser at S0 2 -utslippet, som i liten grad skyldes biltrafikken, til sammenligning har blitt omtrent halvert i Oslo sentrum siden 1980, som et resultat av overgang til lettere fyringsoljer og overgang fra oljefyring til elektrisk oppvarming.	248:258	0:259	15414	nor_dia_change_subset2	no	andrey
oppvarming	NN	2012	2012-2019	2012-2019_oppvarming_380		- Oppvarming av rommet og god ventilasjon er et annet godt råd, sier Rukke. På et bad kan man for eksempel skru opp varmekablene og sette inn vifteovn.	2:12	0:151	15415	nor_dia_change_subset2	no	andrey
oppvarming	NN	2012	2012-2019	2012-2019_oppvarming_3487		Men hadde de gjort det, kunne vi redusert Norges klimagassutslipp så det monnet, sier Mork. Smått og stort = suksess Ole Mathismoen Listen over enkelttiltak er lang. Noen er stor og dyre, noen er små og bare litt annerledes: Solcelleanlegg på taket produserer gjennomsnittlig 200 000 kWh i året og produserer strøm til drift av byggene. 10 dype energibrønner under plenen for an byggene henter kjøling om sommeren og energi til oppvarming om vinteren.	428:438	0:451	15428	nor_dia_change_subset2	no	andrey
oppvarming	NN	1980	1980-1990	1980-1990_oppvarming_406		Medregnet disse vil det bli behov for oppvarming av ca. 1 200 m 2 grunnflate.	38:48	0:77	15417	nor_dia_change_subset2	no	andrey
oppvarming	NN	2012	2012-2019	2012-2019_oppvarming_4228		De lave temperaturene har skapt problemer både i sentrale og østlige strøk. Torsdag reagerte Trump på kulda på Twitter med en vri på global oppvarming. – I øst kan det muligens bli den KALDESTE nyttårsaften noensinne.	140:150	0:217	15421	nor_dia_change_subset2	no	andrey
oppvarming	NN	1980	1980-1990	1980-1990_oppvarming_43		Denne forskjellen har sammenheng med både større S0 2 -utslipp om vinteren på grunn av oppvarming med oljeprodukter og dårligere spredningsforhold.	87:97	0:147	15410	nor_dia_change_subset2	no	andrey
oppvarming	NN	2012	2012-2019	2012-2019_oppvarming_3013		I innledningen av avtalen skal det vaere et avsnitt som forklarer formålet – altså at man skal unngå farlig oppvarming.	107:117	0:118	15424	nor_dia_change_subset2	no	andrey
oppvarming	NN	2012	2012-2019	2012-2019_oppvarming_951		Klimaforskerne mener imidlertid at den globale oppvarmingen generelt vil føre til mer ekstremvaer. Ifølge Pachauri vil for eksempel hetebølger, ekstrem nedbør og ekstreme havnivåer bli et økende problem i årene som kommer. (©NTB)	47:59	0:228	15425	nor_dia_change_subset2	no	andrey
oppvarming	NN	2012	2012-2019	2012-2019_oppvarming_1959		Den pågående finanskrisen, den globale oppvarmingen og bekymringen over oldebarnas fremtid har fått de to damene til å spørre seg: Er evig økonomisk vekst mulig? Den politiske motrørsla	39:51	0:185	15409	nor_dia_change_subset2	no	andrey
oppvarming	NN	1980	1980-1990	1980-1990_oppvarming_354		Prosent 2.12 Andel av husholdningene med ett eller flere ENØK-tiltak gjennomført i perioden 1973-1982, etter 2g boligens byggeår. Prosent 2.13 Andel av husholdningene med ett eller flere ENØK-tiltak gjennomført i perioden 1973-1982, etter 2g husholdningens inntekt. Prosent 2.14 Husholdninger etter viktigste oppvarmingskilde og etter den form for oppvarming de mener er 3Q billigst i boligen. 1983. Prosent 2.15 Husholdningens oppfatning av hva som er billigste form for oppvarming i boligen etter viktigste 3Q oppvarmingskilde. 1983. Prosent 2.16 Utvikl ingen i brutto fastkraftforbruk til alminnelig forsyning sammenliknet med prognosene. TWh. 32 2.17 Utviklingen i elektrisitetspris til husholdninger og jordbruk og priser på fyringsolje,sammenliknet med forutsetningene i energimeldinga. Øre/KWh inkl. alle avgifter. 1983-priser 32 3. Mineraler.	309:319	0:850	15426	nor_dia_change_subset2	no	andrey
