identifier1	identifier2	annotator	judgment	comment	lemma
1980-1990_overflate_117	2012-2019_overflate_3960	HelleBol	4		overflate
1980-1990_overflate_109	1980-1990_overflate_86	HelleBol	4		overflate
1980-1990_overflate_109	2012-2019_overflate_3960	HelleBol	4		overflate
1980-1990_overflate_190	2012-2019_overflate_1068	HelleBol	3		overflate
1980-1990_overflate_119	2012-2019_overflate_1068	HelleBol	3		overflate
2012-2019_overflate_1068	2012-2019_overflate_80	HelleBol	3		overflate
2012-2019_overflate_1068	2012-2019_overflate_3066	HelleBol	4		overflate
1980-1990_overflate_131	2012-2019_overflate_1068	HelleBol	3		overflate
2012-2019_overflate_1068	2012-2019_overflate_2549	HelleBol	3		overflate
1980-1990_overflate_117	2012-2019_overflate_1068	HelleBol	3		overflate
1980-1990_overflate_131	2012-2019_overflate_2134	HelleBol	4		overflate
1980-1990_overflate_117	1980-1990_overflate_131	HelleBol	4		overflate
1980-1990_overflate_86	2012-2019_overflate_1068	HelleBol	3		overflate
1980-1990_overflate_161	2012-2019_overflate_2549	HelleBol	4		overflate
1980-1990_overflate_119	2012-2019_overflate_2134	HelleBol	4		overflate
1980-1990_overflate_119	2012-2019_overflate_80	HelleBol	4		overflate
1980-1990_overflate_119	1980-1990_overflate_43	HelleBol	4		overflate
1980-1990_overflate_117	1980-1990_overflate_119	HelleBol	4		overflate
1980-1990_overflate_109	2012-2019_overflate_1274	HelleBol	4		overflate
2012-2019_overflate_1068	2012-2019_overflate_2134	HelleBol	3		overflate
1980-1990_overflate_190	2012-2019_overflate_1274	HelleBol	4		overflate
1980-1990_overflate_117	1980-1990_overflate_190	HelleBol	4		overflate
1980-1990_overflate_86	2012-2019_overflate_80	HelleBol	4		overflate
2012-2019_overflate_3559	2012-2019_overflate_80	HelleBol	3		overflate
2012-2019_overflate_2549	2012-2019_overflate_80	HelleBol	4		overflate
1980-1990_overflate_190	2012-2019_overflate_80	HelleBol	4		overflate
1980-1990_overflate_147	2012-2019_overflate_80	HelleBol	4		overflate
1980-1990_overflate_43	2012-2019_overflate_2134	HelleBol	4		overflate
1980-1990_overflate_161	2012-2019_overflate_2134	HelleBol	4		overflate
1980-1990_overflate_131	1980-1990_overflate_99	HelleBol	4		overflate
1980-1990_overflate_131	1980-1990_overflate_190	HelleBol	4		overflate
1980-1990_overflate_99	2012-2019_overflate_3960	HelleBol	4		overflate
1980-1990_overflate_161	1980-1990_overflate_99	HelleBol	4		overflate
1980-1990_overflate_99	2012-2019_overflate_80	HelleBol	4		overflate
1980-1990_overflate_119	1980-1990_overflate_99	HelleBol	4		overflate
1980-1990_overflate_190	1980-1990_overflate_99	HelleBol	4		overflate
1980-1990_overflate_190	1980-1990_overflate_43	HelleBol	4		overflate
1980-1990_overflate_43	1980-1990_overflate_86	HelleBol	4		overflate
1980-1990_overflate_119	1980-1990_overflate_86	HelleBol	4		overflate
1980-1990_overflate_131	1980-1990_overflate_86	HelleBol	4		overflate
1980-1990_overflate_99	2012-2019_overflate_3066	HelleBol	3		overflate
1980-1990_overflate_147	2012-2019_overflate_1068	HelleBol	3		overflate
2012-2019_overflate_3960	2012-2019_overflate_4137	HelleBol	4		overflate
2012-2019_overflate_2134	2012-2019_overflate_3960	HelleBol	4		overflate
1980-1990_overflate_147	1980-1990_overflate_195	HelleBol	4		overflate
1980-1990_overflate_119	1980-1990_overflate_195	HelleBol	4		overflate
1980-1990_overflate_117	1980-1990_overflate_195	HelleBol	4		overflate
1980-1990_overflate_195	1980-1990_overflate_86	HelleBol	4		overflate
1980-1990_overflate_190	1980-1990_overflate_195	HelleBol	4		overflate
1980-1990_overflate_195	1980-1990_overflate_43	HelleBol	4		overflate
2012-2019_overflate_2440	2012-2019_overflate_4187	HelleBol	4		overflate
2012-2019_overflate_2549	2012-2019_overflate_4187	HelleBol	4		overflate
1980-1990_overflate_43	2012-2019_overflate_4187	HelleBol	4		overflate
1980-1990_overflate_161	2012-2019_overflate_1068	HelleBol	3		overflate
2012-2019_overflate_4187	2012-2019_overflate_80	HelleBol	4		overflate
2012-2019_overflate_3559	2012-2019_overflate_3960	HelleBol	4		overflate
1980-1990_overflate_86	2012-2019_overflate_3559	HelleBol	3		overflate
1980-1990_overflate_109	2012-2019_overflate_3559	HelleBol	0		overflate
2012-2019_overflate_2134	2012-2019_overflate_3559	HelleBol	3		overflate
2012-2019_overflate_3559	2012-2019_overflate_4187	HelleBol	4		overflate
2012-2019_overflate_1274	2012-2019_overflate_3559	HelleBol	3		overflate
1980-1990_overflate_161	1980-1990_overflate_195	HelleBol	4		overflate
1980-1990_overflate_147	1980-1990_overflate_190	HelleBol	4		overflate
1980-1990_overflate_195	2012-2019_overflate_2134	HelleBol	4		overflate
1980-1990_overflate_161	1980-1990_overflate_43	HelleBol	4		overflate
1980-1990_overflate_147	2012-2019_overflate_3960	HelleBol	4		overflate
2012-2019_overflate_1068	2012-2019_overflate_3960	HelleBol	3		overflate
2012-2019_overflate_2549	2012-2019_overflate_3960	HelleBol	4		overflate
1980-1990_overflate_119	2012-2019_overflate_3960	HelleBol	4		overflate
1980-1990_overflate_195	2012-2019_overflate_4137	HelleBol	4		overflate
1980-1990_overflate_109	1980-1990_overflate_131	HelleBol	4		overflate
1980-1990_overflate_131	2012-2019_overflate_80	HelleBol	4		overflate
2012-2019_overflate_4137	2012-2019_overflate_4187	HelleBol	4		overflate
1980-1990_overflate_86	2012-2019_overflate_3960	HelleBol	4		overflate
2012-2019_overflate_3559	2012-2019_overflate_4137	HelleBol	3		overflate
2012-2019_overflate_3066	2012-2019_overflate_4137	HelleBol	3		overflate
1980-1990_overflate_43	2012-2019_overflate_4137	HelleBol	4		overflate
1980-1990_overflate_147	2012-2019_overflate_4137	HelleBol	4		overflate
1980-1990_overflate_147	2012-2019_overflate_3559	HelleBol	3		overflate
1980-1990_overflate_195	2012-2019_overflate_3559	HelleBol	3		overflate
1980-1990_overflate_195	2012-2019_overflate_3960	HelleBol	4		overflate
1980-1990_overflate_195	2012-2019_overflate_80	HelleBol	4		overflate
1980-1990_overflate_43	2012-2019_overflate_1068	HelleBol	3		overflate
1980-1990_overflate_119	2012-2019_overflate_4137	HelleBol	4		overflate
1980-1990_overflate_117	2012-2019_overflate_2134	HelleBol	4		overflate
1980-1990_overflate_109	1980-1990_overflate_99	HelleBol	4		overflate
1980-1990_overflate_99	2012-2019_overflate_2440	HelleBol	4		overflate
2012-2019_overflate_3066	2012-2019_overflate_4187	HelleBol	3		overflate
2012-2019_overflate_2549	2012-2019_overflate_4137	HelleBol	4		overflate
2012-2019_overflate_1274	2012-2019_overflate_2549	HelleBol	4		overflate
2012-2019_overflate_2440	2012-2019_overflate_2549	HelleBol	4		overflate
1980-1990_overflate_119	2012-2019_overflate_2440	HelleBol	4		overflate
1980-1990_overflate_195	2012-2019_overflate_2549	HelleBol	4		overflate
1980-1990_overflate_119	2012-2019_overflate_1274	HelleBol	4		overflate
1980-1990_overflate_147	2012-2019_overflate_2134	HelleBol	4		overflate
1980-1990_overflate_117	2012-2019_overflate_2440	HelleBol	4		overflate
1980-1990_overflate_109	1980-1990_overflate_117	HelleBol	4		overflate
1980-1990_overflate_86	2012-2019_overflate_2549	HelleBol	4		overflate
1980-1990_overflate_43	2012-2019_overflate_2440	HelleBol	4		overflate
2012-2019_overflate_1068	2012-2019_overflate_2440	HelleBol	3		overflate
1980-1990_overflate_117	1980-1990_overflate_161	HelleBol	4		overflate
2012-2019_overflate_1274	2012-2019_overflate_2440	HelleBol	4		overflate
2012-2019_overflate_2549	2012-2019_overflate_3066	HelleBol	3		overflate
1980-1990_overflate_131	2012-2019_overflate_3066	HelleBol	3		overflate
