lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
papir	NN	1980	1980-1990	1980-1990_papir_471		Det vil bli mye papir og en brysom ordning i praksis.	16:21	0:53
papir	NN	1980	1980-1990	1980-1990_papir_329		I Norge synes betegnelsen å bli anvendt på mindre papirer beregnet på utfylling: Tegningsblankett, postgiroblankett, kvitteringsblankett, festblankett, fakturablankett, oppkravsblankett, sjekkblankett, blankett for fraktbrev, RTV-blankett, osv.	50:57	0:244
papir	NN	1980	1980-1990	1980-1990_papir_141		Landets 2 papirkonservatorer må ansees som en dråpe i havet i betraktning av de rent tallmessige forhold: Halvparten av den registrerte gjenstandsmasse utgjøres av kunst på papir. f) KUNSTINDUSTRI Ved landets tre kunstindustrimuseer, Kunstindustrimuseet i Oslo, Vestlandske Kunstindustrimuseum i Bergen og Nordenfjeldske Kunstindustrimuseum i Trondheim består samlingene av utvalg i gjenstander, spesielt etter estetiske kriterier, etter representasjon i stil og etter den kvalitet i tilvirkningen som er bygd inn i gjenstanden. Samlingene er store og meget verdifulle.	173:178	0:569
papir	NN	1980	1980-1990	1980-1990_papir_18		I siste halvdel av forrige århundre åpner ny teknologi og billigere papir for stadig flere avisdannelser, noe som øker konkurransen på eksisterende utgivelsessted, og som i neste omgang følges av en tiltakende spredning av avisproduksjonen fra sentrum mot utkanten.	68:73	0:265
papir	NN	1980	1980-1990	1980-1990_papir_285		Det ble vedtatt å gi den konstituerte disponenten prokura, og nødvendige papirer og underskrifter for dette ble ordnet av styret.	73:80	0:129
papir	NN	1980	1980-1990	1980-1990_papir_419		Midt mellom de to omstridte jorder, Vestflotten og Østflotten, satt nemlig den høye øvrighet ved et gult klaffebord og med gåsepenner i hendene, og på snippen av klaffebordet med protokoller og papirer i sømmelig avstand lå en bibel i brunt laerbind med tykke, gule messingbeslag og spenner.	194:201	0:291
papir	NN	1980	1980-1990	1980-1990_papir_201		Direktoratet for naturforvaltning, Riksantikvaren, Helsedirektoratet og Kommunenes sentralforbund Miljøbyen 2005 er trykt av Tangen-Trykk på papir framstilt uten bruk av klor. Produksjon: Grafisk Service Knut Grønli a.s.	141:146	0:220
papir	NN	1980	1980-1990	1980-1990_papir_368		Omsider uttaler han: "Jeg skal fortelle Dem hvordan det henger sammen. Jeg røk uklar med en mann i den byen i California hvor jeg bodde, og han skrev ut et papir så jeg havnet på sinnssykeanstalt." Jeg spurte om De hadde hørt stemmer? "Ja, det var stemmene!" Hvordan det? "Det papiret.	156:161	0:285
papir	NN	1980	1980-1990	1980-1990_papir_484		Tonn/W FIGUR 5.2. FORBRUK AV TRELAST I ULIKE BYGGTYPER PR. m 2 GULVFLATE. 1970-1982. m3/ m 2 Av det totale forbruket av cellulose og tremasse i Norge, går henholdsvis ca. 95 og 99 prosent til framstilling av papir og papp.	208:213	0:222
papir	NN	1980	1980-1990	1980-1990_papir_351		En vesentlig del av økningen i humanistenes utstyrsbehov er nettopp knyttet til behovet for bedre penn og papir.	106:111	0:112
