identifier1	identifier2	annotator	judgment	comment	lemma
1980-1990_rådgiver_544	2012-2019_rådgiver_13483	HelleBol	4		rådgiver
1980-1990_rådgiver_550	2012-2019_rådgiver_14748	HelleBol	4		rådgiver
1980-1990_rådgiver_127	2012-2019_rådgiver_7162	HelleBol	4		rådgiver
1980-1990_rådgiver_127	2012-2019_rådgiver_13203	HelleBol	4		rådgiver
2012-2019_rådgiver_17527	2012-2019_rådgiver_8308	HelleBol	4		rådgiver
1980-1990_rådgiver_249	2012-2019_rådgiver_6379	HelleBol	4		rådgiver
1980-1990_rådgiver_127	1980-1990_rådgiver_286	HelleBol	4		rådgiver
1980-1990_rådgiver_462	2012-2019_rådgiver_8301	HelleBol	4		rådgiver
1980-1990_rådgiver_380	1980-1990_rådgiver_462	HelleBol	4		rådgiver
1980-1990_rådgiver_462	2012-2019_rådgiver_13203	HelleBol	4		rådgiver
1980-1990_rådgiver_462	1980-1990_rådgiver_544	HelleBol	4		rådgiver
1980-1990_rådgiver_286	2012-2019_rådgiver_8301	HelleBol	4		rådgiver
1980-1990_rådgiver_459	1980-1990_rådgiver_462	HelleBol	4		rådgiver
1980-1990_rådgiver_462	2012-2019_rådgiver_5577	HelleBol	4		rådgiver
1980-1990_rådgiver_286	2012-2019_rådgiver_6379	HelleBol	4		rådgiver
1980-1990_rådgiver_377	2012-2019_rådgiver_17527	HelleBol	4		rådgiver
1980-1990_rådgiver_244	2012-2019_rådgiver_8301	HelleBol	4		rådgiver
1980-1990_rådgiver_244	1980-1990_rådgiver_380	HelleBol	4		rådgiver
1980-1990_rådgiver_550	2012-2019_rådgiver_8301	HelleBol	4		rådgiver
1980-1990_rådgiver_459	1980-1990_rådgiver_544	HelleBol	4		rådgiver
1980-1990_rådgiver_176	2012-2019_rådgiver_5577	HelleBol	4		rådgiver
1980-1990_rådgiver_550	2012-2019_rådgiver_13483	HelleBol	4		rådgiver
1980-1990_rådgiver_244	2012-2019_rådgiver_7162	HelleBol	4		rådgiver
1980-1990_rådgiver_380	2012-2019_rådgiver_611	HelleBol	4		rådgiver
1980-1990_rådgiver_544	2012-2019_rådgiver_5577	HelleBol	4		rådgiver
1980-1990_rådgiver_380	2012-2019_rådgiver_7162	HelleBol	4		rådgiver
1980-1990_rådgiver_377	2012-2019_rådgiver_13203	HelleBol	4		rådgiver
1980-1990_rådgiver_380	1980-1990_rådgiver_459	HelleBol	4		rådgiver
1980-1990_rådgiver_127	1980-1990_rådgiver_249	HelleBol	4		rådgiver
1980-1990_rådgiver_380	1980-1990_rådgiver_544	HelleBol	4		rådgiver
1980-1990_rådgiver_127	1980-1990_rådgiver_244	HelleBol	4		rådgiver
1980-1990_rådgiver_176	2012-2019_rådgiver_611	HelleBol	4		rådgiver
1980-1990_rådgiver_377	2012-2019_rådgiver_13483	HelleBol	4		rådgiver
1980-1990_rådgiver_377	2012-2019_rådgiver_3079	HelleBol	4		rådgiver
1980-1990_rådgiver_459	2012-2019_rådgiver_611	HelleBol	4		rådgiver
2012-2019_rådgiver_14748	2012-2019_rådgiver_611	HelleBol	4		rådgiver
1980-1990_rådgiver_550	2012-2019_rådgiver_6379	HelleBol	4		rådgiver
1980-1990_rådgiver_459	1980-1990_rådgiver_550	HelleBol	4		rådgiver
1980-1990_rådgiver_377	1980-1990_rådgiver_550	HelleBol	4		rådgiver
1980-1990_rådgiver_544	1980-1990_rådgiver_550	HelleBol	4		rådgiver
