identifier1	identifier2	annotator	judgment	comment	lemma
1980-1990_side_6962	2012-2019_side_105689	HelleBol	4		side
1980-1990_side_10680	1980-1990_side_18447	HelleBol	4		side
2012-2019_side_83577	2012-2019_side_93735	HelleBol	2		side
1980-1990_side_17317	2012-2019_side_83577	HelleBol	2		side
1980-1990_side_696	2012-2019_side_78721	HelleBol	2		side
1980-1990_side_18447	2012-2019_side_78721	HelleBol	2		side
1980-1990_side_14943	2012-2019_side_83577	HelleBol	4		side
2012-2019_side_51919	2012-2019_side_83577	HelleBol	2		side
1980-1990_side_13395	2012-2019_side_93735	HelleBol	3		side
2012-2019_side_78721	2012-2019_side_93735	HelleBol	2		side
1980-1990_side_18447	2012-2019_side_97621	HelleBol	4		side
1980-1990_side_14976	2012-2019_side_83577	HelleBol	4		side
1980-1990_side_14976	2012-2019_side_97621	HelleBol	4		side
1980-1990_side_6962	2012-2019_side_78721	HelleBol	2		side
1980-1990_side_696	2012-2019_side_97621	HelleBol	2		side
1980-1990_side_499	2012-2019_side_97621	HelleBol	4		side
1980-1990_side_5158	2012-2019_side_93735	HelleBol	3		side
1980-1990_side_13395	1980-1990_side_5158	HelleBol	4		side
1980-1990_side_14943	2012-2019_side_78721	HelleBol	2		side
1980-1990_side_13395	1980-1990_side_17317	HelleBol	2		side
1980-1990_side_14943	2012-2019_side_147294	HelleBol	4		side
2012-2019_side_55086	2012-2019_side_76000	HelleBol	4		side
1980-1990_side_17317	2012-2019_side_51919	HelleBol	2		side
2012-2019_side_105689	2012-2019_side_83577	HelleBol	4		side
1980-1990_side_18447	2012-2019_side_112787	HelleBol	4		side
2012-2019_side_83577	2012-2019_side_97621	HelleBol	4		side
1980-1990_side_14976	1980-1990_side_17317	HelleBol	2		side
1980-1990_side_18447	2012-2019_side_147294	HelleBol	4		side
2012-2019_side_147294	2012-2019_side_76000	HelleBol	4		side
2012-2019_side_105689	2012-2019_side_93735	HelleBol	3		side
1980-1990_side_5158	2012-2019_side_76000	HelleBol	4		side
2012-2019_side_55086	2012-2019_side_93735	HelleBol	2		side
1980-1990_side_5158	2012-2019_side_83577	HelleBol	4		side
1980-1990_side_17317	1980-1990_side_5158	HelleBol	2		side
1980-1990_side_14976	2012-2019_side_68890	HelleBol	4		side
2012-2019_side_93735	2012-2019_side_97621	HelleBol	3		side
2012-2019_side_112787	2012-2019_side_97621	HelleBol	4		side
1980-1990_side_17317	2012-2019_side_147294	HelleBol	2		side
1980-1990_side_696	2012-2019_side_112787	HelleBol	2		side
1980-1990_side_16671	2012-2019_side_112787	HelleBol	0		side
1980-1990_side_13395	1980-1990_side_16671	HelleBol	2		side
2012-2019_side_78721	2012-2019_side_97621	HelleBol	2		side
1980-1990_side_696	2012-2019_side_147294	HelleBol	2		side
2012-2019_side_112787	2012-2019_side_76000	HelleBol	4		side
1980-1990_side_16671	1980-1990_side_18447	HelleBol	2		side
1980-1990_side_16671	2012-2019_side_97621	HelleBol	2		side
1980-1990_side_16671	2012-2019_side_55086	HelleBol	2		side
1980-1990_side_16671	1980-1990_side_5158	HelleBol	2		side
1980-1990_side_16671	2012-2019_side_78721	HelleBol	0		side
1980-1990_side_16671	2012-2019_side_76000	HelleBol	2		side
1980-1990_side_696	1980-1990_side_6962	HelleBol	2		side
1980-1990_side_17317	1980-1990_side_18447	HelleBol	2		side
2012-2019_side_147294	2012-2019_side_51919	HelleBol	2		side
2012-2019_side_147294	2012-2019_side_93735	HelleBol	2		side
1980-1990_side_499	2012-2019_side_93735	HelleBol	2		side
1980-1990_side_18447	2012-2019_side_93735	HelleBol	2		side
1980-1990_side_14943	2012-2019_side_68890	HelleBol	4		side
1980-1990_side_16671	2012-2019_side_93735	HelleBol	2		side
2012-2019_side_68890	2012-2019_side_76000	HelleBol	4		side
2012-2019_side_68890	2012-2019_side_93735	HelleBol	3		side
1980-1990_side_5158	2012-2019_side_112787	HelleBol	4		side
1980-1990_side_499	2012-2019_side_68890	HelleBol	4		side
2012-2019_side_105689	2012-2019_side_55086	HelleBol	4		side
2012-2019_side_112787	2012-2019_side_78721	HelleBol	2		side
1980-1990_side_5158	2012-2019_side_68890	HelleBol	4		side
2012-2019_side_147294	2012-2019_side_55086	HelleBol	4		side
2012-2019_side_147294	2012-2019_side_68890	HelleBol	4		side
1980-1990_side_13395	2012-2019_side_147294	HelleBol	4		side
2012-2019_side_68890	2012-2019_side_78721	HelleBol	2		side
1980-1990_side_13395	1980-1990_side_14943	HelleBol	4		side
1980-1990_side_14976	1980-1990_side_696	HelleBol	2		side
1980-1990_side_17317	2012-2019_side_78721	HelleBol	4		side
1980-1990_side_14943	1980-1990_side_17317	HelleBol	2		side
1980-1990_side_10680	2012-2019_side_105689	HelleBol	4		side
1980-1990_side_499	2012-2019_side_55086	HelleBol	4		side
1980-1990_side_10680	1980-1990_side_16671	HelleBol	0		side
1980-1990_side_14943	1980-1990_side_499	HelleBol	4		side
1980-1990_side_14943	2012-2019_side_76000	HelleBol	4		side
1980-1990_side_13395	1980-1990_side_14976	HelleBol	4		side
1980-1990_side_499	2012-2019_side_83577	HelleBol	4		side
1980-1990_side_16671	1980-1990_side_696	HelleBol	3		side
1980-1990_side_14976	2012-2019_side_76000	HelleBol	4		side
1980-1990_side_10680	1980-1990_side_696	HelleBol	2		side
1980-1990_side_696	2012-2019_side_76000	HelleBol	2		side
1980-1990_side_17317	2012-2019_side_76000	HelleBol	2		side
1980-1990_side_5158	2012-2019_side_105689	HelleBol	4		side
1980-1990_side_18447	1980-1990_side_499	HelleBol	4		side
2012-2019_side_76000	2012-2019_side_93735	HelleBol	2		side
2012-2019_side_105689	2012-2019_side_78721	HelleBol	2		side
1980-1990_side_18447	1980-1990_side_696	HelleBol	2		side
2012-2019_side_51919	2012-2019_side_55086	HelleBol	2		side
2012-2019_side_105689	2012-2019_side_147294	HelleBol	4		side
1980-1990_side_696	2012-2019_side_68890	HelleBol	2		side
1980-1990_side_499	2012-2019_side_51919	HelleBol	2		side
1980-1990_side_14976	2012-2019_side_55086	HelleBol	4		side
2012-2019_side_51919	2012-2019_side_97621	HelleBol	2		side
1980-1990_side_6962	2012-2019_side_55086	HelleBol	4		side
2012-2019_side_55086	2012-2019_side_97621	HelleBol	4		side
2012-2019_side_51919	2012-2019_side_93735	HelleBol	3		side
1980-1990_side_10680	1980-1990_side_17317	HelleBol	2		side
1980-1990_side_10680	2012-2019_side_93735	HelleBol	3		side
1980-1990_side_10680	2012-2019_side_68890	HelleBol	4		side
1980-1990_side_18447	2012-2019_side_51919	HelleBol	2		side
1980-1990_side_13395	2012-2019_side_105689	HelleBol	4		side
2012-2019_side_51919	2012-2019_side_76000	HelleBol	2		side
1980-1990_side_16671	1980-1990_side_6962	HelleBol	2		side
1980-1990_side_5158	1980-1990_side_6962	HelleBol	4		side
1980-1990_side_13395	1980-1990_side_18447	HelleBol	4		side
1980-1990_side_13395	2012-2019_side_76000	HelleBol	4		side
1980-1990_side_6962	2012-2019_side_68890	HelleBol	4		side
1980-1990_side_6962	2012-2019_side_147294	HelleBol	4		side
1980-1990_side_13395	1980-1990_side_499	HelleBol	4		side
1980-1990_side_10680	1980-1990_side_499	HelleBol	4		side
1980-1990_side_499	2012-2019_side_147294	HelleBol	4		side
1980-1990_side_13395	2012-2019_side_97621	HelleBol	4		side
1980-1990_side_696	2012-2019_side_97621	alexandra_w	4		side
2012-2019_side_51919	2012-2019_side_68890	alexandra_w	4		side
2012-2019_side_51919	2012-2019_side_97621	alexandra_w	4		side
2012-2019_side_105689	2012-2019_side_51919	alexandra_w	4		side
2012-2019_side_51919	2012-2019_side_55086	alexandra_w	4		side
1980-1990_side_499	2012-2019_side_55086	alexandra_w	4		side
1980-1990_side_17317	2012-2019_side_112787	alexandra_w	2		side
2012-2019_side_112787	2012-2019_side_97621	alexandra_w	4		side
1980-1990_side_17317	2012-2019_side_76000	alexandra_w	2		side
1980-1990_side_6962	2012-2019_side_105689	alexandra_w	4		side
2012-2019_side_147294	2012-2019_side_51919	alexandra_w	4		side
1980-1990_side_499	1980-1990_side_5158	alexandra_w	4		side
1980-1990_side_10680	2012-2019_side_112787	alexandra_w	4		side
1980-1990_side_13395	2012-2019_side_51919	alexandra_w	2		side
2012-2019_side_112787	2012-2019_side_76000	alexandra_w	4		side
1980-1990_side_17317	1980-1990_side_499	alexandra_w	2		side
2012-2019_side_105689	2012-2019_side_68890	alexandra_w	4		side
1980-1990_side_17317	2012-2019_side_78721	alexandra_w	4		side
2012-2019_side_112787	2012-2019_side_147294	alexandra_w	4		side
2012-2019_side_112787	2012-2019_side_51919	alexandra_w	4		side
1980-1990_side_6962	2012-2019_side_51919	alexandra_w	4		side
1980-1990_side_5158	2012-2019_side_78721	alexandra_w	2		side
1980-1990_side_17317	2012-2019_side_68890	alexandra_w	2		side
1980-1990_side_696	2012-2019_side_78721	alexandra_w	2		side
1980-1990_side_13395	1980-1990_side_17317	alexandra_w	4		side
1980-1990_side_16671	1980-1990_side_696	alexandra_w	4		side
1980-1990_side_13395	1980-1990_side_696	alexandra_w	4		side
1980-1990_side_17317	2012-2019_side_93735	alexandra_w	2		side
2012-2019_side_112787	2012-2019_side_83577	alexandra_w	4		side
1980-1990_side_17317	2012-2019_side_147294	alexandra_w	2		side
1980-1990_side_16671	2012-2019_side_68890	alexandra_w	4		side
1980-1990_side_18447	2012-2019_side_83577	alexandra_w	4		side
1980-1990_side_499	1980-1990_side_6962	alexandra_w	4		side
1980-1990_side_18447	2012-2019_side_147294	alexandra_w	4		side
1980-1990_side_6962	2012-2019_side_83577	alexandra_w	4		side
1980-1990_side_18447	1980-1990_side_499	alexandra_w	4		side
1980-1990_side_14943	1980-1990_side_5158	alexandra_w	4		side
1980-1990_side_5158	2012-2019_side_51919	alexandra_w	4		side
2012-2019_side_76000	2012-2019_side_83577	alexandra_w	4		side
1980-1990_side_10680	1980-1990_side_499	alexandra_w	4		side
1980-1990_side_13395	2012-2019_side_83577	alexandra_w	4		side
1980-1990_side_499	2012-2019_side_112787	alexandra_w	4		side
1980-1990_side_696	2012-2019_side_83577	alexandra_w	4		side
