lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
side	NN	2012	2012-2019	2012-2019_side_78721		-Nå er vi der at obligasjoner i Farstad og Solstad handles overraskende lavt. Man skvetter litt når man ser det, sier kredittanalytiker Knut Vidjeland i Fondsfinans (FA side 14) JAKTER PÅ NYE LÅNTAGERE ETTER OLJEFALL. Eksportkreditt opplevde et fall på 42 prosent i søknadsvolumet fra oljenaeringen, og forsøker å kompensere fallet i fornybarbransjen og SMB-sektoren (FA side 20) SER «FANTASTISKE» MULIGHETER I RUSSLAND.	169:173	0:419	15101	nor_dia_change_subset2	no	andrey
side	NN	2012	2012-2019	2012-2019_side_93735		Fra 1998 til utgangen av 2001 hadde jeg en 20%-stilling som daglig leder, ved siden av mitt heltidsarbeid som professor og faggruppeleder ved UiT. Fra 2002 ble det opprettet en separat administrerende direktør-stilling.	78:83	0:219	15105	nor_dia_change_subset2	no	andrey
side	NN	2012	2012-2019	2012-2019_side_97621		Ifølge dommerne var det ingen tvil om French var skyldig. I dommen står det at dommerne mener at French planla å drepe Moland. Vil trolig anke Aktor Homère Nkulu hadde lagt ned påstand om livsvarig fengsel for nordmannen, og dommerne tok denne påstanden til følge. Frenchs forsvarere hadde på sin side lagt ned påstand om at nordmannen frikjennes for drapet.	297:301	0:358	15111	nor_dia_change_subset2	no	andrey
side	NN	1980	1980-1990	1980-1990_side_16671		Men hva for en gjennomtrekk i Angelicas eget vaerelse! Gardinet i krumning som et spent seil — og der ved siden - tydeligere etter hvert ned i rosenhekken grep Angelica, merket ikke hvor tornene rev hendene til blods! Men forsvunnet var synet. Bare gardinet flakset vilt ut av vinduet, som om noen skulle ha revet det løs fra holderen - for å vifte med det. Og virkelig hadde Angelica sett ham, Otto Kefas, med disse egne øyne, sett, hvordan han der innenfra mørket, bredskuldret, sortkledd, hadde bøyd seg ut av vinduet foran det hvite gardin, inntil han hadde funnet støtte for hendene på gesimsen under - sett rett frem og ned, blåst munn og kinn en smule ut, som om han pustet fra seg noe.	105:110	0:692	15113	nor_dia_change_subset2	no	andrey
side	NN	2012	2012-2019	2012-2019_side_147294		Holden sa tirsdag er sikre på at det er den samme motparten de har kommunisert med fra 27. januar og til og med 8. juli. Brøske mener på sin side det er for tidlig å konkludere med tanke på dette. Han ønsker heller ikke å problematisere at bistandsadvokaten og familien har et svaert forskjellig syn på situasjonen man står overfor. Brøske understreker at de har stor respekt for at familien oppfatter den nye henvendelsen som et tegn på at Anne-Elisabeth Hagen er i live.	141:145	0:471	15120	nor_dia_change_subset2	no	andrey
side	NN	2012	2012-2019	2012-2019_side_76000		Ifølge USA Today ville Trump tape med 34 prosent mot Clintons 51 prosent, mens Bush ville klare seg langt bedre med 42 prosent mot 46 for Clinton. AP Photo/Jeff Roberson Målingene viser også at Trump er den mest kjente av alle de republikanske kandidatene — bare 2 prosent har aldri hørt om ham, men på den annen side er mislikt av hele 61 prosent av velgerne. Ut mot Mexico Etter at han for noen uker siden lanserte kandidaturet sitt, har Trump skapt overskrifter med sterkt nedlatende kommentarer om Mexico og mexicanske innvandrere.	313:317	0:535	15109	nor_dia_change_subset2	no	andrey
side	NN	1980	1980-1990	1980-1990_side_10680		Utvalget har gjennom Statistisk Sentralbyrå fått gjennomført en større intervjuundersøkelse om ulike sider ved de yrkesaktives arbeidstid og befolkningens holdninger til arbeidstidsreformer	101:106	0:189	15102	nor_dia_change_subset2	no	andrey
side	NN	2012	2012-2019	2012-2019_side_83577		Volvo på sin side bygde etter hvert et eget støperi for å lage bremseskiver etter oppskriften vår.	13:17	0:98	15108	nor_dia_change_subset2	no	andrey
side	NN	1980	1980-1990	1980-1990_side_18447		Fra finsk side forestilte man seg videre at en avtale skulle inneholde unntaksbestemmelser vedrørende tidsbegrensning, en forutsetning om prøvestansavtale, at avtalen kunne sies opp i tilfelle krig eller trusel om krig, samt at den måtte bygge på tilfredsstillende kontrollordninger.	10:14	0:283	15110	nor_dia_change_subset2	no	andrey
side	NN	1980	1980-1990	1980-1990_side_5158		En slik utredning vil kunne gi bedre oversikt over både hvilke betingelser som må vaere oppfylt for at tilsynssystemer basert på internkontroll skal virke etter sin hensikt, og de mulige svake sider ved internkontroll.	192:197	0:217	15103	nor_dia_change_subset2	no	andrey
