identifier1	identifier2	annotator	judgment	comment	lemma
1980-1990_sky_72	1980-1990_sky_86	HelleBol	0		sky
1980-1990_sky_64	1980-1990_sky_69	HelleBol	4		sky
1980-1990_sky_69	2012-2019_sky_277	HelleBol	4		sky
1980-1990_sky_20	1980-1990_sky_72	HelleBol	4		sky
1980-1990_sky_69	2012-2019_sky_3373	HelleBol	4		sky
2012-2019_sky_1025	2012-2019_sky_277	HelleBol	4		sky
1980-1990_sky_69	2012-2019_sky_1479	HelleBol	4		sky
1980-1990_sky_86	2012-2019_sky_499	HelleBol	0		sky
1980-1990_sky_86	2012-2019_sky_3373	HelleBol	0		sky
1980-1990_sky_113	1980-1990_sky_86	HelleBol	0		sky
1980-1990_sky_81	2012-2019_sky_1025	HelleBol	4		sky
1980-1990_sky_64	2012-2019_sky_277	HelleBol	4		sky
1980-1990_sky_95	2012-2019_sky_277	HelleBol	3		sky
2012-2019_sky_277	2012-2019_sky_3373	HelleBol	4		sky
2012-2019_sky_1025	2012-2019_sky_1508	HelleBol	4		sky
2012-2019_sky_271	2012-2019_sky_277	HelleBol	0		sky
1980-1990_sky_86	2012-2019_sky_2503	HelleBol	0		sky
1980-1990_sky_86	2012-2019_sky_4362	HelleBol	0		sky
1980-1990_sky_20	1980-1990_sky_69	HelleBol	4		sky
1980-1990_sky_113	1980-1990_sky_20	HelleBol	2		sky
1980-1990_sky_20	1980-1990_sky_86	HelleBol	0		sky
1980-1990_sky_59	2012-2019_sky_4546	HelleBol	0		sky
1980-1990_sky_112	1980-1990_sky_20	HelleBol	4		sky
2012-2019_sky_1025	2012-2019_sky_4546	HelleBol	4		sky
1980-1990_sky_10	1980-1990_sky_69	HelleBol	3		sky
2012-2019_sky_3373	2012-2019_sky_4546	HelleBol	4		sky
1980-1990_sky_81	2012-2019_sky_4362	HelleBol	4		sky
1980-1990_sky_81	2012-2019_sky_4546	HelleBol	4		sky
1980-1990_sky_72	2012-2019_sky_1508	HelleBol	4		sky
1980-1990_sky_86	2012-2019_sky_519	HelleBol	0		sky
1980-1990_sky_86	2012-2019_sky_277	HelleBol	0		sky
1980-1990_sky_72	2012-2019_sky_4362	HelleBol	4		sky
2012-2019_sky_271	2012-2019_sky_3373	HelleBol	0		sky
1980-1990_sky_72	2012-2019_sky_271	HelleBol	0		sky
1980-1990_sky_59	1980-1990_sky_69	HelleBol	0		sky
1980-1990_sky_69	2012-2019_sky_1025	HelleBol	4		sky
1980-1990_sky_81	2012-2019_sky_271	HelleBol	0		sky
2012-2019_sky_2503	2012-2019_sky_271	HelleBol	0		sky
2012-2019_sky_1025	2012-2019_sky_4362	HelleBol	4		sky
1980-1990_sky_86	2012-2019_sky_271	HelleBol	0		sky
2012-2019_sky_1479	2012-2019_sky_277	HelleBol	4		sky
2012-2019_sky_2503	2012-2019_sky_4362	HelleBol	4		sky
2012-2019_sky_1479	2012-2019_sky_271	HelleBol	0		sky
2012-2019_sky_1479	2012-2019_sky_1508	HelleBol	4		sky
1980-1990_sky_10	2012-2019_sky_1479	HelleBol	3		sky
2012-2019_sky_1479	2012-2019_sky_519	HelleBol	4		sky
1980-1990_sky_20	2012-2019_sky_2503	HelleBol	4		sky
2012-2019_sky_2503	2012-2019_sky_519	HelleBol	4		sky
1980-1990_sky_69	2012-2019_sky_271	HelleBol	0		sky
2012-2019_sky_271	2012-2019_sky_4362	HelleBol	0		sky
1980-1990_sky_59	2012-2019_sky_271	HelleBol	0		sky
1980-1990_sky_20	2012-2019_sky_1025	HelleBol	4		sky
1980-1990_sky_81	2012-2019_sky_1508	HelleBol	4		sky
1980-1990_sky_10	1980-1990_sky_86	HelleBol	0		sky
1980-1990_sky_112	2012-2019_sky_271	HelleBol	0		sky
1980-1990_sky_112	2012-2019_sky_1508	HelleBol	4		sky
1980-1990_sky_86	2012-2019_sky_1025	HelleBol	0		sky
1980-1990_sky_112	1980-1990_sky_86	HelleBol	0		sky
1980-1990_sky_112	1980-1990_sky_69	HelleBol	4		sky
2012-2019_sky_2503	2012-2019_sky_499	HelleBol	4		sky
1980-1990_sky_59	2012-2019_sky_3373	HelleBol	0		sky
1980-1990_sky_95	2012-2019_sky_2503	HelleBol	3		sky
2012-2019_sky_2503	2012-2019_sky_4546	HelleBol	4		sky
2012-2019_sky_1025	2012-2019_sky_2503	HelleBol	4		sky
1980-1990_sky_10	2012-2019_sky_3373	HelleBol	3		sky
1980-1990_sky_10	2012-2019_sky_499	HelleBol	3		sky
1980-1990_sky_72	2012-2019_sky_3373	HelleBol	4		sky
1980-1990_sky_10	1980-1990_sky_20	HelleBol	3		sky
1980-1990_sky_10	2012-2019_sky_2503	HelleBol	3		sky
1980-1990_sky_20	2012-2019_sky_1479	HelleBol	4		sky
1980-1990_sky_64	2012-2019_sky_4362	HelleBol	4		sky
1980-1990_sky_113	2012-2019_sky_2503	HelleBol	2		sky
1980-1990_sky_59	2012-2019_sky_519	HelleBol	0		sky
1980-1990_sky_112	2012-2019_sky_4546	HelleBol	4		sky
