identifier1	identifier2	annotator	judgment	comment	lemma
1980-1990_storby_135	2012-2019_storby_1740	HelleBol	4		storby
1980-1990_storby_135	1980-1990_storby_219	HelleBol	4		storby
1980-1990_storby_135	2012-2019_storby_4643	HelleBol	4		storby
1980-1990_storby_72	2012-2019_storby_7147	HelleBol	4		storby
1980-1990_storby_207	2012-2019_storby_1740	HelleBol	4		storby
1980-1990_storby_221	2012-2019_storby_2765	HelleBol	4		storby
2012-2019_storby_6094	2012-2019_storby_7147	HelleBol	4		storby
1980-1990_storby_4	2012-2019_storby_7147	HelleBol	4		storby
1980-1990_storby_221	1980-1990_storby_61	HelleBol	4		storby
2012-2019_storby_414	2012-2019_storby_7147	HelleBol	4		storby
1980-1990_storby_131	2012-2019_storby_7147	HelleBol	4		storby
1980-1990_storby_226	2012-2019_storby_7147	HelleBol	4		storby
1980-1990_storby_122	1980-1990_storby_226	HelleBol	4		storby
1980-1990_storby_219	2012-2019_storby_7147	HelleBol	4		storby
1980-1990_storby_226	2012-2019_storby_414	HelleBol	4		storby
1980-1990_storby_131	2012-2019_storby_2556	HelleBol	4		storby
1980-1990_storby_157	2012-2019_storby_7147	HelleBol	4		storby
1980-1990_storby_219	1980-1990_storby_226	HelleBol	4		storby
1980-1990_storby_226	2012-2019_storby_6094	HelleBol	4		storby
1980-1990_storby_207	1980-1990_storby_226	HelleBol	4		storby
1980-1990_storby_4	2012-2019_storby_2765	HelleBol	4		storby
2012-2019_storby_4643	2012-2019_storby_7147	HelleBol	4		storby
2012-2019_storby_1409	2012-2019_storby_7147	HelleBol	4		storby
1980-1990_storby_135	2012-2019_storby_775	HelleBol	4		storby
1980-1990_storby_219	1980-1990_storby_72	HelleBol	4		storby
1980-1990_storby_122	1980-1990_storby_135	HelleBol	4		storby
1980-1990_storby_122	2012-2019_storby_414	HelleBol	4		storby
2012-2019_storby_2765	2012-2019_storby_775	HelleBol	4		storby
1980-1990_storby_122	1980-1990_storby_4	HelleBol	4		storby
1980-1990_storby_122	2012-2019_storby_6094	HelleBol	4		storby
1980-1990_storby_61	1980-1990_storby_72	HelleBol	4		storby
1980-1990_storby_219	2012-2019_storby_2765	HelleBol	4		storby
2012-2019_storby_1423	2012-2019_storby_775	HelleBol	4		storby
1980-1990_storby_131	1980-1990_storby_135	HelleBol	4		storby
1980-1990_storby_131	1980-1990_storby_72	HelleBol	4		storby
2012-2019_storby_414	2012-2019_storby_4643	HelleBol	4		storby
2012-2019_storby_1882	2012-2019_storby_414	HelleBol	4		storby
1980-1990_storby_219	1980-1990_storby_221	HelleBol	4		storby
1980-1990_storby_72	2012-2019_storby_414	HelleBol	4		storby
1980-1990_storby_221	1980-1990_storby_4	HelleBol	4		storby
2012-2019_storby_414	2012-2019_storby_775	HelleBol	4		storby
1980-1990_storby_219	2012-2019_storby_414	HelleBol	4		storby
2012-2019_storby_2556	2012-2019_storby_414	HelleBol	4		storby
1980-1990_storby_4	2012-2019_storby_1882	HelleBol	4		storby
1980-1990_storby_226	2012-2019_storby_1409	HelleBol	4		storby
1980-1990_storby_135	1980-1990_storby_72	HelleBol	4		storby
1980-1990_storby_72	2012-2019_storby_1423	HelleBol	4		storby
2012-2019_storby_1409	2012-2019_storby_1740	HelleBol	4		storby
1980-1990_storby_122	2012-2019_storby_1409	HelleBol	4		storby
1980-1990_storby_207	1980-1990_storby_4	HelleBol	4		storby
1980-1990_storby_131	2012-2019_storby_1409	HelleBol	4		storby
1980-1990_storby_135	2012-2019_storby_1409	HelleBol	4		storby
1980-1990_storby_219	2012-2019_storby_1882	HelleBol	4		storby
1980-1990_storby_157	2012-2019_storby_1882	HelleBol	4		storby
1980-1990_storby_135	1980-1990_storby_226	HelleBol	4		storby
2012-2019_storby_1740	2012-2019_storby_1882	HelleBol	4		storby
1980-1990_storby_4	1980-1990_storby_72	HelleBol	4		storby
1980-1990_storby_221	2012-2019_storby_414	HelleBol	4		storby
2012-2019_storby_2765	2012-2019_storby_7147	HelleBol	4		storby
1980-1990_storby_131	1980-1990_storby_4	HelleBol	4		storby
1980-1990_storby_72	2012-2019_storby_2765	HelleBol	4		storby
1980-1990_storby_131	1980-1990_storby_207	HelleBol	4		storby
1980-1990_storby_207	2012-2019_storby_2556	HelleBol	4		storby
1980-1990_storby_131	1980-1990_storby_221	HelleBol	4		storby
1980-1990_storby_207	2012-2019_storby_414	HelleBol	4		storby
1980-1990_storby_72	2012-2019_storby_4643	HelleBol	4		storby
1980-1990_storby_61	2012-2019_storby_2765	HelleBol	4		storby
1980-1990_storby_122	2012-2019_storby_7147	HelleBol	4		storby
1980-1990_storby_207	2012-2019_storby_775	HelleBol	4		storby
1980-1990_storby_131	2012-2019_storby_775	HelleBol	4		storby
2012-2019_storby_7147	2012-2019_storby_775	HelleBol	4		storby
2012-2019_storby_1882	2012-2019_storby_6094	HelleBol	4		storby
1980-1990_storby_61	2012-2019_storby_6094	HelleBol	4		storby
2012-2019_storby_1740	2012-2019_storby_6094	HelleBol	4		storby
2012-2019_storby_1409	2012-2019_storby_414	HelleBol	4		storby
1980-1990_storby_207	2012-2019_storby_6094	HelleBol	4		storby
1980-1990_storby_72	2012-2019_storby_1409	HelleBol	4		storby
2012-2019_storby_6094	2012-2019_storby_775	HelleBol	4		storby
2012-2019_storby_4643	2012-2019_storby_6094	HelleBol	4		storby
1980-1990_storby_157	2012-2019_storby_6094	HelleBol	4		storby
1980-1990_storby_61	2012-2019_storby_4643	HelleBol	4		storby
2012-2019_storby_1409	2012-2019_storby_4643	HelleBol	4		storby
1980-1990_storby_221	2012-2019_storby_6094	HelleBol	4		storby
1980-1990_storby_122	2012-2019_storby_1740	HelleBol	4		storby
1980-1990_storby_221	2012-2019_storby_1740	HelleBol	4		storby
1980-1990_storby_4	2012-2019_storby_4643	HelleBol	4		storby
1980-1990_storby_157	1980-1990_storby_4	HelleBol	4		storby
1980-1990_storby_157	2012-2019_storby_2765	HelleBol	4		storby
1980-1990_storby_157	1980-1990_storby_221	HelleBol	4		storby
1980-1990_storby_4	2012-2019_storby_1423	HelleBol	4		storby
1980-1990_storby_157	1980-1990_storby_61	HelleBol	4		storby
2012-2019_storby_1423	2012-2019_storby_7147	HelleBol	4		storby
1980-1990_storby_219	2012-2019_storby_2556	HelleBol	4		storby
