identifier1	identifier2	annotator	judgment	comment	lemma
1980-1990_strøm_391	2012-2019_strøm_20436	HelleBol	2		strøm
2012-2019_strøm_20436	2012-2019_strøm_8465	HelleBol	4		strøm
1980-1990_strøm_25	1980-1990_strøm_492	HelleBol	4		strøm
1980-1990_strøm_391	2012-2019_strøm_8465	HelleBol	2		strøm
2012-2019_strøm_1459	2012-2019_strøm_8465	HelleBol	4		strøm
1980-1990_strøm_586	2012-2019_strøm_1835	HelleBol	1		strøm
2012-2019_strøm_1835	2012-2019_strøm_4108	HelleBol	1		strøm
2012-2019_strøm_10560	2012-2019_strøm_4108	HelleBol	2		strøm
1980-1990_strøm_391	2012-2019_strøm_10560	HelleBol	4		strøm
1980-1990_strøm_92	2012-2019_strøm_8465	HelleBol	2		strøm
1980-1990_strøm_492	2012-2019_strøm_20436	HelleBol	2		strøm
1980-1990_strøm_391	2012-2019_strøm_9010	HelleBol	2		strøm
1980-1990_strøm_277	1980-1990_strøm_85	HelleBol	2		strøm
2012-2019_strøm_124	2012-2019_strøm_4108	HelleBol	4		strøm
2012-2019_strøm_4108	2012-2019_strøm_8465	HelleBol	4		strøm
2012-2019_strøm_1459	2012-2019_strøm_1835	HelleBol	1		strøm
2012-2019_strøm_15696	2012-2019_strøm_4108	HelleBol	2		strøm
1980-1990_strøm_586	2012-2019_strøm_15696	HelleBol	4		strøm
1980-1990_strøm_25	1980-1990_strøm_391	HelleBol	2		strøm
1980-1990_strøm_218	2012-2019_strøm_17341	HelleBol	4		strøm
1980-1990_strøm_25	2012-2019_strøm_10560	HelleBol	2		strøm
1980-1990_strøm_170	1980-1990_strøm_473	HelleBol	2		strøm
1980-1990_strøm_492	2012-2019_strøm_1835	HelleBol	1		strøm
1980-1990_strøm_85	1980-1990_strøm_92	HelleBol	4		strøm
1980-1990_strøm_92	2012-2019_strøm_124	HelleBol	2		strøm
1980-1990_strøm_492	2012-2019_strøm_10560	HelleBol	2		strøm
1980-1990_strøm_492	1980-1990_strøm_92	HelleBol	2		strøm
2012-2019_strøm_10560	2012-2019_strøm_124	HelleBol	2		strøm
1980-1990_strøm_170	1980-1990_strøm_92	HelleBol	2		strøm
1980-1990_strøm_492	2012-2019_strøm_5988	HelleBol	2		strøm
1980-1990_strøm_277	2012-2019_strøm_1835	HelleBol	1		strøm
2012-2019_strøm_1835	2012-2019_strøm_8465	HelleBol	1		strøm
1980-1990_strøm_92	2012-2019_strøm_1835	HelleBol	1		strøm
2012-2019_strøm_15696	2012-2019_strøm_9010	HelleBol	2		strøm
1980-1990_strøm_277	1980-1990_strøm_492	HelleBol	4		strøm
1980-1990_strøm_129	2012-2019_strøm_1459	HelleBol	2		strøm
2012-2019_strøm_1459	2012-2019_strøm_15696	HelleBol	2		strøm
1980-1990_strøm_129	1980-1990_strøm_492	HelleBol	2		strøm
1980-1990_strøm_129	1980-1990_strøm_170	HelleBol	2		strøm
1980-1990_strøm_129	1980-1990_strøm_85	HelleBol	4		strøm
1980-1990_strøm_391	2012-2019_strøm_124	HelleBol	2		strøm
1980-1990_strøm_218	2012-2019_strøm_124	HelleBol	4		strøm
1980-1990_strøm_391	2012-2019_strøm_5988	HelleBol	2		strøm
2012-2019_strøm_10560	2012-2019_strøm_17341	HelleBol	2		strøm
1980-1990_strøm_170	2012-2019_strøm_124	HelleBol	4		strøm
1980-1990_strøm_492	2012-2019_strøm_124	HelleBol	2		strøm
1980-1990_strøm_277	1980-1990_strøm_391	HelleBol	2		strøm
1980-1990_strøm_391	2012-2019_strøm_1835	HelleBol	1		strøm
1980-1990_strøm_277	2012-2019_strøm_9010	HelleBol	2		strøm
1980-1990_strøm_218	1980-1990_strøm_85	HelleBol	2		strøm
1980-1990_strøm_129	2012-2019_strøm_8465	HelleBol	2		strøm
1980-1990_strøm_129	1980-1990_strøm_391	HelleBol	4		strøm
2012-2019_strøm_17341	2012-2019_strøm_20436	HelleBol	4		strøm
2012-2019_strøm_1459	2012-2019_strøm_17341	HelleBol	4		strøm
1980-1990_strøm_129	2012-2019_strøm_20436	HelleBol	2		strøm
1980-1990_strøm_277	2012-2019_strøm_17341	HelleBol	2		strøm
1980-1990_strøm_218	2012-2019_strøm_9010	HelleBol	4		strøm
1980-1990_strøm_218	2012-2019_strøm_1459	HelleBol	4		strøm
1980-1990_strøm_492	2012-2019_strøm_1459	HelleBol	2		strøm
1980-1990_strøm_391	1980-1990_strøm_492	HelleBol	2		strøm
1980-1990_strøm_25	2012-2019_strøm_9010	HelleBol	2		strøm
2012-2019_strøm_8465	2012-2019_strøm_9010	HelleBol	4		strøm
1980-1990_strøm_492	2012-2019_strøm_17341	HelleBol	2		strøm
1980-1990_strøm_85	2012-2019_strøm_1459	HelleBol	2		strøm
1980-1990_strøm_170	1980-1990_strøm_492	HelleBol	2		strøm
1980-1990_strøm_391	2012-2019_strøm_4108	HelleBol	2		strøm
2012-2019_strøm_4108	2012-2019_strøm_9010	HelleBol	4		strøm
2012-2019_strøm_17341	2012-2019_strøm_4108	HelleBol	4		strøm
1980-1990_strøm_586	2012-2019_strøm_4108	HelleBol	2		strøm
2012-2019_strøm_1459	2012-2019_strøm_20436	HelleBol	4		strøm
2012-2019_strøm_17341	2012-2019_strøm_1835	HelleBol	1		strøm
1980-1990_strøm_277	2012-2019_strøm_10560	HelleBol	2		strøm
1980-1990_strøm_92	2012-2019_strøm_5988	HelleBol	2		strøm
1980-1990_strøm_92	2012-2019_strøm_4108	HelleBol	2		strøm
1980-1990_strøm_170	1980-1990_strøm_85	HelleBol	2		strøm
2012-2019_strøm_17341	2012-2019_strøm_5988	HelleBol	4		strøm
1980-1990_strøm_85	2012-2019_strøm_5988	HelleBol	2		strøm
1980-1990_strøm_85	2012-2019_strøm_9010	HelleBol	2		strøm
2012-2019_strøm_124	2012-2019_strøm_5988	HelleBol	4		strøm
1980-1990_strøm_92	2012-2019_strøm_15696	HelleBol	4		strøm
2012-2019_strøm_1835	2012-2019_strøm_5988	HelleBol	1		strøm
1980-1990_strøm_586	2012-2019_strøm_8465	HelleBol	2		strøm
1980-1990_strøm_170	1980-1990_strøm_391	HelleBol	2		strøm
1980-1990_strøm_492	1980-1990_strøm_586	HelleBol	2		strøm
2012-2019_strøm_5988	2012-2019_strøm_9010	HelleBol	4		strøm
2012-2019_strøm_4108	2012-2019_strøm_5988	HelleBol	4		strøm
1980-1990_strøm_277	1980-1990_strøm_473	HelleBol	2		strøm
1980-1990_strøm_473	2012-2019_strøm_4108	HelleBol	2		strøm
1980-1990_strøm_586	2012-2019_strøm_9010	HelleBol	2		strøm
1980-1990_strøm_473	2012-2019_strøm_15696	HelleBol	4		strøm
1980-1990_strøm_473	2012-2019_strøm_5988	HelleBol	2		strøm
1980-1990_strøm_170	1980-1990_strøm_586	HelleBol	2		strøm
1980-1990_strøm_218	2012-2019_strøm_20436	HelleBol	4		strøm
2012-2019_strøm_1835	2012-2019_strøm_20436	HelleBol	1		strøm
1980-1990_strøm_25	1980-1990_strøm_586	HelleBol	2		strøm
1980-1990_strøm_586	2012-2019_strøm_1459	HelleBol	2		strøm
2012-2019_strøm_124	2012-2019_strøm_20436	HelleBol	4		strøm
2012-2019_strøm_20436	2012-2019_strøm_9010	HelleBol	4		strøm
1980-1990_strøm_586	2012-2019_strøm_10560	HelleBol	4		strøm
1980-1990_strøm_92	2012-2019_strøm_20436	HelleBol	2		strøm
1980-1990_strøm_473	2012-2019_strøm_124	HelleBol	2		strøm
1980-1990_strøm_25	2012-2019_strøm_124	HelleBol	2		strøm
2012-2019_strøm_15696	2012-2019_strøm_20436	HelleBol	2		strøm
1980-1990_strøm_25	2012-2019_strøm_15696	HelleBol	2		strøm
2012-2019_strøm_20436	2012-2019_strøm_5988	HelleBol	4		strøm
1980-1990_strøm_473	1980-1990_strøm_85	HelleBol	4		strøm
1980-1990_strøm_25	2012-2019_strøm_20436	HelleBol	2		strøm
1980-1990_strøm_473	1980-1990_strøm_92	HelleBol	4		strøm
1980-1990_strøm_473	2012-2019_strøm_17341	HelleBol	2		strøm
1980-1990_strøm_277	2012-2019_strøm_15696	HelleBol	2		strøm
2012-2019_strøm_124	2012-2019_strøm_17341	HelleBol	4		strøm
1980-1990_strøm_218	1980-1990_strøm_92	HelleBol	2		strøm
1980-1990_strøm_170	2012-2019_strøm_1459	HelleBol	4		strøm
1980-1990_strøm_218	2012-2019_strøm_1835	HelleBol	1		strøm
1980-1990_strøm_218	2012-2019_strøm_5988	HelleBol	4		strøm
1980-1990_strøm_170	2012-2019_strøm_17341	HelleBol	4		strøm
1980-1990_strøm_218	1980-1990_strøm_492	HelleBol	2		strøm
1980-1990_strøm_85	2012-2019_strøm_17341	HelleBol	2		strøm
1980-1990_strøm_218	2012-2019_strøm_15696	HelleBol	2		strøm
1980-1990_strøm_218	1980-1990_strøm_25	HelleBol	2		strøm
2012-2019_strøm_17341	2012-2019_strøm_8465	HelleBol	4		strøm
1980-1990_strøm_25	2012-2019_strøm_1459	HelleBol	2		strøm
1980-1990_strøm_25	2012-2019_strøm_17341	HelleBol	2		strøm
1980-1990_strøm_129	2012-2019_strøm_10560	HelleBol	4		strøm
1980-1990_strøm_277	2012-2019_strøm_20436	HelleBol	2		strøm
