identifier1	identifier2	annotator	judgment	comment	lemma
1980-1990_særforbund_12	2012-2019_særforbund_707	HelleBol	4		særforbund
2012-2019_særforbund_1478	2012-2019_særforbund_707	HelleBol	4		særforbund
1980-1990_særforbund_0	2012-2019_særforbund_33	HelleBol	4		særforbund
1980-1990_særforbund_27	2012-2019_særforbund_1478	HelleBol	4		særforbund
1980-1990_særforbund_6	2012-2019_særforbund_219	HelleBol	4		særforbund
2012-2019_særforbund_219	2012-2019_særforbund_784	HelleBol	4		særforbund
1980-1990_særforbund_27	2012-2019_særforbund_219	HelleBol	4		særforbund
2012-2019_særforbund_784	2012-2019_særforbund_799	HelleBol	4		særforbund
1980-1990_særforbund_27	2012-2019_særforbund_951	HelleBol	4		særforbund
1980-1990_særforbund_21	2012-2019_særforbund_299	HelleBol	4		særforbund
1980-1990_særforbund_21	2012-2019_særforbund_799	HelleBol	4		særforbund
1980-1990_særforbund_12	2012-2019_særforbund_1478	HelleBol	4		særforbund
1980-1990_særforbund_15	2012-2019_særforbund_799	HelleBol	4		særforbund
2012-2019_særforbund_1478	2012-2019_særforbund_299	HelleBol	4		særforbund
1980-1990_særforbund_0	1980-1990_særforbund_25	HelleBol	4		særforbund
1980-1990_særforbund_12	2012-2019_særforbund_799	HelleBol	4		særforbund
1980-1990_særforbund_0	1980-1990_særforbund_2	HelleBol	4		særforbund
2012-2019_særforbund_784	2012-2019_særforbund_951	HelleBol	4		særforbund
1980-1990_særforbund_2	2012-2019_særforbund_1157	HelleBol	4		særforbund
1980-1990_særforbund_2	2012-2019_særforbund_1478	HelleBol	4		særforbund
2012-2019_særforbund_707	2012-2019_særforbund_784	HelleBol	4		særforbund
2012-2019_særforbund_33	2012-2019_særforbund_784	HelleBol	4		særforbund
2012-2019_særforbund_299	2012-2019_særforbund_784	HelleBol	4		særforbund
1980-1990_særforbund_13	1980-1990_særforbund_25	HelleBol	4		særforbund
1980-1990_særforbund_2	2012-2019_særforbund_33	HelleBol	4		særforbund
1980-1990_særforbund_25	2012-2019_særforbund_33	HelleBol	4		særforbund
1980-1990_særforbund_13	1980-1990_særforbund_2	HelleBol	4		særforbund
1980-1990_særforbund_2	2012-2019_særforbund_784	HelleBol	4		særforbund
1980-1990_særforbund_0	2012-2019_særforbund_951	HelleBol	4		særforbund
2012-2019_særforbund_717	2012-2019_særforbund_784	HelleBol	4		særforbund
1980-1990_særforbund_0	2012-2019_særforbund_219	HelleBol	4		særforbund
1980-1990_særforbund_27	2012-2019_særforbund_33	HelleBol	4		særforbund
2012-2019_særforbund_1157	2012-2019_særforbund_1478	HelleBol	4		særforbund
1980-1990_særforbund_7	2012-2019_særforbund_1157	HelleBol	4		særforbund
2012-2019_særforbund_1157	2012-2019_særforbund_33	HelleBol	4		særforbund
1980-1990_særforbund_29	2012-2019_særforbund_1157	HelleBol	4		særforbund
2012-2019_særforbund_1157	2012-2019_særforbund_799	HelleBol	4		særforbund
2012-2019_særforbund_1157	2012-2019_særforbund_784	HelleBol	4		særforbund
1980-1990_særforbund_27	1980-1990_særforbund_29	HelleBol	4		særforbund
2012-2019_særforbund_219	2012-2019_særforbund_33	HelleBol	4		særforbund
1980-1990_særforbund_21	2012-2019_særforbund_219	HelleBol	4		særforbund
2012-2019_særforbund_1157	2012-2019_særforbund_707	HelleBol	4		særforbund
2012-2019_særforbund_1215	2012-2019_særforbund_33	HelleBol	4		særforbund
1980-1990_særforbund_21	1980-1990_særforbund_25	HelleBol	4		særforbund
1980-1990_særforbund_15	1980-1990_særforbund_21	HelleBol	4		særforbund
1980-1990_særforbund_7	2012-2019_særforbund_799	HelleBol	4		særforbund
2012-2019_særforbund_1215	2012-2019_særforbund_299	HelleBol	4		særforbund
1980-1990_særforbund_7	2012-2019_særforbund_951	HelleBol	4		særforbund
1980-1990_særforbund_7	2012-2019_særforbund_1215	HelleBol	4		særforbund
1980-1990_særforbund_27	2012-2019_særforbund_1215	HelleBol	4		særforbund
1980-1990_særforbund_2	2012-2019_særforbund_951	HelleBol	4		særforbund
1980-1990_særforbund_12	2012-2019_særforbund_1215	HelleBol	4		særforbund
1980-1990_særforbund_13	2012-2019_særforbund_1215	HelleBol	4		særforbund
1980-1990_særforbund_2	2012-2019_særforbund_1215	HelleBol	4		særforbund
2012-2019_særforbund_1215	2012-2019_særforbund_951	HelleBol	4		særforbund
1980-1990_særforbund_13	2012-2019_særforbund_784	HelleBol	4		særforbund
1980-1990_særforbund_25	1980-1990_særforbund_7	HelleBol	4		særforbund
1980-1990_særforbund_0	1980-1990_særforbund_7	HelleBol	4		særforbund
2012-2019_særforbund_799	2012-2019_særforbund_951	HelleBol	4		særforbund
1980-1990_særforbund_0	1980-1990_særforbund_21	HelleBol	4		særforbund
1980-1990_særforbund_13	2012-2019_særforbund_1478	HelleBol	4		særforbund
2012-2019_særforbund_707	2012-2019_særforbund_951	HelleBol	4		særforbund
1980-1990_særforbund_0	2012-2019_særforbund_707	HelleBol	4		særforbund
2012-2019_særforbund_299	2012-2019_særforbund_951	HelleBol	4		særforbund
1980-1990_særforbund_0	2012-2019_særforbund_1478	HelleBol	4		særforbund
1980-1990_særforbund_13	2012-2019_særforbund_951	HelleBol	4		særforbund
1980-1990_særforbund_29	2012-2019_særforbund_717	HelleBol	4		særforbund
1980-1990_særforbund_25	2012-2019_særforbund_219	HelleBol	4		særforbund
1980-1990_særforbund_29	2012-2019_særforbund_33	HelleBol	4		særforbund
1980-1990_særforbund_13	2012-2019_særforbund_707	HelleBol	4		særforbund
1980-1990_særforbund_6	2012-2019_særforbund_299	HelleBol	4		særforbund
1980-1990_særforbund_13	2012-2019_særforbund_299	HelleBol	4		særforbund
1980-1990_særforbund_12	1980-1990_særforbund_21	HelleBol	4		særforbund
1980-1990_særforbund_15	2012-2019_særforbund_1157	HelleBol	4		særforbund
1980-1990_særforbund_0	2012-2019_særforbund_717	HelleBol	4		særforbund
1980-1990_særforbund_12	2012-2019_særforbund_219	HelleBol	4		særforbund
1980-1990_særforbund_13	2012-2019_særforbund_219	HelleBol	4		særforbund
1980-1990_særforbund_29	2012-2019_særforbund_799	HelleBol	4		særforbund
2012-2019_særforbund_707	2012-2019_særforbund_717	HelleBol	4		særforbund
1980-1990_særforbund_12	1980-1990_særforbund_25	HelleBol	4		særforbund
1980-1990_særforbund_15	2012-2019_særforbund_299	HelleBol	4		særforbund
2012-2019_særforbund_717	2012-2019_særforbund_951	HelleBol	4		særforbund
1980-1990_særforbund_15	1980-1990_særforbund_2	HelleBol	4		særforbund
1980-1990_særforbund_2	2012-2019_særforbund_717	HelleBol	4		særforbund
1980-1990_særforbund_12	1980-1990_særforbund_6	HelleBol	4		særforbund
1980-1990_særforbund_0	1980-1990_særforbund_12	HelleBol	4		særforbund
2012-2019_særforbund_299	2012-2019_særforbund_717	HelleBol	4		særforbund
1980-1990_særforbund_6	2012-2019_særforbund_717	HelleBol	4		særforbund
1980-1990_særforbund_29	1980-1990_særforbund_6	HelleBol	4		særforbund
1980-1990_særforbund_13	1980-1990_særforbund_15	HelleBol	4		særforbund
1980-1990_særforbund_15	1980-1990_særforbund_27	HelleBol	4		særforbund
1980-1990_særforbund_27	2012-2019_særforbund_784	HelleBol	4		særforbund
1980-1990_særforbund_25	2012-2019_særforbund_951	HelleBol	4		særforbund
1980-1990_særforbund_2	1980-1990_særforbund_29	HelleBol	4		særforbund
1980-1990_særforbund_15	2012-2019_særforbund_951	HelleBol	4		særforbund
1980-1990_særforbund_21	1980-1990_særforbund_27	HelleBol	4		særforbund
1980-1990_særforbund_6	1980-1990_særforbund_7	HelleBol	4		særforbund
1980-1990_særforbund_2	1980-1990_særforbund_25	HelleBol	4		særforbund
2012-2019_særforbund_33	2012-2019_særforbund_799	HelleBol	4		særforbund
1980-1990_særforbund_13	1980-1990_særforbund_6	HelleBol	4		særforbund
1980-1990_særforbund_0	1980-1990_særforbund_15	HelleBol	4		særforbund
1980-1990_særforbund_15	2012-2019_særforbund_1478	HelleBol	4		særforbund
1980-1990_særforbund_0	1980-1990_særforbund_6	HelleBol	4		særforbund
1980-1990_særforbund_6	2012-2019_særforbund_951	HelleBol	4		særforbund
2012-2019_særforbund_1215	2012-2019_særforbund_219	HelleBol	4		særforbund
1980-1990_særforbund_25	1980-1990_særforbund_6	HelleBol	4		særforbund
1980-1990_særforbund_15	2012-2019_særforbund_219	HelleBol	4		særforbund
1980-1990_særforbund_25	1980-1990_særforbund_27	HelleBol	4		særforbund
1980-1990_særforbund_25	1980-1990_særforbund_29	HelleBol	4		særforbund
1980-1990_særforbund_0	2012-2019_særforbund_299	HelleBol	4		særforbund
2012-2019_særforbund_1478	2012-2019_særforbund_33	HelleBol	4		særforbund
1980-1990_særforbund_12	1980-1990_særforbund_13	HelleBol	4		særforbund
1980-1990_særforbund_25	2012-2019_særforbund_1478	HelleBol	4		særforbund
1980-1990_særforbund_6	2012-2019_særforbund_33	HelleBol	4		særforbund
1980-1990_særforbund_12	1980-1990_særforbund_6	alexandra_w	4		særforbund
1980-1990_særforbund_12	1980-1990_særforbund_29	alexandra_w	4		særforbund
1980-1990_særforbund_12	1980-1990_særforbund_13	alexandra_w	4		særforbund
1980-1990_særforbund_15	1980-1990_særforbund_27	alexandra_w	4		særforbund
1980-1990_særforbund_29	2012-2019_særforbund_33	alexandra_w	4		særforbund
1980-1990_særforbund_12	2012-2019_særforbund_1215	alexandra_w	4		særforbund
