identifier1	identifier2	annotator	judgment	comment	lemma
1980-1990_tendens_1621	1980-1990_tendens_483	HelleBol	4		tendens
1980-1990_tendens_1989	2012-2019_tendens_11494	HelleBol	4		tendens
2012-2019_tendens_11494	2012-2019_tendens_7063	HelleBol	4		tendens
2012-2019_tendens_10259	2012-2019_tendens_556	HelleBol	4		tendens
1980-1990_tendens_2468	2012-2019_tendens_11494	HelleBol	4		tendens
1980-1990_tendens_2046	2012-2019_tendens_10259	HelleBol	4		tendens
2012-2019_tendens_10259	2012-2019_tendens_8318	HelleBol	4		tendens
1980-1990_tendens_1989	1980-1990_tendens_2046	HelleBol	4		tendens
2012-2019_tendens_10527	2012-2019_tendens_5114	HelleBol	4		tendens
2012-2019_tendens_10527	2012-2019_tendens_6909	HelleBol	4		tendens
1980-1990_tendens_1744	2012-2019_tendens_10259	HelleBol	4		tendens
1980-1990_tendens_1744	2012-2019_tendens_6909	HelleBol	4		tendens
2012-2019_tendens_10259	2012-2019_tendens_10527	HelleBol	4		tendens
1980-1990_tendens_2046	2012-2019_tendens_10527	HelleBol	4		tendens
1980-1990_tendens_1358	2012-2019_tendens_10259	HelleBol	4		tendens
1980-1990_tendens_2130	2012-2019_tendens_10527	HelleBol	4		tendens
2012-2019_tendens_10259	2012-2019_tendens_7063	HelleBol	4		tendens
1980-1990_tendens_2046	1980-1990_tendens_2468	HelleBol	4		tendens
2012-2019_tendens_11494	2012-2019_tendens_449	HelleBol	4		tendens
2012-2019_tendens_449	2012-2019_tendens_7435	HelleBol	4		tendens
2012-2019_tendens_11494	2012-2019_tendens_8318	HelleBol	4		tendens
1980-1990_tendens_1621	2012-2019_tendens_449	HelleBol	4		tendens
2012-2019_tendens_7435	2012-2019_tendens_8318	HelleBol	4		tendens
2012-2019_tendens_449	2012-2019_tendens_6909	HelleBol	4		tendens
1980-1990_tendens_2130	2012-2019_tendens_10259	HelleBol	4		tendens
2012-2019_tendens_11273	2012-2019_tendens_449	HelleBol	4		tendens
1980-1990_tendens_2046	2012-2019_tendens_8318	HelleBol	4		tendens
1980-1990_tendens_2264	2012-2019_tendens_8318	HelleBol	4		tendens
1980-1990_tendens_2468	2012-2019_tendens_449	HelleBol	4		tendens
1980-1990_tendens_1744	1980-1990_tendens_2130	HelleBol	4		tendens
2012-2019_tendens_10527	2012-2019_tendens_7063	HelleBol	4		tendens
1980-1990_tendens_1621	1980-1990_tendens_2130	HelleBol	4		tendens
1980-1990_tendens_1744	2012-2019_tendens_8318	HelleBol	4		tendens
1980-1990_tendens_1744	1980-1990_tendens_1989	HelleBol	4		tendens
1980-1990_tendens_2130	2012-2019_tendens_7435	HelleBol	4		tendens
2012-2019_tendens_11494	2012-2019_tendens_7435	HelleBol	4		tendens
2012-2019_tendens_556	2012-2019_tendens_6909	HelleBol	4		tendens
