identifier1	identifier2	annotator	judgment	comment	lemma
1980-1990_terror_15	2012-2019_terror_14908	HelleBol	4		terror
1980-1990_terror_13	1980-1990_terror_28	HelleBol	4		terror
1980-1990_terror_21	2012-2019_terror_4048	HelleBol	4		terror
1980-1990_terror_21	2012-2019_terror_6800	HelleBol	4		terror
2012-2019_terror_5210	2012-2019_terror_6826	HelleBol	4		terror
1980-1990_terror_1	2012-2019_terror_6826	HelleBol	4		terror
2012-2019_terror_3702	2012-2019_terror_6826	HelleBol	4		terror
2012-2019_terror_1095	2012-2019_terror_6826	HelleBol	4		terror
2012-2019_terror_14908	2012-2019_terror_6800	HelleBol	4		terror
1980-1990_terror_10	1980-1990_terror_2	HelleBol	4		terror
1980-1990_terror_10	1980-1990_terror_12	HelleBol	4		terror
1980-1990_terror_10	2012-2019_terror_3702	HelleBol	4		terror
1980-1990_terror_10	1980-1990_terror_28	HelleBol	4		terror
1980-1990_terror_21	1980-1990_terror_4	HelleBol	4		terror
1980-1990_terror_10	2012-2019_terror_14388	HelleBol	4		terror
1980-1990_terror_10	1980-1990_terror_16	HelleBol	4		terror
1980-1990_terror_10	1980-1990_terror_15	HelleBol	4		terror
2012-2019_terror_6800	2012-2019_terror_6826	HelleBol	4		terror
1980-1990_terror_2	2012-2019_terror_6800	HelleBol	4		terror
2012-2019_terror_14388	2012-2019_terror_6800	HelleBol	4		terror
1980-1990_terror_4	2012-2019_terror_2997	HelleBol	4		terror
1980-1990_terror_4	2012-2019_terror_14388	HelleBol	4		terror
1980-1990_terror_28	2012-2019_terror_1095	HelleBol	4		terror
1980-1990_terror_4	2012-2019_terror_4205	HelleBol	4		terror
1980-1990_terror_21	1980-1990_terror_28	HelleBol	4		terror
1980-1990_terror_28	1980-1990_terror_4	HelleBol	4		terror
1980-1990_terror_12	2012-2019_terror_4048	HelleBol	4		terror
1980-1990_terror_12	1980-1990_terror_31	HelleBol	4		terror
1980-1990_terror_12	2012-2019_terror_4205	HelleBol	4		terror
1980-1990_terror_15	2012-2019_terror_3702	HelleBol	4		terror
2012-2019_terror_14388	2012-2019_terror_3702	HelleBol	4		terror
1980-1990_terror_13	2012-2019_terror_3702	HelleBol	4		terror
1980-1990_terror_12	2012-2019_terror_2997	HelleBol	4		terror
1980-1990_terror_12	2012-2019_terror_14908	HelleBol	4		terror
2012-2019_terror_1095	2012-2019_terror_3702	HelleBol	4		terror
1980-1990_terror_21	1980-1990_terror_31	HelleBol	4		terror
1980-1990_terror_13	2012-2019_terror_5210	HelleBol	4		terror
1980-1990_terror_13	1980-1990_terror_21	HelleBol	4		terror
1980-1990_terror_13	2012-2019_terror_14388	HelleBol	4		terror
1980-1990_terror_15	2012-2019_terror_6826	HelleBol	4		terror
2012-2019_terror_3031	2012-2019_terror_5210	HelleBol	4		terror
1980-1990_terror_28	2012-2019_terror_5210	HelleBol	4		terror
1980-1990_terror_12	2012-2019_terror_5210	HelleBol	4		terror
2012-2019_terror_14908	2012-2019_terror_5210	HelleBol	4		terror
2012-2019_terror_5210	2012-2019_terror_6800	HelleBol	4		terror
1980-1990_terror_31	2012-2019_terror_5210	HelleBol	4		terror
1980-1990_terror_10	2012-2019_terror_5210	HelleBol	4		terror
1980-1990_terror_28	2012-2019_terror_4205	HelleBol	4		terror
1980-1990_terror_13	2012-2019_terror_14908	HelleBol	4		terror
1980-1990_terror_1	1980-1990_terror_4	HelleBol	4		terror
1980-1990_terror_4	2012-2019_terror_6826	HelleBol	4		terror
1980-1990_terror_1	2012-2019_terror_14908	HelleBol	4		terror
2012-2019_terror_14908	2012-2019_terror_6826	HelleBol	4		terror
1980-1990_terror_13	2012-2019_terror_4048	HelleBol	4		terror
1980-1990_terror_15	2012-2019_terror_4048	HelleBol	4		terror
1980-1990_terror_28	2012-2019_terror_4048	HelleBol	4		terror
1980-1990_terror_2	2012-2019_terror_3702	HelleBol	4		terror
2012-2019_terror_3702	2012-2019_terror_4205	HelleBol	4		terror
1980-1990_terror_13	2012-2019_terror_4205	HelleBol	4		terror
2012-2019_terror_4205	2012-2019_terror_5210	HelleBol	4		terror
1980-1990_terror_10	2012-2019_terror_4205	HelleBol	4		terror
1980-1990_terror_16	2012-2019_terror_6800	HelleBol	4		terror
2012-2019_terror_4205	2012-2019_terror_6826	HelleBol	4		terror
2012-2019_terror_14908	2012-2019_terror_4205	HelleBol	4		terror
1980-1990_terror_15	2012-2019_terror_4205	HelleBol	4		terror
1980-1990_terror_2	2012-2019_terror_4205	HelleBol	3		terror
1980-1990_terror_21	2012-2019_terror_3031	HelleBol	4		terror
2012-2019_terror_3031	2012-2019_terror_4205	HelleBol	4		terror
1980-1990_terror_10	2012-2019_terror_3031	HelleBol	4		terror
1980-1990_terror_13	2012-2019_terror_3031	HelleBol	4		terror
2012-2019_terror_1095	2012-2019_terror_3031	HelleBol	4		terror
2012-2019_terror_14388	2012-2019_terror_3031	HelleBol	4		terror
