identifier1	identifier2	annotator	judgment	comment	lemma
14979	14982	alexandra_w	4	comment	utakt
14979	14994	titare	1	comment	utakt
14979	14980	titare	1	comment	utakt
14979	14990	alexandra_w	4	comment	utakt
14979	14974	titare	1	comment	utakt
14979	14989	alexandra_w	4	comment	utakt
14979	14982	HelleBol	4	comment	utakt
14979	14975	titare	1	comment	utakt
14979	14993	alexandra_w	4	comment	utakt
14979	14981	titare	1	comment	utakt
14979	14976	HelleBol	4	comment	utakt
14979	14981	alexandra_w	4	comment	utakt
14979	14983	HelleBol	4	comment	utakt
14979	14990	HelleBol	4	comment	utakt
14979	14974	alexandra_w	4	comment	utakt
14979	14976	alexandra_w	4	comment	utakt
14979	14984	alexandra_w	3	comment	utakt
14980	14979	alexandra_w	4	comment	utakt
14980	14975	titare	1	comment	utakt
14980	14993	alexandra_w	4	comment	utakt
14980	14988	HelleBol	4	comment	utakt
14980	14979	HelleBol	4	comment	utakt
14980	14976	alexandra_w	4	comment	utakt
14980	14988	titare	4	comment	utakt
14980	14985	HelleBol	4	comment	utakt
14980	14994	alexandra_w	4	comment	utakt
14980	14982	alexandra_w	4	comment	utakt
14980	14993	HelleBol	4	comment	utakt
14980	14977	HelleBol	4	comment	utakt
14980	14985	titare	4	comment	utakt
14980	14983	alexandra_w	4	comment	utakt
14980	14992	HelleBol	4	comment	utakt
14980	14973	HelleBol	4	comment	utakt
14980	14986	HelleBol	4	comment	utakt
14980	14985	alexandra_w	4	comment	utakt
14977	14979	HelleBol	4	comment	utakt
14977	14984	HelleBol	4	comment	utakt
14977	14981	alexandra_w	4	comment	utakt
14977	14984	titare	1	comment	utakt
14977	14993	HelleBol	4	comment	utakt
14977	14973	HelleBol	4	comment	utakt
14977	14976	titare	4	comment	utakt
14977	14991	titare	4	comment	utakt
14977	14985	HelleBol	4	comment	utakt
14977	14974	titare	1	comment	utakt
14977	14988	alexandra_w	4	comment	utakt
14977	14983	titare	4	comment	utakt
14977	14984	alexandra_w	4	comment	utakt
14977	14990	alexandra_w	4	comment	utakt
14977	14980	titare	4	comment	utakt
14982	14988	titare	4	comment	utakt
14982	14977	titare	4	comment	utakt
14982	14984	titare	1	comment	utakt
14982	14973	HelleBol	4	comment	utakt
14982	14991	alexandra_w	4	comment	utakt
14982	14990	alexandra_w	4	comment	utakt
14982	14981	HelleBol	4	comment	utakt
14982	14985	HelleBol	4	comment	utakt
