identifier1	identifier2	annotator	judgment	comment	lemma
1980-1990_utakt_25	2012-2019_utakt_543	HelleBol	4		utakt
1980-1990_utakt_25	2012-2019_utakt_757	HelleBol	4		utakt
1980-1990_utakt_31	1980-1990_utakt_6	HelleBol	4		utakt
1980-1990_utakt_11	1980-1990_utakt_25	HelleBol	4		utakt
2012-2019_utakt_224	2012-2019_utakt_254	HelleBol	4		utakt
1980-1990_utakt_11	1980-1990_utakt_6	HelleBol	4		utakt
1980-1990_utakt_6	2012-2019_utakt_581	HelleBol	4		utakt
1980-1990_utakt_25	2012-2019_utakt_254	HelleBol	4		utakt
1980-1990_utakt_6	2012-2019_utakt_36	HelleBol	4		utakt
1980-1990_utakt_25	1980-1990_utakt_28	HelleBol	4		utakt
1980-1990_utakt_25	2012-2019_utakt_581	HelleBol	4		utakt
1980-1990_utakt_11	2012-2019_utakt_197	HelleBol	4		utakt
1980-1990_utakt_25	2012-2019_utakt_230	HelleBol	4		utakt
1980-1990_utakt_44	2012-2019_utakt_230	HelleBol	4		utakt
1980-1990_utakt_11	2012-2019_utakt_120	HelleBol	4		utakt
1980-1990_utakt_11	1980-1990_utakt_28	HelleBol	4		utakt
1980-1990_utakt_11	1980-1990_utakt_31	HelleBol	4		utakt
1980-1990_utakt_41	1980-1990_utakt_44	HelleBol	4		utakt
1980-1990_utakt_20	1980-1990_utakt_31	HelleBol	4		utakt
1980-1990_utakt_18	1980-1990_utakt_31	HelleBol	4		utakt
1980-1990_utakt_44	1980-1990_utakt_6	HelleBol	4		utakt
1980-1990_utakt_43	2012-2019_utakt_224	HelleBol	4		utakt
1980-1990_utakt_31	2012-2019_utakt_197	HelleBol	4		utakt
1980-1990_utakt_44	2012-2019_utakt_581	HelleBol	4		utakt
1980-1990_utakt_25	1980-1990_utakt_44	HelleBol	4		utakt
2012-2019_utakt_224	2012-2019_utakt_266	HelleBol	4		utakt
1980-1990_utakt_20	2012-2019_utakt_224	HelleBol	4		utakt
1980-1990_utakt_20	2012-2019_utakt_266	HelleBol	4		utakt
2012-2019_utakt_197	2012-2019_utakt_36	HelleBol	3		utakt
1980-1990_utakt_11	2012-2019_utakt_224	HelleBol	4		utakt
1980-1990_utakt_25	2012-2019_utakt_36	HelleBol	3		utakt
2012-2019_utakt_36	2012-2019_utakt_757	HelleBol	3		utakt
1980-1990_utakt_25	1980-1990_utakt_41	HelleBol	4		utakt
2012-2019_utakt_254	2012-2019_utakt_266	HelleBol	4		utakt
1980-1990_utakt_11	2012-2019_utakt_266	HelleBol	4		utakt
1980-1990_utakt_43	2012-2019_utakt_266	HelleBol	4		utakt
1980-1990_utakt_18	2012-2019_utakt_36	HelleBol	3		utakt
1980-1990_utakt_40	2012-2019_utakt_36	HelleBol	3		utakt
1980-1990_utakt_44	2012-2019_utakt_36	HelleBol	3		utakt
2012-2019_utakt_36	2012-2019_utakt_581	HelleBol	3		utakt
1980-1990_utakt_28	2012-2019_utakt_36	HelleBol	3		utakt
2012-2019_utakt_230	2012-2019_utakt_254	HelleBol	4		utakt
2012-2019_utakt_312	2012-2019_utakt_36	HelleBol	3		utakt
1980-1990_utakt_18	2012-2019_utakt_543	HelleBol	4		utakt
1980-1990_utakt_20	1980-1990_utakt_40	HelleBol	4		utakt
1980-1990_utakt_20	2012-2019_utakt_254	HelleBol	4		utakt
1980-1990_utakt_11	2012-2019_utakt_230	HelleBol	4		utakt
1980-1990_utakt_20	2012-2019_utakt_230	HelleBol	4		utakt
1980-1990_utakt_31	2012-2019_utakt_230	HelleBol	4		utakt
1980-1990_utakt_40	2012-2019_utakt_224	HelleBol	4		utakt
2012-2019_utakt_224	2012-2019_utakt_757	HelleBol	4		utakt
1980-1990_utakt_31	2012-2019_utakt_36	HelleBol	3		utakt
1980-1990_utakt_11	2012-2019_utakt_36	HelleBol	3		utakt
2012-2019_utakt_120	2012-2019_utakt_36	HelleBol	3		utakt
1980-1990_utakt_20	1980-1990_utakt_41	HelleBol	4		utakt
1980-1990_utakt_6	2012-2019_utakt_266	HelleBol	4		utakt
2012-2019_utakt_266	2012-2019_utakt_581	HelleBol	4		utakt
1980-1990_utakt_31	2012-2019_utakt_266	HelleBol	4		utakt
1980-1990_utakt_20	1980-1990_utakt_43	HelleBol	4		utakt
1980-1990_utakt_44	2012-2019_utakt_266	HelleBol	4		utakt
