identifier1	identifier2	annotator	judgment	comment	lemma
2012-2019_vert_154	2012-2019_vert_6001	HelleBol	4		vert
1980-1990_vert_29	2012-2019_vert_6841	HelleBol	0		vert
2012-2019_vert_125	2012-2019_vert_2122	HelleBol	3		vert
1980-1990_vert_26	1980-1990_vert_6	HelleBol	0		vert
1980-1990_vert_27	2012-2019_vert_3598	HelleBol	0		vert
1980-1990_vert_13	2012-2019_vert_6001	HelleBol	0		vert
1980-1990_vert_27	2012-2019_vert_1909	HelleBol	0		vert
2012-2019_vert_6001	2012-2019_vert_7002	HelleBol	4		vert
2012-2019_vert_3598	2012-2019_vert_6001	HelleBol	4		vert
1980-1990_vert_10	2012-2019_vert_6841	HelleBol	0		vert
1980-1990_vert_24	2012-2019_vert_5728	HelleBol	0		vert
1980-1990_vert_8	2012-2019_vert_4383	HelleBol	0		vert
1980-1990_vert_26	2012-2019_vert_6001	HelleBol	3		vert
1980-1990_vert_29	2012-2019_vert_7002	HelleBol	0		vert
1980-1990_vert_8	2012-2019_vert_2122	HelleBol	0		vert
1980-1990_vert_10	2012-2019_vert_4383	HelleBol	3		vert
1980-1990_vert_2	2012-2019_vert_6001	HelleBol	0		vert
2012-2019_vert_6001	2012-2019_vert_6841	HelleBol	0		vert
1980-1990_vert_8	2012-2019_vert_6001	HelleBol	0		vert
1980-1990_vert_0	2012-2019_vert_6001	HelleBol	4		vert
2012-2019_vert_125	2012-2019_vert_3598	HelleBol	4		vert
1980-1990_vert_26	2012-2019_vert_6841	HelleBol	0		vert
1980-1990_vert_9	2012-2019_vert_125	HelleBol	0		vert
2012-2019_vert_5728	2012-2019_vert_7002	HelleBol	4		vert
1980-1990_vert_8	2012-2019_vert_1909	HelleBol	0		vert
1980-1990_vert_8	1980-1990_vert_9	HelleBol	0		vert
1980-1990_vert_13	1980-1990_vert_9	HelleBol	0		vert
1980-1990_vert_10	1980-1990_vert_9	HelleBol	0		vert
1980-1990_vert_9	2012-2019_vert_154	HelleBol	0		vert
1980-1990_vert_26	2012-2019_vert_5728	HelleBol	4		vert
1980-1990_vert_29	1980-1990_vert_9	HelleBol	0		vert
1980-1990_vert_10	2012-2019_vert_6001	HelleBol	3		vert
1980-1990_vert_9	2012-2019_vert_6001	HelleBol	0		vert
1980-1990_vert_10	2012-2019_vert_125	HelleBol	3		vert
1980-1990_vert_6	2012-2019_vert_7002	HelleBol	0		vert
1980-1990_vert_13	2012-2019_vert_2124	HelleBol	0		vert
1980-1990_vert_9	2012-2019_vert_2124	HelleBol	0		vert
2012-2019_vert_2124	2012-2019_vert_3598	HelleBol	4		vert
1980-1990_vert_26	1980-1990_vert_29	HelleBol	0		vert
2012-2019_vert_1909	2012-2019_vert_2124	HelleBol	4		vert
1980-1990_vert_10	1980-1990_vert_29	HelleBol	0		vert
2012-2019_vert_2124	2012-2019_vert_5728	HelleBol	4		vert
1980-1990_vert_2	1980-1990_vert_29	HelleBol	0		vert
1980-1990_vert_24	2012-2019_vert_2124	HelleBol	0		vert
1980-1990_vert_0	1980-1990_vert_26	HelleBol	4		vert
2012-2019_vert_2122	2012-2019_vert_2124	HelleBol	3		vert
1980-1990_vert_2	2012-2019_vert_5728	HelleBol	0		vert
2012-2019_vert_154	2012-2019_vert_3598	HelleBol	4		vert
1980-1990_vert_2	2012-2019_vert_7002	HelleBol	0		vert
1980-1990_vert_10	2012-2019_vert_2122	HelleBol	3		vert
1980-1990_vert_10	1980-1990_vert_2	HelleBol	0		vert
2012-2019_vert_125	2012-2019_vert_154	HelleBol	4		vert
1980-1990_vert_29	2012-2019_vert_2124	HelleBol	0		vert
1980-1990_vert_2	2012-2019_vert_154	HelleBol	0		vert
1980-1990_vert_24	2012-2019_vert_154	HelleBol	0		vert
1980-1990_vert_29	2012-2019_vert_154	HelleBol	0		vert
1980-1990_vert_2	1980-1990_vert_9	HelleBol	0		vert
1980-1990_vert_6	2012-2019_vert_6001	HelleBol	0		vert
1980-1990_vert_6	2012-2019_vert_125	HelleBol	0		vert
2012-2019_vert_125	2012-2019_vert_1909	HelleBol	4		vert
2012-2019_vert_154	2012-2019_vert_1909	HelleBol	4		vert
1980-1990_vert_0	2012-2019_vert_1909	HelleBol	3		vert
1980-1990_vert_6	2012-2019_vert_2122	HelleBol	0		vert
1980-1990_vert_10	2012-2019_vert_154	HelleBol	3		vert
1980-1990_vert_29	1980-1990_vert_6	HelleBol	0		vert
1980-1990_vert_0	1980-1990_vert_2	HelleBol	0		vert
1980-1990_vert_27	1980-1990_vert_9	HelleBol	0		vert
1980-1990_vert_9	2012-2019_vert_2122	HelleBol	0		vert
1980-1990_vert_10	2012-2019_vert_3598	HelleBol	3		vert
1980-1990_vert_24	1980-1990_vert_27	HelleBol	0		vert
1980-1990_vert_26	2012-2019_vert_2122	HelleBol	3		vert
2012-2019_vert_154	2012-2019_vert_4383	HelleBol	4		vert
2012-2019_vert_2122	2012-2019_vert_7002	HelleBol	3		vert
1980-1990_vert_26	2012-2019_vert_3598	HelleBol	3		vert
1980-1990_vert_24	1980-1990_vert_26	HelleBol	0		vert
1980-1990_vert_9	2012-2019_vert_3598	HelleBol	0		vert
1980-1990_vert_26	2012-2019_vert_125	HelleBol	4		vert
1980-1990_vert_26	1980-1990_vert_27	HelleBol	0		vert
1980-1990_vert_26	1980-1990_vert_9	HelleBol	0		vert
2012-2019_vert_1909	2012-2019_vert_6841	HelleBol	0		vert
1980-1990_vert_24	2012-2019_vert_125	HelleBol	0		vert
1980-1990_vert_13	2012-2019_vert_125	HelleBol	0		vert
1980-1990_vert_2	2012-2019_vert_125	HelleBol	0		vert
1980-1990_vert_27	2012-2019_vert_2122	HelleBol	0		vert
1980-1990_vert_2	1980-1990_vert_27	HelleBol	0		vert
1980-1990_vert_24	2012-2019_vert_2122	HelleBol	0		vert
1980-1990_vert_13	1980-1990_vert_24	HelleBol	0		vert
1980-1990_vert_27	2012-2019_vert_6001	HelleBol	0		vert
1980-1990_vert_0	1980-1990_vert_27	HelleBol	0		vert
2012-2019_vert_125	2012-2019_vert_4383	HelleBol	4		vert
1980-1990_vert_24	2012-2019_vert_3598	HelleBol	0		vert
1980-1990_vert_8	2012-2019_vert_125	HelleBol	0		vert
2012-2019_vert_125	2012-2019_vert_6841	HelleBol	0		vert
2012-2019_vert_2122	2012-2019_vert_3598	HelleBol	3		vert
2012-2019_vert_4383	2012-2019_vert_6841	HelleBol	0		vert
2012-2019_vert_3598	2012-2019_vert_5728	HelleBol	4		vert
2012-2019_vert_2122	2012-2019_vert_6841	HelleBol	0		vert
1980-1990_vert_13	2012-2019_vert_154	HelleBol	0		vert
1980-1990_vert_24	1980-1990_vert_6	HelleBol	0		vert
1980-1990_vert_26	2012-2019_vert_4383	HelleBol	3		vert
2012-2019_vert_2124	2012-2019_vert_4383	HelleBol	4		vert
1980-1990_vert_0	1980-1990_vert_9	HelleBol	0		vert
1980-1990_vert_0	2012-2019_vert_7002	HelleBol	3		vert
1980-1990_vert_26	2012-2019_vert_7002	HelleBol	3		vert
2012-2019_vert_154	2012-2019_vert_2122	HelleBol	3		vert
1980-1990_vert_13	2012-2019_vert_2122	HelleBol	0		vert
2012-2019_vert_154	2012-2019_vert_7002	HelleBol	4		vert
1980-1990_vert_6	2012-2019_vert_4383	HelleBol	0		vert
1980-1990_vert_27	2012-2019_vert_125	HelleBol	0		vert
1980-1990_vert_10	1980-1990_vert_13	HelleBol	0		vert
1980-1990_vert_0	2012-2019_vert_5728	HelleBol	3		vert
2012-2019_vert_2122	2012-2019_vert_4383	HelleBol	3		vert
1980-1990_vert_0	1980-1990_vert_29	HelleBol	0		vert
1980-1990_vert_0	2012-2019_vert_154	HelleBol	3		vert
1980-1990_vert_9	2012-2019_vert_5728	HelleBol	0		vert
1980-1990_vert_13	1980-1990_vert_9	alexandra_w	0		vert
2012-2019_vert_3598	2012-2019_vert_5728	alexandra_w	4		vert
2012-2019_vert_4383	2012-2019_vert_5728	alexandra_w	4		vert
1980-1990_vert_8	2012-2019_vert_6841	alexandra_w	3		vert
2012-2019_vert_2124	2012-2019_vert_3598	alexandra_w	0		vert
1980-1990_vert_27	1980-1990_vert_8	alexandra_w	0		vert
2012-2019_vert_2122	2012-2019_vert_5728	alexandra_w	3		vert
1980-1990_vert_27	2012-2019_vert_5728	alexandra_w	0		vert
2012-2019_vert_154	2012-2019_vert_2124	alexandra_w	4		vert
1980-1990_vert_26	2012-2019_vert_154	alexandra_w	3		vert
1980-1990_vert_27	2012-2019_vert_2124	alexandra_w	0		vert
1980-1990_vert_13	2012-2019_vert_4383	alexandra_w	0		vert
1980-1990_vert_13	2012-2019_vert_1909	alexandra_w	0		vert
1980-1990_vert_29	2012-2019_vert_3598	alexandra_w	0		vert
1980-1990_vert_27	2012-2019_vert_7002	alexandra_w	0		vert
1980-1990_vert_13	2012-2019_vert_7002	alexandra_w	0		vert
1980-1990_vert_29	2012-2019_vert_2124	alexandra_w	0		vert
1980-1990_vert_2	1980-1990_vert_29	alexandra_w	0		vert
1980-1990_vert_9	2012-2019_vert_6841	alexandra_w	0		vert
1980-1990_vert_29	1980-1990_vert_8	alexandra_w	0		vert
1980-1990_vert_6	2012-2019_vert_1909	alexandra_w	0		vert
1980-1990_vert_27	2012-2019_vert_4383	alexandra_w	0		vert
2012-2019_vert_4383	2012-2019_vert_6841	alexandra_w	4		vert
2012-2019_vert_5728	2012-2019_vert_7002	alexandra_w	4		vert
2012-2019_vert_3598	2012-2019_vert_4383	alexandra_w	4		vert
2012-2019_vert_4383	2012-2019_vert_6001	alexandra_w	4		vert
1980-1990_vert_13	1980-1990_vert_27	alexandra_w	0		vert
1980-1990_vert_13	1980-1990_vert_8	alexandra_w	0		vert
1980-1990_vert_2	1980-1990_vert_8	alexandra_w	0		vert
1980-1990_vert_8	2012-2019_vert_4383	alexandra_w	3		vert
2012-2019_vert_1909	2012-2019_vert_6841	alexandra_w	4		vert
1980-1990_vert_13	2012-2019_vert_5728	alexandra_w	0		vert
2012-2019_vert_3598	2012-2019_vert_6841	alexandra_w	4		vert
2012-2019_vert_125	2012-2019_vert_4383	alexandra_w	4		vert
1980-1990_vert_13	2012-2019_vert_3598	alexandra_w	0		vert
1980-1990_vert_6	2012-2019_vert_3598	alexandra_w	0		vert
1980-1990_vert_6	2012-2019_vert_2122	alexandra_w	0		vert
1980-1990_vert_27	1980-1990_vert_6	alexandra_w	0		vert
1980-1990_vert_8	2012-2019_vert_5728	alexandra_w	3		vert
1980-1990_vert_13	2012-2019_vert_154	alexandra_w	0		vert
1980-1990_vert_29	2012-2019_vert_6841	alexandra_w	0		vert
1980-1990_vert_6	2012-2019_vert_5728	alexandra_w	0		vert
1980-1990_vert_8	2012-2019_vert_2124	alexandra_w	3		vert
1980-1990_vert_13	1980-1990_vert_6	alexandra_w	0		vert
1980-1990_vert_0	2012-2019_vert_5728	alexandra_w	0		vert
1980-1990_vert_27	2012-2019_vert_6841	alexandra_w	0		vert
1980-1990_vert_8	2012-2019_vert_1909	alexandra_w	3		vert
1980-1990_vert_29	2012-2019_vert_5728	alexandra_w	0		vert
1980-1990_vert_8	2012-2019_vert_2122	alexandra_w	4		vert
1980-1990_vert_0	2012-2019_vert_6001	alexandra_w	3		vert
1980-1990_vert_0	2012-2019_vert_6841	alexandra_w	3		vert
1980-1990_vert_0	1980-1990_vert_27	alexandra_w	0		vert
1980-1990_vert_8	2012-2019_vert_7002	alexandra_w	0		vert
1980-1990_vert_0	1980-1990_vert_8	alexandra_w	4		vert
1980-1990_vert_0	2012-2019_vert_125	alexandra_w	3		vert
1980-1990_vert_0	1980-1990_vert_10	alexandra_w	4		vert
1980-1990_vert_9	2012-2019_vert_3598	alexandra_w	0		vert
2012-2019_vert_2124	2012-2019_vert_6001	alexandra_w	4		vert
1980-1990_vert_26	1980-1990_vert_6	alexandra_w	0		vert
2012-2019_vert_6001	2012-2019_vert_7002	alexandra_w	4		vert
