identifier1	identifier2	annotator	judgment	comment	lemma
1980-1990_virkelighet_1099	2012-2019_virkelighet_13710	HelleBol	4		virkelighet
1980-1990_virkelighet_144	2012-2019_virkelighet_539	HelleBol	3		virkelighet
1980-1990_virkelighet_144	2012-2019_virkelighet_922	HelleBol	4		virkelighet
1980-1990_virkelighet_144	1980-1990_virkelighet_163	HelleBol	4		virkelighet
1980-1990_virkelighet_1000	2012-2019_virkelighet_8517	HelleBol	4		virkelighet
2012-2019_virkelighet_2550	2012-2019_virkelighet_8585	HelleBol	3		virkelighet
2012-2019_virkelighet_8585	2012-2019_virkelighet_922	HelleBol	4		virkelighet
1980-1990_virkelighet_1000	2012-2019_virkelighet_8585	HelleBol	3		virkelighet
1980-1990_virkelighet_1025	2012-2019_virkelighet_8585	HelleBol	3		virkelighet
1980-1990_virkelighet_1025	1980-1990_virkelighet_144	HelleBol	3		virkelighet
2012-2019_virkelighet_186	2012-2019_virkelighet_8585	HelleBol	4		virkelighet
1980-1990_virkelighet_163	2012-2019_virkelighet_14295	HelleBol	3		virkelighet
1980-1990_virkelighet_1025	1980-1990_virkelighet_732	HelleBol	4		virkelighet
1980-1990_virkelighet_915	2012-2019_virkelighet_922	HelleBol	3		virkelighet
1980-1990_virkelighet_1009	2012-2019_virkelighet_8517	HelleBol	4		virkelighet
1980-1990_virkelighet_1000	1980-1990_virkelighet_1009	HelleBol	4		virkelighet
1980-1990_virkelighet_1009	1980-1990_virkelighet_1025	HelleBol	4		virkelighet
1980-1990_virkelighet_1025	1980-1990_virkelighet_667	HelleBol	3		virkelighet
1980-1990_virkelighet_667	2012-2019_virkelighet_8517	HelleBol	3		virkelighet
2012-2019_virkelighet_539	2012-2019_virkelighet_8517	HelleBol	3		virkelighet
1980-1990_virkelighet_667	2012-2019_virkelighet_539	HelleBol	3		virkelighet
2012-2019_virkelighet_17210	2012-2019_virkelighet_8517	HelleBol	4		virkelighet
2012-2019_virkelighet_13710	2012-2019_virkelighet_8517	HelleBol	4		virkelighet
1980-1990_virkelighet_144	2012-2019_virkelighet_8517	HelleBol	3		virkelighet
2012-2019_virkelighet_2550	2012-2019_virkelighet_539	HelleBol	3		virkelighet
1980-1990_virkelighet_732	2012-2019_virkelighet_186	HelleBol	3		virkelighet
1980-1990_virkelighet_732	2012-2019_virkelighet_2550	HelleBol	4		virkelighet
1980-1990_virkelighet_667	2012-2019_virkelighet_2550	HelleBol	3		virkelighet
1980-1990_virkelighet_915	2012-2019_virkelighet_2550	HelleBol	4		virkelighet
1980-1990_virkelighet_628	2012-2019_virkelighet_2550	HelleBol	3		virkelighet
1980-1990_virkelighet_732	2012-2019_virkelighet_8585	HelleBol	3		virkelighet
2012-2019_virkelighet_11464	2012-2019_virkelighet_8517	HelleBol	3		virkelighet
1980-1990_virkelighet_732	2012-2019_virkelighet_13710	HelleBol	4		virkelighet
2012-2019_virkelighet_17210	2012-2019_virkelighet_186	HelleBol	3		virkelighet
1980-1990_virkelighet_808	2012-2019_virkelighet_17210	HelleBol	4		virkelighet
2012-2019_virkelighet_11464	2012-2019_virkelighet_17210	HelleBol	3		virkelighet
2012-2019_virkelighet_13710	2012-2019_virkelighet_17210	HelleBol	4		virkelighet
1980-1990_virkelighet_144	1980-1990_virkelighet_732	HelleBol	3		virkelighet
1980-1990_virkelighet_732	2012-2019_virkelighet_7718	HelleBol	4		virkelighet
1980-1990_virkelighet_915	2012-2019_virkelighet_8585	HelleBol	3		virkelighet
1980-1990_virkelighet_732	2012-2019_virkelighet_8517	HelleBol	4		virkelighet
1980-1990_virkelighet_732	1980-1990_virkelighet_915	HelleBol	4		virkelighet
1980-1990_virkelighet_667	2012-2019_virkelighet_922	HelleBol	4		virkelighet
1980-1990_virkelighet_915	2012-2019_virkelighet_8517	HelleBol	4		virkelighet
1980-1990_virkelighet_808	1980-1990_virkelighet_915	HelleBol	4		virkelighet
2012-2019_virkelighet_11464	2012-2019_virkelighet_14295	HelleBol	3		virkelighet
1980-1990_virkelighet_808	2012-2019_virkelighet_14295	HelleBol	4		virkelighet
2012-2019_virkelighet_14295	2012-2019_virkelighet_2550	HelleBol	4		virkelighet
2012-2019_virkelighet_14295	2012-2019_virkelighet_8585	HelleBol	3		virkelighet
1980-1990_virkelighet_163	1980-1990_virkelighet_808	HelleBol	3		virkelighet
1980-1990_virkelighet_163	1980-1990_virkelighet_915	HelleBol	3		virkelighet
1980-1990_virkelighet_163	2012-2019_virkelighet_17210	HelleBol	3		virkelighet
1980-1990_virkelighet_808	2012-2019_virkelighet_11464	HelleBol	3		virkelighet
2012-2019_virkelighet_14295	2012-2019_virkelighet_186	HelleBol	3		virkelighet
1980-1990_virkelighet_1000	2012-2019_virkelighet_186	HelleBol	3		virkelighet
2012-2019_virkelighet_11464	2012-2019_virkelighet_2550	HelleBol	3		virkelighet
2012-2019_virkelighet_11464	2012-2019_virkelighet_13710	HelleBol	3		virkelighet
1980-1990_virkelighet_1009	2012-2019_virkelighet_11464	HelleBol	3		virkelighet
1980-1990_virkelighet_1025	2012-2019_virkelighet_13710	HelleBol	4		virkelighet
2012-2019_virkelighet_13710	2012-2019_virkelighet_8585	HelleBol	3		virkelighet
1980-1990_virkelighet_163	2012-2019_virkelighet_13710	HelleBol	3		virkelighet
1980-1990_virkelighet_1099	2012-2019_virkelighet_17210	HelleBol	4		virkelighet
1980-1990_virkelighet_628	2012-2019_virkelighet_17210	HelleBol	3		virkelighet
1980-1990_virkelighet_1000	1980-1990_virkelighet_1099	HelleBol	4		virkelighet
2012-2019_virkelighet_14295	2012-2019_virkelighet_539	HelleBol	3		virkelighet
1980-1990_virkelighet_1025	1980-1990_virkelighet_163	HelleBol	3		virkelighet
1980-1990_virkelighet_1025	2012-2019_virkelighet_186	HelleBol	3		virkelighet
1980-1990_virkelighet_915	2012-2019_virkelighet_13710	HelleBol	4		virkelighet
1980-1990_virkelighet_144	1980-1990_virkelighet_915	HelleBol	3		virkelighet
1980-1990_virkelighet_1099	1980-1990_virkelighet_915	HelleBol	4		virkelighet
1980-1990_virkelighet_1025	2012-2019_virkelighet_922	HelleBol	3		virkelighet
1980-1990_virkelighet_628	2012-2019_virkelighet_186	HelleBol	4		virkelighet
1980-1990_virkelighet_628	2012-2019_virkelighet_8517	HelleBol	3		virkelighet
1980-1990_virkelighet_628	1980-1990_virkelighet_732	HelleBol	3		virkelighet
1980-1990_virkelighet_628	1980-1990_virkelighet_808	HelleBol	3		virkelighet
1980-1990_virkelighet_628	2012-2019_virkelighet_8585	HelleBol	4		virkelighet
1980-1990_virkelighet_1099	1980-1990_virkelighet_628	HelleBol	3		virkelighet
1980-1990_virkelighet_628	2012-2019_virkelighet_922	HelleBol	4		virkelighet
2012-2019_virkelighet_7718	2012-2019_virkelighet_922	HelleBol	3		virkelighet
1980-1990_virkelighet_667	2012-2019_virkelighet_17210	HelleBol	3		virkelighet
1980-1990_virkelighet_1000	1980-1990_virkelighet_732	HelleBol	4		virkelighet
1980-1990_virkelighet_163	2012-2019_virkelighet_186	HelleBol	4		virkelighet
2012-2019_virkelighet_13710	2012-2019_virkelighet_186	HelleBol	3		virkelighet
2012-2019_virkelighet_186	2012-2019_virkelighet_2550	HelleBol	3		virkelighet
1980-1990_virkelighet_667	2012-2019_virkelighet_186	HelleBol	4		virkelighet
1980-1990_virkelighet_1099	2012-2019_virkelighet_186	HelleBol	3		virkelighet
