lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
virkelighet	NN	2012	2012-2019	2012-2019_virkelighet_17210		Så vi avtaler å møtes i ei busslomme i Eidsvoll, for å kjøre sammen innover i skogen, til Josteins voksne virkelighet.	106:117	0:118	14874	nor_dia_change_subset2	no	andrey
virkelighet	NN	1980	1980-1990	1980-1990_virkelighet_732		I virkelighetens verden finner vi sjelden helt klare skillelinjer mellom institusjonelle og funksjonelle enheter.	2:16	0:113	14881	nor_dia_change_subset2	no	andrey
virkelighet	NN	2012	2012-2019	2012-2019_virkelighet_2550		Ett av disse trekkene er alder, sier Grøntvedt. - Siden kvinner har en høyere grad av fertilitet rundt 20 - 22-årsalderen, forventes det fra et evolusjonaert perspektiv at menn vil søke og ha preferanser for partnere rundt denne alderen, legger han til. - Virkeligheten er mer kompleks	255:268	0:284	14865	nor_dia_change_subset2	no	andrey
virkelighet	NN	2012	2012-2019	2012-2019_virkelighet_8585		I virkeligheten gjør cellegiften henne fryktelig kvalm og fører til at hun kaster opp mye.	2:15	0:90	14873	nor_dia_change_subset2	no	andrey
virkelighet	NN	2012	2012-2019	2012-2019_virkelighet_8517		Det er ingen beundring eller interesse for handlekraften og motet deres. De koster bare penger. Ord skaper virkelighet.	107:118	0:119	14883	nor_dia_change_subset2	no	andrey
virkelighet	NN	1980	1980-1990	1980-1990_virkelighet_144		I de fleste tilfellene har en likevel støttet opp om ansvarsgruppenes valg. Mange av gruppene har i virkeligheten trengt en sterkere oppfølging enn den prosjektet har maktet. Dette vil si at prosjektet ikke har fungert godt nok som veileder, fagkyndig og aktiv oppfølger.	100:113	0:271	14880	nor_dia_change_subset2	no	andrey
virkelighet	NN	1980	1980-1990	1980-1990_virkelighet_1099		Dette har sammenheng med at det er forbundet med en viss usikkerhet å vaere avhengig av offentlige overføringer for at driften skal svare seg, noe som vurderes annerledes av de som allerede er bosatt i området. Øko-krisescenariet forutsetter at det skjer en desentralisering også av varehandelsmønsteret fordi allokeringen av produksjonsfaktorer til ekstraksjonsleddet fører til et mer desentralisert bosettingsmønster. Samtidig som tallene for den fylkesmessige fordelingen er blitt trukket inn, er også de regionale prosesser som ble forsøkt belyst teoretisk i kapittel 2 og praktisk i kapittel 4, mer direkte blitt trukket inn. De regionale mønstre som er blitt beskrevet i dette punktet, er resultatet av prosessenes materialisering i den konkrete virkelighet.	751:762	0:763	14869	nor_dia_change_subset2	no	andrey
virkelighet	NN	1980	1980-1990	1980-1990_virkelighet_808		"Den emosjonelle og etiske kraft, bildets sannhet, ligger i selve det at et innhold er blitt form. Ikke i selve formen, ikke hvorvidt innholdet gjengir en ""korrekt"" sosial virkelighet."	171:182	0:183	14875	nor_dia_change_subset2	no	andrey
virkelighet	NN	2012	2012-2019	2012-2019_virkelighet_7718		Men det kvinnelige blikket gir ofte andre perspektiver på livet, det flirer av andre pinligheter og problematiserer virkeligheten på en annen måte enn mannens øyne gjør.	116:129	0:169	14884	nor_dia_change_subset2	no	andrey
virkelighet	NN	2012	2012-2019	2012-2019_virkelighet_539		Det mange opplevde som høydepunktet var da de to måtte reise seg fra stolene sine under seremonien for å ta imot applausen fra publikum mens de holdt hverandre i hendene. EUs ledere hyllet det europeiske samarbeidet som selve avslutningen av kontinentets blodige krigshistorie. EU-president Herman Van Rompuy, EU-kommisjonens president José Manuel Barroso og EU-parlamentets president Martin Schulz mottok Nobels fredspris for 2012 på vegne av EU. - Her i Oslo vil jeg gi en hyllest til alle de europeerne som drømte om et kontinent forsonet med seg selv, og alle dem som hver eneste dag gjør denne drømmen til virkelighet.	611:622	0:623	14863	nor_dia_change_subset2	no	andrey
virkelighet	NN	2012	2012-2019	2012-2019_virkelighet_14295		– Det er virkeligheten for mange folk. Det blir flott å ha noen i Kongressen som forstår hvor vanskelig det kan vaere, skriver brukeren @llauralouisiana.	9:22	0:152	14864	nor_dia_change_subset2	no	andrey
