lemma	loss	loss_normalized	conflicts	conflicts_normalized	conflicts_between_clusters	conflicts_within_clusters	uncompared_cluster_combinations	uncompared_multi_cluster_combinations	excluded_nodes	judgments_per_edge	edgeshares	nodes	judgments_total
bank	0.0	0.0	0	0.0	0	0	0	0	0	1.733009708737864	1=0.44,2=0.39,3=0.17	22	357
bystyrerepresentant	0.0	0.0	0	0.0	0	0	0	0	0	1.982532751091703	1=0.24,2=0.54,3=0.22	22	454
driftsregnskap	0.0	0.0	0	0.0	0	0	0	0	0	1.6699029126213591	1=0.43,2=0.48,3=0.10	22	344
fane	0.0	0.0	0	0.0	0	0	0	0	0	2.607843137254902	1=0.04,2=0.31,3=0.65	18	399
fjær	6.0	0.02127659574468085	11	0.05851063829787234	3	8	0	0	1	1.7451923076923077	1=0.40,2=0.46,3=0.14	22	363
innstilling	10.5	0.03365384615384615	14	0.0673076923076923	13	1	0	0	0	1.875	1=0.33,2=0.46,3=0.21	22	390
kanal	3.5	0.01155115511551155	5	0.024752475247524754	5	0	1	0	0	1.703883495145631	1=0.45,2=0.40,3=0.15	22	351
kjøpepress	18.5	0.05580693815987934	17	0.07692307692307693	0	17	0	0	0	1.936936936936937	1=0.32,2=0.43,3=0.25	22	430
kode	25.5	0.08854166666666667	37	0.19270833333333334	27	10	0	0	0	1.755	1=0.45,2=0.35,3=0.20	22	351
kohort	11.0	0.03559870550161812	13	0.06310679611650485	6	7	0	0	0	1.7942583732057416	1=0.38,2=0.44,3=0.18	22	375
kreft	0.0	0.0	0	0.0	0	0	0	0	0	1.8364485981308412	1=0.36,2=0.43,3=0.20	22	393
mappe	0.0	0.0	0	0.0	0	0	0	0	0	1.7122641509433962	1=0.43,2=0.43,3=0.14	22	363
melding	0.0	0.0	0	0.0	0	0	0	0	0	1.7067307692307692	1=0.45,2=0.40,3=0.15	22	355
melk	0.0	0.0	0	0.0	0	0	0	0	0	1.8364485981308412	1=0.36,2=0.43,3=0.20	22	393
moment	2.5	0.008051529790660225	4	0.01932367149758454	1	3	0	0	0	1.7053140096618358	1=0.44,2=0.41,3=0.15	22	353
mus	9.0	0.031746031746031744	8	0.042328042328042326	1	7	0	0	1	1.8	1=0.37,2=0.46,3=0.17	22	378
nett	13.5	0.05263157894736842	18	0.10526315789473684	5	13	0	0	2	1.8277511961722488	1=0.36,2=0.45,3=0.19	22	382
oppvarming	11.0	0.03577235772357724	31	0.15121951219512195	31	0	0	0	0	1.6586538461538463	1=0.47,2=0.40,3=0.13	22	345
overflate	32.5	0.10942760942760943	33	0.16666666666666666	0	33	0	0	0	1.7014925373134329	1=0.45,2=0.39,3=0.15	22	342
papir	0.5	0.0016025641025641025	1	0.004807692307692308	0	1	0	0	0	1.7451923076923077	1=0.40,2=0.46,3=0.14	22	363
rådgiver	0.0	0.0	0	0.0	0	0	0	0	0	1.7190476190476192	1=0.44,2=0.40,3=0.16	22	361
særforbund	0.0	0.0	0	0.0	0	0	0	0	0	1.9683257918552035	1=0.29,2=0.45,3=0.26	22	435
side	18.5	0.05873015873015873	33	0.15714285714285714	26	7	0	0	0	1.776190476190476	1=0.39,2=0.44,3=0.17	22	373
sky	6.5	0.026748971193415638	13	0.08024691358024691	13	0	1	0	2	1.7079207920792079	1=0.44,2=0.42,3=0.14	22	345
spill	25.0	0.0946969696969697	37	0.21022727272727273	19	18	0	0	2	1.8144796380090498	1=0.37,2=0.45,3=0.18	22	401
storby	0.0	0.0	0	0.0	0	0	0	0	0	1.707070707070707	1=0.44,2=0.41,3=0.15	22	338
strøm	2.0	0.006472491909385114	5	0.024271844660194174	5	0	0	0	0	1.875	1=0.34,2=0.45,3=0.21	22	390
stryk	3.0	0.010416666666666666	3	0.015625	1	2	0	0	1	1.8287037037037037	1=0.35,2=0.47,3=0.18	22	395
Syden	0.0	0.0	0	0.0	0	0	0	0	0	2.2473684210526317	1=0.15,2=0.45,3=0.40	20	427
tape	0.5	0.013888888888888888	1	0.041666666666666664	0	1	0	0	14	1.7621359223300972	1=0.38,2=0.47,3=0.15	22	363
tavle	12.0	0.04	22	0.11	9	13	0	0	0	1.7326732673267327	1=0.40,2=0.48,3=0.13	22	350
tendens	0.0	0.0	0	0.0	0	0	0	0	0	1.6372093023255814	1=0.47,2=0.41,3=0.11	22	352
terror	5.0	0.016025641025641024	10	0.04807692307692308	0	10	0	0	0	1.7884615384615385	1=0.40,2=0.40,3=0.19	22	372
test	4.0	0.011594202898550725	6	0.02608695652173913	0	6	0	0	0	1.9956709956709957	1=0.26,2=0.48,3=0.26	22	461
tjener	0.0	0.0	0	0.0	0	0	0	0	6	1.702970297029703	1=0.46,2=0.39,3=0.16	22	344
utakt	13.5	0.04326923076923077	11	0.052884615384615384	0	11	0	0	0	1.7932692307692308	1=0.38,2=0.45,3=0.17	22	373
vert	1.5	0.015625	3	0.046875	0	3	0	0	9	1.7295918367346939	1=0.41,2=0.44,3=0.14	22	339
vindu	7.5	0.024630541871921183	9	0.04433497536945813	5	4	0	0	0	1.6945812807881773	1=0.44,2=0.42,3=0.14	22	344
virkelighet	0.0	0.0	0	0.0	0	0	0	0	0	1.8341232227488151	1=0.35,2=0.47,3=0.18	22	387
virus	0.0	0.0	1	0.004739336492890996	1	0	0	0	0	1.7772511848341233	1=0.41,2=0.41,3=0.18	22	375
