lemma	loss	loss_normalized	conflicts	conflicts_normalized	conflicts_between_clusters	conflicts_within_clusters	win_min_normalized	win_max_normalized	win_min_max_normalized	uncompared_cluster_combinations	uncompared_multi_cluster_combinations	runtime	judgments_per_edge	edgeshares	excluded_nodes	nodes	judgments_annotator0	judgments_annotator1	judgments_annotator2	judgments_total	judgment_0	judgment_1	judgment_2	judgment_3	judgment_4
bank	0.0	0.0	0	0.0	0	0	nan	1.0	1.0	0	0	2.0543734232584637e-05	1.733009708737864	1=0.44,2=0.39,3=0.17	0	22	120	125	112	357	1	0	0	0	356
bystyrerepresentant	0.0	0.0	0	0.0	0	0	nan	1.0	1.0	0	0	2.5983651479085287e-05	1.982532751091703	1=0.24,2=0.54,3=0.22	0	22	120	224	110	454	2	0	0	0	452
driftsregnskap	0.0	0.0	0	0.0	0	0	nan	1.0	1.0	0	0	2.2610028584798176e-05	1.6699029126213591	1=0.43,2=0.48,3=0.10	0	22	115	115	114	344	4	0	0	0	340
fane	0.0	0.0	0	0.0	0	0	1.0	1.0	1.0	0	0	1.6717116038004556e-05	2.607843137254902	1=0.04,2=0.31,3=0.65	0	18	115	144	140	399	4	116	111	78	90
fjær	6.0	0.02127659574468085	11	0.05851063829787234	3	8	0.8888888888888888	1.0	0.9872611464968153	0	0	1.5181365489959717	1.7239583333333333	1=0.41,2=0.45,3=0.14	0	21	114	117	100	331	26	27	35	1	242
innstilling	10.5	0.03365384615384615	14	0.0673076923076923	13	1	1.0	0.9433962264150944	0.9627329192546584	0	0	1.6154814958572388	1.875	1=0.33,2=0.46,3=0.21	0	22	122	147	121	390	2	119	58	3	208
kanal	3.5	0.01155115511551155	5	0.024752475247524754	5	0	1.0	0.987012987012987	0.9940119760479041	1	0	1.5465470989545187	1.703883495145631	1=0.45,2=0.40,3=0.15	0	22	116	117	118	351	13	159	34	7	138
kjøpepress	18.5	0.05580693815987934	17	0.07692307692307693	0	17	0.0	1.0	0.9319727891156463	0	0	0.10844991207122803	1.936936936936937	1=0.32,2=0.43,3=0.25	0	22	130	162	138	430	1	61	0	52	316
kode	25.5	0.08854166666666667	37	0.19270833333333334	27	10	1.0	0.7435897435897436	0.8765432098765432	0	0	1.3488596200942993	1.755	1=0.45,2=0.35,3=0.20	0	22	119	112	120	351	27	84	112	44	84
kohort	11.0	0.03559870550161812	13	0.06310679611650485	6	7	0.25	0.9875776397515528	0.9696969696969697	0	0	1.6229952931404115	1.7942583732057416	1=0.38,2=0.44,3=0.18	0	22	115	147	113	375	6	25	5	36	303
kreft	0.0	0.0	0	0.0	0	0	nan	1.0	1.0	0	0	2.292792002360026e-05	1.8364485981308412	1=0.36,2=0.43,3=0.20	0	22	115	154	124	393	2	0	0	0	391
mappe	0.0	0.0	0	0.0	0	0	nan	1.0	1.0	0	0	2.0535786946614585e-05	1.7122641509433962	1=0.43,2=0.43,3=0.14	0	22	115	125	123	363	9	0	17	181	156
melding	0.0	0.0	0	0.0	0	0	nan	1.0	1.0	0	0	2.1167596181233724e-05	1.7067307692307692	1=0.45,2=0.40,3=0.15	0	22	119	126	110	355	3	0	0	21	331
melk	0.0	0.0	0	0.0	0	0	nan	1.0	1.0	0	0	2.114375432332357e-05	1.8364485981308412	1=0.36,2=0.43,3=0.20	0	22	154	128	111	393	0	0	0	0	393
moment	2.5	0.008051529790660225	4	0.01932367149758454	1	3	0.9642857142857143	1.0	0.9942528735632183	0	0	1.4906780004501343	1.7053140096618358	1=0.44,2=0.41,3=0.15	0	22	115	128	110	353	0	57	12	21	263
mus	9.0	0.031746031746031744	8	0.042328042328042326	1	7	0.2857142857142857	1.0	0.9618320610687023	0	0	0.0851397156715393	1.805263157894737	1=0.36,2=0.47,3=0.17	0	21	115	118	110	343	1	37	64	7	234
nett	13.5	0.05263157894736842	18	0.10526315789473684	5	13	0.88	0.9672131147540983	0.9418604651162791	0	0	1.4477265040079752	1.8160919540229885	1=0.38,2=0.43,3=0.20	0	20	101	106	109	316	6	57	50	71	132
oppvarming	11.0	0.03577235772357724	31	0.15121951219512195	31	0	1.0	1.0	1.0	0	0	0.11315006017684937	1.6586538461538463	1=0.47,2=0.40,3=0.13	0	22	119	113	113	345	7	65	65	62	146
overflate	32.5	0.10942760942760943	33	0.16666666666666666	0	33	0.0	1.0	0.8461538461538461	0	0	0.08390292723973593	1.7014925373134329	1=0.45,2=0.39,3=0.15	0	22	115	115	112	342	9	62	19	73	179
papir	0.5	0.0016025641025641025	1	0.004807692307692308	0	1	nan	1.0	1.0	0	0	0.08489620685577393	1.7451923076923077	1=0.40,2=0.46,3=0.14	0	22	118	120	125	363	1	1	0	193	168
rådgiver	0.0	0.0	0	0.0	0	0	nan	1.0	1.0	0	0	2.0531813303629556e-05	1.7190476190476192	1=0.44,2=0.40,3=0.16	0	22	115	131	115	361	4	0	0	8	349
særforbund	0.0	0.0	0	0.0	0	0	nan	1.0	1.0	0	0	2.5761127471923827e-05	1.9683257918552035	1=0.29,2=0.45,3=0.26	0	22	114	203	118	435	0	0	0	0	435
side	18.5	0.05873015873015873	33	0.15714285714285714	26	7	0.8666666666666667	0.9473684210526315	0.9340659340659341	0	0	1.542228146394094	1.776190476190476	1=0.39,2=0.44,3=0.17	0	22	115	120	138	373	4	67	91	37	174
sky	6.5	0.026748971193415638	13	0.08024691358024691	13	0	1.0	0.97	0.9716981132075472	1	0	1.6406414031982421	1.7083333333333333	1=0.43,2=0.42,3=0.14	0	20	93	98	96	287	19	16	4	69	179
spill	25.0	0.0946969696969697	37	0.21022727272727273	19	18	0.6666666666666666	0.96875	0.8490566037735849	0	0	1.6185736020406087	1.8131868131868132	1=0.36,2=0.46,3=0.18	0	20	102	104	124	330	27	66	60	76	101
storby	0.0	0.0	0	0.0	0	0	nan	1.0	1.0	0	0	2.1469593048095702e-05	1.707070707070707	1=0.44,2=0.41,3=0.15	0	22	116	109	113	338	9	0	0	0	329
strøm	2.0	0.006472491909385114	5	0.024271844660194174	5	0	1.0	0.9846153846153847	0.9929577464788732	0	0	1.4897294402122498	1.875	1=0.34,2=0.45,3=0.21	0	22	125	122	143	390	14	161	75	9	131
stryk	3.0	0.010416666666666666	3	0.015625	1	2	0.9813084112149533	1.0	0.9894179894179894	0	0	1.4437377492586771	1.8153846153846154	1=0.36,2=0.47,3=0.17	0	21	109	142	103	354	12	201	0	2	139
Syden	0.0	0.0	0	0.0	0	0	nan	1.0	1.0	0	0	1.9848346710205078e-05	2.2473684210526317	1=0.15,2=0.45,3=0.40	0	20	128	188	111	427	0	1	0	0	426
tape	0.5	0.013888888888888888	1	0.041666666666666664	0	1	nan	1.0	1.0	0	0	0.03361142873764038	1.7307692307692308	1=0.38,2=0.50,3=0.12	0	8	20	9	16	45	11	0	6	11	17
tavle	12.0	0.04	22	0.11	9	13	1.0	0.9714285714285714	0.9764705882352941	0	0	0.08677868048350017	1.7326732673267327	1=0.40,2=0.48,3=0.13	0	22	115	124	111	350	21	49	115	31	134
tendens	0.0	0.0	0	0.0	0	0	nan	1.0	1.0	0	0	2.1004676818847655e-05	1.6372093023255814	1=0.47,2=0.41,3=0.11	0	22	115	122	115	352	5	0	0	1	346
terror	5.0	0.016025641025641024	10	0.04807692307692308	0	10	nan	1.0	1.0	0	0	0.08170623381932576	1.7884615384615385	1=0.40,2=0.40,3=0.19	0	22	129	132	111	372	0	0	26	9	337
test	4.0	0.011594202898550725	6	0.02608695652173913	0	6	0.0	1.0	0.9950980392156863	0	0	0.08661099672317504	1.9956709956709957	1=0.26,2=0.48,3=0.26	0	22	115	231	115	461	30	12	0	20	399
tjener	0.0	0.0	0	0.0	0	0	nan	1.0	1.0	0	0	1.1686484018961588e-05	1.820754716981132	1=0.39,2=0.41,3=0.21	0	16	65	63	65	193	0	0	0	37	156
